language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
sobe1238,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,-,-,-,-,-
mala1487,-,-,-,-,-,m,-,-,-,-,u,-,-,-,t,-,-,-,-,-,a,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-
sioo1240,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,a,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-
numb1247,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-
mbul1263,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,-,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,o,-,-,-,-,-,-
kove1237,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,a,-,m,-,-,-,o,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-
geda1237,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,i,-,-,-,-,-,-
mind1255,-,N,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
awad1244,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
ronj1237,-,-,-,-,-,g,-,-,-,-,i,p,-,-,m,-,-,-,-,-,a,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
