language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
kapp1237,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,a,-,s,-,-,-,a,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,w,-,-,-,-,a,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
bari1286,-,-,-,-,-,-,-,-,o,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
male1289,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
