language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47
siss1243,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,l,-,-,-,-,-,-,m,e,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-
tarp1240,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,s,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-
numb1247,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,s,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-
tami1290,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,s,i,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,N,-,-,-,-,-,-,s,i,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,i
gitu1237,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,s,i,N,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
mala1489,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,k,i,-,n,-,a,N,-,-,-,-,-,-,-,a,-,-,-
mbul1263,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,N,-,-,-,-,-,-,s,i,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,N,-,-,i,-,-,-,s,i,-,-,-,-,N,-,-,i,-,-,-,-,a,-,-,-
bari1286,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,N,-,-,-,-,-,-,s,i,-,-,-,-,N,-,-,i,-,-,-,-,a,-,-,-
male1289,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,k,i,-,-,-,-,l,-,-,u,-,-,-,-,a,-,N,e
mala1487,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,r,o,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-
taki1248,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,n,-
