language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
huar1255,-,k,-,-,-,e,-,-,p,-,-,-,-,-,-,-,-,-,a,-,-,-,-,a,-,-,-,-
cent2131,-,k,-,-,-,i,-,-,p,-,-,-,-,-,-,-,-,-,a,r,i,-,-,i,-,-,-,-
cent2131,-,g,-,-,-,e,-,-,p,-,-,-,-,-,-,-,-,-,a,-,-,-,-,a,-,-,-,-
mayo1264,-,s,a,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,-,-,-
yaqu1251,-,s,a,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
elna1235,-,s,-,-,-,e,e,e,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
huic1243,-,-,-,-,-,3,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,i,y,a,-
huic1243,-,-,-,-,-,3,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
toho1245,-,g,-,-,-,3,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
pima1248,-,k,-,-,-,3,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sout2976,-,k,-,-,-,3,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2959,-,g,u,t,s,o,-,-,b,e,y,d,Z,a,t,s,u,p,a,-,i,a,-,i,-,-,-,-
tete1251,-,t,e,-,s,i,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,t,l,-,-
high1278,-,s,e,k,t,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mono1275,-,n,-,-,-,3,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nort2954,-,p,-,-,-,3,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,p,-,i,-
pana1305,-,t,-,-,-,a,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
coma1245,-,t,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,v,-,i,-
kawa1283,-,n,-,-,-,3,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,t,s,i,-
hopi1249,-,n,i,-,-,3,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
tuba1278,3,n,-,-,-,3,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,7,-,-,-
tuba1278,-,n,-,-,-,3,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,7,-,3,t
cahu1264,-,-,-,-,-,i,-,-,y,-,-,-,-,-,-,-,-,-,u,-,i,u,i,a,t,-,-,-
kiow1266,-,t,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
