language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
huar1255,-,-,t,-,-,-,o,h,p,a,-,-,a,-,-,-,-
cent2131,-,-,r,-,-,-,o,-,p,a,-,-,a,-,-,-,-
mayo1264,-,-,t,o,-,-,o,-,p,-,-,-,a,-,-,-,-
yaqu1251,-,-,t,o,-,-,o,-,7,o,-,n,a,-,-,-,-
elna1235,-,-,h,-,-,-,u,-,k,a,-,-,a,-,-,-,-
elna1235,-,-,S,-,-,-,-,-,-,a,-,i,a,i,e,e,-
huic1243,-,-,h,-,-,-,u,-,k,a,-,-,a,-,-,-,-
huic1243,i,i,y,a,a,m,u,-,-,i,-,y,a,-,-,-,-
toho1245,-,-,w,-,-,-,o,-,k,-,-,-,-,-,-,-,-
pima1248,-,-,v,-,-,-,o,-,k,-,-,-,-,-,-,-,-
sout2976,-,-,b,-,-,-,o,-,k,-,-,-,-,-,-,-,-
nort2959,-,-,v,-,-,-,o,-,t,-,-,s,a,-,-,-,-
tete1251,-,-,h,-,-,-,-,-,t,-,-,-,e,-,-,-,-
high1278,-,-,p,-,-,-,-,-,-,-,-,-,o,-,-,S,-
pipi1250,i,-,h,-,-,-,-,-,t,-,-,-,i,-,-,-,-
mono1275,-,-,g,-,-,-,o,-,h,-,-,-,i,-,-,-,-
nort2954,-,-,k,-,-,-,o,-,h,-,-,-,i,-,-,-,-
pana1305,-,-,-,-,-,-,-,-,p,u,-,n,u,-,-,-,-
coma1245,-,-,s,-,-,-,a,-,p,-,-,-,3,-,-,h,-
kawa1283,-,-,s,-,-,-,a,-,p,3,-,-,i,-,-,v,3
hopi1249,-,-,-,-,-,-,-,-,p,o,o,n,o,-,-,-,-
tuba1278,-,-,S,-,-,-,a,-,p,-,-,-,u,-,-,S,t
cahu1264,-,-,t,-,-,-,e,e,7,i,-,l,i,-,-,-,-
kiow1266,-,-,b,o,-,-,o,-,t,-,-,-,-,-,-,-,-
