language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
huar1255,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,m,o,o,a,-,r,-,i,-,-
cent2131,-,-,-,-,-,n,-,-,-,-,-,-,-,o,-,-,-,-,-,-,r,i,i,-,-
mayo1264,-,-,-,-,-,n,a,-,-,-,-,-,-,a,-,m,-,-,-,-,-,-,u,-,-
yaqu1251,-,-,-,-,-,n,a,-,-,a,-,-,-,a,-,m,-,-,-,-,-,-,u,k,-
yaqu1251,-,-,-,-,-,n,a,-,-,a,-,-,-,a,-,m,-,-,-,-,-,-,u,-,-
elna1235,-,-,-,-,-,-,a,-,-,i,a,i,t,3,-,-,-,-,-,-,r,-,i,-,-
huic1243,-,-,-,-,-,h,a,-,-,i,w,i,t,3,-,-,-,-,-,-,r,-,i,-,-
toho1245,-,-,-,-,-,t,S,-,-,-,-,-,-,3,-,w,-,-,a,-,g,-,i,-,-
pima1248,-,-,-,-,-,t,-,-,-,-,-,-,-,3,-,v,-,-,a,-,g,-,-,-,-
sout2976,-,-,-,-,-,t,-,-,-,-,-,-,-,3,-,b,-,-,a,-,7,-,-,-,-
nort2959,y,d,Z,i,-,t,s,-,-,-,-,-,-,o,-,m,-,-,e,-,-,-,-,-,-
tete1251,-,-,m,e,S,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-
high1278,-,-,m,i,S,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
pipi1250,-,-,m,i,s,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,l,-
mono1275,-,-,-,-,-,t,o,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,e,-,-
nort2954,-,-,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-,m,-,i,-,-
pana1305,-,-,-,-,-,-,-,p,-,a,-,-,k,3,-,n,-,-,a,-,p,-,3,h,-
coma1245,-,-,-,-,-,t,o,m,o,a,-,-,k,-,-,-,-,-,a,-,t,-,3,-,-
kawa1283,-,-,-,-,-,k,-,-,-,-,-,-,-,3,-,n,-,-,a,-,v,-,i,-,-
hopi1249,-,-,-,-,-,-,o,-,-,-,-,-,-,o,o,m,-,-,a,-,w,-,3,-,-
tuba1278,-,-,-,-,-,p,-,-,-,a,-,-,S,u,-,-,-,-,-,-,m,-,i,s,t
cahu1264,-,-,-,-,-,w,-,-,-,-,-,-,-,e,-,-,-,-,e,w,n,-,i,S,-
kiow1266,-,-,p,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-
