language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
huar1255,-,-,-,-,p,-,-,-,-,-,-,-,e,h,t,-,i,-,-,-,i,-,-
cent2131,-,-,-,-,b,-,-,-,-,-,-,-,e,-,t,-,e,e,a,m,e,-,-
mayo1264,-,-,-,-,b,-,-,-,-,-,e,-,e,-,t,-,-,-,-,-,e,-,-
yaqu1251,-,-,-,-,b,-,-,-,-,-,e,-,e,-,t,-,-,-,-,-,e,7,a
elna1235,t,i,i,i,h,-,-,-,-,-,-,-,e,-,t,-,y,-,-,-,e,-,-
huic1243,-,-,-,-,h,-,-,-,-,-,-,-,e,-,t,-,-,-,-,-,e,-,-
toho1245,s,-,-,-,w,-,-,-,-,-,-,-,3,T,t,-,-,-,-,-,S,-,-
pima1248,s,-,-,-,v,-,-,-,-,-,-,-,3,-,t,-,-,-,-,-,-,-,-
sout2976,-,-,-,-,b,-,-,-,-,-,-,-,3,-,t,-,-,-,-,-,-,-,-
nort2959,-,-,-,-,v,-,3,-,-,-,i,-,3,-,t,-,-,-,-,-,3,-,-
tete1251,-,-,-,i,y,-,-,-,-,-,-,-,e,-,t,-,-,-,-,-,i,k,-
high1278,-,-,-,-,-,-,-,-,-,-,-,-,e,-,t,-,-,-,-,-,i,k,-
pipi1250,-,-,-,-,h,-,-,-,-,-,-,-,e,-,t,-,-,-,-,-,e,k,-
mono1275,-,-,-,-,n,-,-,-,-,-,3,n,3,-,k,-,w,-,-,-,3,-,-
nort2954,-,-,-,-,n,-,-,-,-,-,3,n,3,-,k,-,w,-,-,-,i,-,-
nort2954,-,-,-,-,n,-,-,-,-,-,3,n,3,-,k,-,w,-,-,-,i,-,-
pana1305,-,-,-,-,p,-,-,-,-,-,-,-,3,-,t,-,-,-,-,-,i,-,-
coma1245,-,-,-,-,p,-,-,-,-,-,-,-,u,h,t,-,-,-,-,-,u,-,-
kawa1283,-,-,-,-,p,-,-,-,-,-,-,-,i,-,t,a,7,-,-,-,a,-,-
hopi1249,-,-,-,-,p,-,-,-,-,-,-,-,3,-,t,-,-,-,-,-,3,-,-
tuba1278,-,-,-,i,p,-,-,-,-,-,-,-,3,-,l,-,-,-,-,-,3,7,-
tuba1278,-,-,-,-,p,-,-,-,-,-,-,-,3,-,l,-,-,-,-,-,3,7,-
cahu1264,-,-,-,-,p,-,-,-,-,-,e,-,e,-,l,-,-,-,-,-,e,m,a
kiow1266,-,-,-,-,p,h,i,i,i,h,e,-,e,-,-,-,-,-,-,-,e,-,-
