language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
huar1255,t,-,-,-,-,-,u,-,-,-,-,g,-,-,-,-,a,o,-,o,-,-,-,-
cent2131,r,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,a,w,a,l,i,-,-
mayo1264,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,a,-,a,r,i,-,-
yaqu1251,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,-,-,a,r,i,-,a
elna1235,t,-,i,-,-,-,3,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,7,a
huic1243,t,-,-,-,-,-,3,-,-,-,-,k,-,-,-,-,a,-,-,a,r,i,k,a
toho1245,t,S,u,-,h,-,u,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-
pima1248,t,-,-,-,-,-,u,k,-,-,-,g,-,-,-,-,a,-,-,-,m,-,-,-
sout2976,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,-,-,-,7,-,-,-
nort2959,t,-,-,-,-,-,u,t,-,s,a,g,-,-,-,u,i,-,-,-,-,-,-,-
tete1251,-,-,-,-,-,-,-,-,i,y,o,w,-,-,-,-,a,-,-,-,l,i,-,-
high1278,-,-,-,-,-,-,-,-,i,y,o,w,-,-,-,-,a,-,-,-,l,-,-,-
pipi1250,-,-,-,-,-,-,u,-,i,y,u,v,-,-,-,-,a,-,-,-,l,i,-,-
pipi1250,t,-,-,-,-,-,i,k,i,y,u,v,-,-,-,u,a,-,-,-,l,i,-,-
mono1275,t,-,-,-,-,-,o,-,-,-,-,q,-,-,-,-,a,-,-,-,-,-,-,-
nort2954,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-
nort2954,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-
pana1305,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,w,a,-,-,-,n,i,-,-
coma1245,t,-,-,-,-,-,u,-,-,-,-,k,-,-,-,-,a,-,-,-,n,i,-,-
kawa1283,t,-,-,-,-,-,u,-,-,-,-,g,-,-,-,w,a,-,-,-,-,-,-,-
hopi1249,m,-,i,-,h,i,i,-,-,-,-,k,-,-,-,p,3,-,-,-,-,-,-,-
hopi1249,m,-,i,i,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tuba1278,t,-,-,-,-,-,u,-,-,-,-,g,-,-,-,-,a,-,-,-,l,-,-,-
tuba1278,t,-,-,-,-,-,u,-,-,-,-,g,-,-,-,-,i,-,-,-,t,-,-,-
cahu1264,t,-,-,-,-,-,u,-,-,-,u,k,m,i,i,y,a,-,-,-,t,-,-,-
kiow1266,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,i,-,-,-,-,-,-,-
