language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
huar1255,-,-,-,-,t,-,-,-,s,-,e,-,-,-,-,-,-
huar1255,-,-,-,-,t,-,-,-,s,-,a,-,-,-,-,-,-
cent2131,-,-,-,-,t,-,-,-,S,-,a,n,i,i,-,-,-
mayo1264,-,-,-,-,-,-,-,-,h,-,-,-,i,a,a,w,a
yaqu1251,-,-,-,-,-,-,-,-,h,-,-,-,i,i,-,-,a
yaqu1251,-,-,-,-,-,-,-,-,h,-,-,-,i,i,a,w,a
elna1235,-,-,-,-,-,-,-,-,S,-,a,-,-,-,-,-,-
huic1243,-,-,-,-,i,-,-,-,t,-,e,-,-,-,-,-,-
toho1245,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,g,-
pima1248,-,-,-,-,t,-,-,-,-,-,3,-,-,-,-,7,3
sout2976,-,-,-,-,t,3,i,i,y,-,a,-,-,-,-,7,-
nort2959,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,g,i
tete1251,h,-,-,-,t,-,-,-,o,-,a,-,-,-,-,-,-
high1278,k,-,i,h,t,-,-,-,o,-,a,-,-,-,-,-,-
pipi1250,-,-,i,-,n,-,-,-,-,-,a,-,-,-,-,s,-
mono1275,-,-,i,-,n,-,-,-,-,-,e,-,-,-,-,-,-
mono1275,-,-,i,-,n,-,-,-,-,-,e,-,-,-,-,-,-
nort2954,-,-,3,-,n,-,a,-,-,w,i,-,-,-,-,-,-
nort2954,-,-,3,-,n,-,a,-,k,w,i,-,-,-,-,-,-
pana1305,-,-,i,-,y,-,3,-,k,w,i,-,-,-,-,-,-
coma1245,n,-,i,-,-,-,-,-,k,w,i,-,-,-,-,-,-
kawa1283,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-
hopi1249,k,i,i,-,t,-,-,-,-,-,a,-,-,-,-,-,-
tuba1278,p,-,i,-,N,-,-,-,g,-,3,-,-,-,-,-,-
cahu1264,k,u,u,-,t,-,-,-,-,-,a,-,-,-,-,S,-
kiow1266,-,-,-,-,t,o,-,-,o,-,o,-,-,-,-,-,-
