language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
huar1255,-,-,-,-,-,w,-,-,-,-,e,r,i,-,-,-,i,-,-
cent2131,-,-,-,-,-,w,-,-,-,-,i,l,i,-,-,-,i,-,-
mayo1264,-,-,-,-,-,k,-,-,-,-,i,-,i,k,t,-,e,k,-
yaqu1251,-,-,-,-,-,k,-,-,-,-,-,-,i,k,t,-,e,-,-
elna1235,-,a,-,a,-,h,-,-,-,-,-,-,-,-,t,S,e,s,i
huic1243,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,e,-,-
toho1245,-,-,-,-,-,k,-,-,-,-,3,-,-,k,-,-,-,-,-
pima1248,-,-,-,-,-,k,-,-,-,-,3,-,-,k,-,-,-,-,-
sout2976,-,-,-,-,-,k,-,-,-,-,3,-,-,k,-,-,a,7,-
nort2959,-,-,-,-,-,t,s,u,t,s,a,n,-,-,-,-,i,-,-
nort2959,-,-,-,-,-,t,s,u,-,-,a,n,-,t,-,-,a,-,-
nort2959,-,-,-,-,-,t,s,u,q,-,u,-,-,k,-,-,e,-,-
tete1251,-,-,-,i,h,k,-,-,-,-,a,-,-,-,t,-,i,k,a
high1278,-,-,-,i,h,k,-,-,-,-,a,-,-,-,t,-,o,k,-
pipi1250,-,-,-,i,h,k,-,-,-,-,a,-,-,-,t,-,u,k,-
mono1275,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
nort2954,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
nort2954,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
pana1305,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
coma1245,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
kawa1283,-,-,-,-,-,w,-,-,-,-,3,-,-,-,n,-,3,-,-
hopi1249,-,-,-,-,-,w,-,i,-,-,3,-,-,-,n,-,3,-,-
tuba1278,-,3,7,3,-,w,-,-,-,-,3,-,-,-,n,-,-,-,-
tuba1278,-,3,-,i,-,w,-,-,-,-,3,-,-,-,n,-,-,-,-
cahu1264,w,e,-,e,-,w,-,-,-,-,e,-,-,-,n,-,-,-,-
kiow1266,-,-,-,-,-,d,-,e,-,-,e,-,-,-,-,-,e,-,-
