language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
huar1255,k,a,-,-,-,-,h,e,-,e,-,-,-,-,-,-,-,-,-,-
cent2131,k,u,-,-,-,-,h,e,-,e,-,-,-,-,-,-,-,-,-,-
mayo1264,-,-,-,-,-,-,b,e,-,e,e,w,a,-,-,-,-,-,-,-
yaqu1251,-,-,-,-,-,-,b,e,-,e,-,-,a,-,-,-,-,-,-,-
elna1235,k,u,u,t,s,a,p,e,7,e,-,-,-,-,-,-,-,-,-,-
toho1245,-,-,-,-,-,-,-,3,l,-,-,d,a,-,-,-,g,-,-,-
pima1248,-,-,-,-,-,-,-,3,l,i,-,d,a,-,-,-,g,-,-,-
sout2976,-,-,-,-,-,-,-,-,k,-,-,-,o,-,-,-,m,-,-,-
nort2959,-,-,-,-,-,-,h,i,l,i,-,d,a,-,-,-,g,a,-,-
tete1251,-,i,-,-,-,-,y,e,w,-,-,-,a,-,i,-,y,u,t,l
high1278,-,-,-,-,-,-,-,e,w,-,-,-,a,-,-,-,-,-,t,-
pipi1250,-,i,i,-,-,-,y,e,w,-,-,-,a,-,i,-,y,u,-,-
pipi1250,-,-,-,-,-,-,y,u,w,-,-,-,a,-,i,-,y,o,-,-
mono1275,-,-,-,-,-,-,w,o,7,-,-,-,a,g,a,-,p,3,-,-
nort2954,-,-,-,-,-,-,p,u,7,-,-,-,a,-,-,-,-,-,-,-
pana1305,-,-,-,-,-,-,p,o,7,-,-,-,a,-,-,-,-,-,-,-
coma1245,-,-,-,-,-,-,p,o,7,-,-,-,a,-,-,-,-,-,-,-
kawa1283,-,-,-,-,-,-,-,a,s,i,-,-,a,-,-,-,v,i,-,-
hopi1249,-,-,-,-,-,-,-,t,s,i,-,-,i,-,i,-,p,3,-,-
tuba1278,-,o,-,-,-,-,p,u,n,-,-,-,-,-,-,-,-,-,-,-
tuba1278,-,o,-,-,-,-,p,i,t,-,-,-,-,-,-,-,-,-,-,-
cahu1264,-,-,-,-,-,-,-,-,t,-,-,-,a,-,a,-,S,a,-,-
cahu1264,-,-,-,-,-,-,-,-,t,-,-,-,a,-,a,t,S,a,-,l
kiow1266,k,-,-,-,-,-,h,o,-,i,-,-,-,-,-,-,-,-,-,-
