id,doculect,concept,forms,lexstatid,db
235114,jeju1234,HAND,s o n,59,leekoreanic
235115,jeju1234,LEFT,w e n,73,leekoreanic
235116,jeju1234,RIGHT,o + ɾ ɨ n + p e n,95,leekoreanic
235117,jeju1234,WALK,k ə ɾ,141,leekoreanic
235118,jeju1234,ROAD,tɕ i l,97,leekoreanic
235119,jeju1234,TURN,t o l + l i n,138,leekoreanic
235120,jeju1234,DUST,k u + d u m,32,leekoreanic
235121,jeju1234,BACK,t ɨ ŋ + ə + ɾ i,9,leekoreanic
235122,jeju1234,BELLY,p ɛ,11,leekoreanic
235123,jeju1234,BONE,k͈ w a ŋ,16,leekoreanic
235124,jeju1234,INTESTINES,tɕʰ a ŋ,70,leekoreanic
235125,jeju1234,BREAST,k a + s i m,18,leekoreanic
235126,jeju1234,SHOULDER,ə k + k ɛ,107,leekoreanic
235127,jeju1234,THINK,h e + a + ɾ i n,131,leekoreanic
235128,jeju1234,FEAR (BE AFRAID),tɕ ə + t ɨ n,43,leekoreanic
235129,jeju1234,HEAD,t ɛ + g a ŋ + i,60,leekoreanic
235130,jeju1234,NECK,dʑ a + g a + g i,86,leekoreanic
235131,jeju1234,HAIR,h ə + u n + d ə + g i,58,leekoreanic
235132,jeju1234,NOSE,kʰ o,89,leekoreanic
235133,jeju1234,MOUTH,k u l + ɾ ɛ + k͈ w a + i,82,leekoreanic
235134,jeju1234,TOOTH,n ɨ j + p͈ a l,136,leekoreanic
235135,jeju1234,TONGUE,s e + k͈ a + d a k,135,leekoreanic
235136,jeju1234,VOMIT,n ɛ + tɕʰ i,140,leekoreanic
235137,jeju1234,SPIT,p a + k͈ ɨ,117,leekoreanic
235138,jeju1234,EAT,m ə ŋ + n ɨ n,36,leekoreanic
235139,jeju1234,CHEW,n ə + ɨ l,21,leekoreanic
235140,jeju1234,COOK (SOMETHING),dʑ o + ɾ i,27,leekoreanic
235141,jeju1234,SUCK,p͈ ɔ n,124,leekoreanic
235142,jeju1234,EAR,k w i + t w i + i,33,leekoreanic
235143,jeju1234,HEAR,t ɨ n + n ɨ n,61,leekoreanic
235144,jeju1234,EYE,n u n + k͈ a + ɾ i,39,leekoreanic
235145,jeju1234,YAWN,h a + u i + dʑ e m,152,leekoreanic
235146,jeju1234,SLEEP,tɕ a n,111,leekoreanic
235147,jeju1234,LIE DOWN,n u k,74,leekoreanic
235148,jeju1234,SIT,a t,109,leekoreanic
235149,jeju1234,PERSON,s aː + ɾ a m,90,leekoreanic
235150,jeju1234,MALE,s a + n a + i,78,leekoreanic
235151,jeju1234,FEMALE PERSON,k a + s ɨ + n a + g i,45,leekoreanic
235152,jeju1234,CHILD,h ɛ t + a + i,22,leekoreanic
235153,jeju1234,HUSBAND,n a m + p e n,67,leekoreanic
235154,jeju1234,MOTHER,ə + m e ŋ,80,leekoreanic
235155,jeju1234,FATHER,a + b a ŋ,42,leekoreanic
235156,jeju1234,HOUSE,tɕ i p + p͈ ɛ,66,leekoreanic
235157,jeju1234,THATCH OR ROOF,tɕ i + b o ŋ + k͈ u,128,leekoreanic
235158,jeju1234,NAME,i l + ɾ u m,83,leekoreanic
235159,jeju1234,ROPE,p ɛ,99,leekoreanic
235160,jeju1234,NEEDLE (FOR SEWING),p a + n ɨ l,87,leekoreanic
235161,jeju1234,STEAL,k o p + tɕʰ i n,121,leekoreanic
235162,jeju1234,SCRATCH,k ɨ k,104,leekoreanic
235163,jeju1234,CUT,tɕ a + ɾ ɨ n,28,leekoreanic
235164,jeju1234,STICK,m a k + t ɛ ŋ + g i,122,leekoreanic
235165,jeju1234,SPLIT,k a l + ɾ ɨ n,118,leekoreanic
235166,jeju1234,BLUNT,m u + k͈ i,15,leekoreanic
235167,jeju1234,PLANT (SOMETHING),s i m + g ɨ n,91,leekoreanic
235168,jeju1234,CHOOSE,k o + ɾ ɨ n,23,leekoreanic
235169,jeju1234,GROW,tɕ i l + l ɨ n,57,leekoreanic
235170,jeju1234,SWELL,p u + s i,126,leekoreanic
235171,jeju1234,SQUEEZE,tɕʰ o,119,leekoreanic
235172,jeju1234,HOLD,s i m + n ɨ n,64,leekoreanic
