id,doculect,concept,forms,lexstatid,db
148049,east2551,ONE,h u k,356,crossandean
148050,east2551,ONE,h u χ,356,crossandean
148051,east2551,ONE,h u q,356,crossandean
148052,ayac1239,ONE,h u k,356,crossandean
148053,chac1250,ONE,s u x,356,crossandean
148054,caja1238,ONE,s u χ,356,crossandean
148055,chip1262,ONE,z i n t a,358,crossandean
148056,cusc1236,ONE,h u χ,356,crossandean
148057,hual1241,ONE,h u k,356,crossandean
148058,huay1241,ONE,s u k,356,crossandean
148059,jauj1238,ONE,h u k,356,crossandean
148060,imba1240,ONE,ʃ u k,356,crossandean
148061,lamb1276,ONE,u k,356,crossandean
148062,jaqa1244,ONE,m a j a,357,crossandean
148063,cauq1239,ONE,m a j a,357,crossandean
148064,sanm1289,ONE,s u k,356,crossandean
148065,yauy1235,ONE,h u k,356,crossandean
148066,sout2991,ONE,u x,356,crossandean
148067,napo1242,ONE,ʃ u,356,crossandean
148068,paca1245,ONE,x u k,356,crossandean
148069,sout2990,ONE,ʃ u k,356,crossandean
148070,puno1238,ONE,u x,356,crossandean
148071,inga1252,ONE,s u g,356,crossandean
148072,sant1432,ONE,s u x,356,crossandean
148073,tena1240,ONE,ʃ u x,356,crossandean
148074,coro1247,ONE,u k,356,crossandean
148075,east2551,TEN,tʃ u n k a,506,crossandean
148076,ayac1239,TEN,tʃ u n k a,506,crossandean
148077,chac1250,TEN,ʈʂ u n g a,506,crossandean
148078,caja1238,TEN,ʈʂ u n g a,506,crossandean
148079,chip1262,TEN,t u n k a,506,crossandean
148080,cusc1236,TEN,tʃ u n k a,506,crossandean
148081,hual1241,TEN,tʃ u n k a,506,crossandean
148082,huay1241,TEN,ʈʂ u n k a,506,crossandean
148083,imba1240,TEN,tʃ u n g a,506,crossandean
148084,lamb1276,TEN,d i e s,507,crossandean
148085,jaqa1244,TEN,ʈʂ u n k a,506,crossandean
148086,cauq1239,TEN,ʈʂ u n k a,506,crossandean
148087,sanm1289,TEN,tʃ u n g a,506,crossandean
148088,yauy1235,TEN,ʈʂ u n k a,506,crossandean
148089,sout2991,TEN,tʃ u n k a,506,crossandean
148090,napo1242,TEN,tʃ u n g a,506,crossandean
148091,paca1245,TEN,ʈʂ u ŋ k a,506,crossandean
148092,sout2990,TEN,tʃ i n g u,506,crossandean
148093,puno1238,TEN,tʃ u n k a,506,crossandean
148094,inga1252,TEN,tʃ u n g a,506,crossandean
148095,sant1432,TEN,tʃ u ŋ k a,506,crossandean
148096,tena1240,TEN,tʃ u n g a,506,crossandean
148097,coro1247,TEN,ʈʂ u n k a,506,crossandean
148098,east2551,GREEN,q o m i r,205,crossandean
148099,ayac1239,GREEN,χ u m i !r̝/r,205,crossandean
148100,chac1250,GREEN,tʃ i k j a x,206,crossandean
148101,caja1238,GREEN,tʃ i ʁ j a x,206,crossandean
148102,chip1262,GREEN,tʃʼ o j ɲ a,207,crossandean
148103,cusc1236,GREEN,qʼ u m i r,205,crossandean
148104,hual1241,GREEN,b e r d e,208,crossandean
148105,huay1241,GREEN,b i ɾ d i,208,crossandean
148106,imba1240,GREEN,b i ɾ d i,208,crossandean
148107,lamb1276,GREEN,tʃ i χ j a χ,206,crossandean
148108,jaqa1244,GREEN,b e r d e,208,crossandean
148109,cauq1239,GREEN,tʃ i k j a,206,crossandean
148110,sanm1289,GREEN,tʃ i k j a k,206,crossandean
