id,doculect,concept,forms,lexstatid,db
323575,tlah1239,ALL,t u k ə ʔ j,8,wichmannmixezoquean
323576,coat1238,ALL,t u ʔ u k + ʔ o k ə j,2,wichmannmixezoquean
323577,sayu1241,ALL,n u + p ə h ə n,6,wichmannmixezoquean
323578,olut1240,ALL,n i ʔ t i ʔ k,5,wichmannmixezoquean
323579,texi1237,ALL,b u m b e,7,wichmannmixezoquean
323580,high1276,ALL,i k u m ə h,4,wichmannmixezoquean
323581,chim1300,ALL,a ŋ t e n e ʔ,1,wichmannmixezoquean
323582,chim1300,ALL,h e m h i ʔ,9,wichmannmixezoquean
323583,copa1236,ALL,m u m u,3,wichmannmixezoquean
323584,toto1305,ASH,h aː h m,10,wichmannmixezoquean
323585,tlah1239,ASH,h aː m,10,wichmannmixezoquean
323586,coat1238,ASH,k u j + h aː m,10,wichmannmixezoquean
323587,sayu1241,ASH,k u j + h a h m,10,wichmannmixezoquean
323588,olut1240,ASH,h a m ə,10,wichmannmixezoquean
323589,texi1237,ASH,k u j a m,11,wichmannmixezoquean
323590,high1276,ASH,k u j + h a m,10,wichmannmixezoquean
323591,chim1300,ASH,k u j + h a m,10,wichmannmixezoquean
323592,chim1300,ASH,k u j + h a m,10,wichmannmixezoquean
323593,copa1236,ASH,k u j + h a m,10,wichmannmixezoquean
323594,toto1305,BARK,k ɨ p + a k,12,wichmannmixezoquean
323595,tlah1239,BARK,a k,13,wichmannmixezoquean
323596,coat1238,BARK,a k,13,wichmannmixezoquean
323597,sayu1241,BARK,a k,13,wichmannmixezoquean
323598,texi1237,BARK,k u j + d aː k,12,wichmannmixezoquean
323599,chim1300,BARK,n a k a,12,wichmannmixezoquean
323600,chim1300,BARK,k u j + n a k a,12,wichmannmixezoquean
323601,copa1236,BARK,k u ʔ j u + n a k a,12,wichmannmixezoquean
323602,toto1305,BELLY,t iː n ts,17,wichmannmixezoquean
323603,tlah1239,BELLY,m æː ts,18,wichmannmixezoquean
323604,coat1238,BELLY,m o ʔ o ʃ a k,15,wichmannmixezoquean
323605,sayu1241,BELLY,t i n + tʃ a j,17,wichmannmixezoquean
323606,olut1240,BELLY,p u ʔ p u,16,wichmannmixezoquean
323607,texi1237,BELLY,ts e k,14,wichmannmixezoquean
323608,chim1300,BELLY,ts e k,14,wichmannmixezoquean
323609,chim1300,BELLY,ts e k,14,wichmannmixezoquean
323610,copa1236,BELLY,ts e k,14,wichmannmixezoquean
323611,toto1305,BIG,m ə h,20,wichmannmixezoquean
323612,tlah1239,BIG,m ə h,20,wichmannmixezoquean
323613,coat1238,BIG,m ə h,20,wichmannmixezoquean
323614,sayu1241,BIG,m ə h,20,wichmannmixezoquean
323615,olut1240,BIG,t a ʔ n ə k,21,wichmannmixezoquean
323616,texi1237,BIG,w əː tʃ e ʔ,19,wichmannmixezoquean
323617,high1276,BIG,m ə h,20,wichmannmixezoquean
323618,chim1300,BIG,w ə t i ʔ,19,wichmannmixezoquean
323619,chim1300,BIG,k o m i ʔ,20,wichmannmixezoquean
323620,copa1236,BIG,m ə h a,20,wichmannmixezoquean
323621,toto1305,BIRD,h əː j v a,25,wichmannmixezoquean
323622,tlah1239,BIRD,h oː n,22,wichmannmixezoquean
323623,coat1238,BIRD,h oː n,22,wichmannmixezoquean
323624,sayu1241,BIRD,h o h n,22,wichmannmixezoquean
323625,olut1240,BIRD,m uː ʃ i,24,wichmannmixezoquean
323626,texi1237,BIRD,h o n,22,wichmannmixezoquean
323627,high1276,BIRD,h o n,22,wichmannmixezoquean
323628,chim1300,BIRD,h o n,22,wichmannmixezoquean
