id,doculect,concept,forms,lexstatid,db
159796,akun1241,I,õ n,389,galuciotupi
159797,arua1261,I,õ/õː t,389,galuciotupi
159798,gavi1246,I,õ/õː t,389,galuciotupi
159799,juru1256,I,u n a,389,galuciotupi
159800,karo1305,I,ʔ õ n,389,galuciotupi
159801,kari1311,I,ĩ n,389,galuciotupi
159802,maku1278,I,õ n,389,galuciotupi
159803,saki1248,I,õ n,392,galuciotupi
159804,mund1330,I,õ n,389,galuciotupi
159805,puru1264,I,ʔ õ n,389,galuciotupi
159806,suru1262,I,ó/o + ẽ n,394,galuciotupi
159807,tupa1250,I,õ n,389,galuciotupi
159808,wayo1238,I,õ n,389,galuciotupi
159809,awet1244,I,i t o,390,galuciotupi
159810,sate1243,I,u j t o,393,galuciotupi
159811,para1311,I,ʃ e,391,galuciotupi
159812,tapi1254,I,i e,391,galuciotupi
159813,urub1250,I,i h ẽ,391,galuciotupi
159814,akun1241,THOU,e n,780,galuciotupi
159815,arua1261,THOU,ẽː t,780,galuciotupi
159816,awet1244,THOU,ʔ e n,780,galuciotupi
159817,gavi1246,THOU,ẽː t,780,galuciotupi
159818,juru1256,THOU,e n a,780,galuciotupi
159819,karo1305,THOU,ʔ ẽ n,780,galuciotupi
159820,kari1311,THOU,ã n,780,galuciotupi
159821,maku1278,THOU,ẽ n,780,galuciotupi
159822,saki1248,THOU,ẽ t,780,galuciotupi
159823,mund1330,THOU,ẽ́/ẽ n,780,galuciotupi
159824,sate1243,THOU,e n,780,galuciotupi
159825,puru1264,THOU,ʔ ẽ n,780,galuciotupi
159826,suru1262,THOU,é/e + ẽ n,780,galuciotupi
159827,tupa1250,THOU,ẽ n,780,galuciotupi
159828,wayo1238,THOU,ʔ ẽ n,780,galuciotupi
159829,para1311,THOU,n d e,781,galuciotupi
159830,tapi1254,THOU,a n e,781,galuciotupi
159831,urub1250,THOU,n d e,781,galuciotupi
159832,para1311,WE (INCLUSIVE),ɲ a n d e,835,galuciotupi
159833,tapi1254,WE (INCLUSIVE),t j a n e,835,galuciotupi
159834,urub1250,WE (INCLUSIVE),j a n d e,835,galuciotupi
