id,doculect,concept,forms,lexstatid,db
182030,amba1263,ANIMAL,n j + a m a,2,grollemundbantu
182031,amba1263,ARM,k + ɯ k ɯ,32,grollemundbantu
182032,amba1263,BELLY,k i + h u,209,grollemundbantu
182033,amba1263,BIRD,n j + u n i,320,grollemundbantu
182034,amba1263,BONE,m a + k u e,424,grollemundbantu
182035,amba1263,BREAST,i + w e r e,455,grollemundbantu
182036,amba1263,CHILD,m u + k e r e m b e,558,grollemundbantu
182037,amba1263,COME,v u,628,grollemundbantu
182038,amba1263,DOG,m + b w a,770,grollemundbantu
182039,amba1263,EAR,k u + t u e,823,grollemundbantu
182040,amba1263,EGG,m a + h ɯ l i,915,grollemundbantu
182041,amba1263,ELEPHANT,n + d s ɯ g u,952,grollemundbantu
182042,amba1263,EYE,l i + i s ɯ,965,grollemundbantu
182043,amba1263,FACE,a l + i n s ɯ,981,grollemundbantu
182044,amba1263,ORGANIC FAT OR OIL,b i + s a b ɯ,2429,grollemundbantu
182045,amba1263,FINGERNAIL,k i + k u r u,1092,grollemundbantu
182046,amba1263,FIRE,m u + l i r ɯ,1152,grollemundbantu
182047,amba1263,FISH,i + s u i,1239,grollemundbantu
182048,amba1263,FIVE,t a n ɯ,1277,grollemundbantu
182049,amba1263,FOUR,n a i,1340,grollemundbantu
182050,amba1263,GOAT,m + b u l i,1394,grollemundbantu
182051,amba1263,HAIR (HEAD),i + s ɯ k ɯ,1423,grollemundbantu
182052,amba1263,HEAD,m u + t w e,1473,grollemundbantu
182053,amba1263,HEART,m u + t e m a,1546,grollemundbantu
182054,amba1263,HOUSE,n j + u m b a,1604,grollemundbantu
182055,amba1263,HUNGER,n + j e r a,1630,grollemundbantu
182056,amba1263,IRON,k i + ɯ m a,1691,grollemundbantu
182057,amba1263,KNEE,k u r u,1784,grollemundbantu
182058,amba1263,KNIFE,m u + h i ɯ,1830,grollemundbantu
182059,amba1263,LEG,n + s u m e,1986,grollemundbantu
182060,amba1263,MOON,m u + e p i,2169,grollemundbantu
182061,amba1263,MOUTH,m u + n w a,2197,grollemundbantu
182062,amba1263,NAME,l + i n j a,2217,grollemundbantu
182063,amba1263,NAVEL,m u + k u n d e,2240,grollemundbantu
182064,amba1263,NECK,v i + k i a,2277,grollemundbantu
182065,amba1263,NIGHT,m + k i r ɯ,2312,grollemundbantu
182066,amba1263,NOSE,m u + h u r e,2352,grollemundbantu
182067,amba1263,ONE,k i m o i,2385,grollemundbantu
182068,amba1263,RAIN (PRECIPITATION),m + b u r a,2486,grollemundbantu
182069,amba1263,ROAD,c i + h a n d ɯ,2509,grollemundbantu
182070,amba1263,SALT,k i + s u r a,2595,grollemundbantu
