id,doculect,concept,forms,lexstatid,db
230314,deni1241,AXE,b a r i,40,kahd
230315,jama1261,AXE,b a r i,40,kahd
230316,culi1244,AXE,dz a m i,39,kahd
230317,culi1244,AXE,b a ɾ i,40,kahd
230318,suru1263,AXE,b aː ɾ i,40,kahd
230319,deni1241,GOOD,a m o tsʰ i,341,kahd
230320,jama1261,GOOD,a m o s a,341,kahd
230321,paum1247,GOOD,dʒ a h a,343,kahd
230322,paum1247,GOOD,m a kʰ a n i,344,kahd
230323,amar1274,GOOD,n/d a k,340,kahd
230324,kana1291,GOOD,n u k,342,kahd
230325,deni1241,FIRE,j i pʰ o,283,kahd
230326,jama1261,FIRE,j i ɸ o,283,kahd
230327,culi1244,FIRE,j i pʰ o,283,kahd
230328,paum1247,FIRE,s i h o,284,kahd
230329,suru1263,FIRE,a b i,285,kahd
230330,deni1241,FISH,a b a,293,kahd
230331,deni1241,FISH,k o r o b o,295,kahd
230332,jama1261,FISH,a b a,293,kahd
230333,jama1261,FISH,k o r o b o,295,kahd
230334,jama1261,FISH,s i r a b a,293,kahd
230335,culi1244,FISH,a b a,293,kahd
230336,culi1244,FISH,kʰ o ɾ o b o,295,kahd
230337,paum1247,FISH,a b a i s a n a,294,kahd
230338,paum1247,FISH,s i r a b a,293,kahd
230339,suru1263,FISH,a b a,293,kahd
230340,suru1263,FISH,aː b a,293,kahd
230341,amar1274,FISH,m/b i ʔ i g ŋ,292,kahd
230342,deni1241,HOUSE,j a m a r i,396,kahd
230343,suru1263,HOUSE,uː d a,397,kahd
230344,amar1274,HOUSE,h a k,395,kahd
230345,deni1241,LAKE,k o r i j a,429,kahd
230346,culi1244,LAKE,k o ɾ i j a,429,kahd
230347,culi1244,LAKE,k o ɾ i dz a,429,kahd
230348,paum1247,LAKE,ɗ a k o,430,kahd
230349,suru1263,LAKE,t a k i,430,kahd
230350,deni1241,MAN,dz a b i ts u,467,kahd
230351,deni1241,MAN,m a kʰ i,466,kahd
230352,jama1261,MAN,m a k i t i,466,kahd
230353,culi1244,MAN,m a kʰ i,466,kahd
230354,paum1247,MAN,m a kʰ i r a,466,kahd
230355,suru1263,MAN,i m e k i,466,kahd
230356,deni1241,MOON,a b a j i k o,485,kahd
230357,jama1261,MOON,a b a r i k o,485,kahd
230358,culi1244,MOON,a b a j i k o,485,kahd
230359,paum1247,MOON,m a s i k o,485,kahd
230360,suru1263,MOON,m a s i k i,485,kahd
230361,kana1291,MOON,w a dʒ a,486,kahd
230362,amar1274,MOON,p u g n,484,kahd
230363,deni1241,STAR,a m o w a,717,kahd
230364,jama1261,STAR,a m o w a,717,kahd
230365,culi1244,STAR,a m o w a,717,kahd
230366,suru1263,STAR,a m u w a,717,kahd
230367,deni1241,TAPIR,a w i,753,kahd
230368,jama1261,TAPIR,a w i,753,kahd
230369,culi1244,TAPIR,a w i,753,kahd
230370,suru1263,TAPIR,m aː h u n ɨ,754,kahd
230371,amar1274,TAPIR,k e m e,752,kahd
230372,deni1241,WHITE-LIPPED PECCARY,h i j a m a,832,kahd
230373,jama1261,WHITE-LIPPED PECCARY,h i j a m a,832,kahd
230374,culi1244,WHITE-LIPPED PECCARY,h i j a m a,832,kahd
230375,suru1263,WHITE-LIPPED PECCARY,i j a m a,832,kahd
230376,suru1263,WHITE-LIPPED PECCARY,k a h i ɾ i,833,kahd
230377,suru1263,WHITE-LIPPED PECCARY,dʒ a m a k a h i ɾ i,833,kahd
230378,suru1263,WHITE-LIPPED PECCARY,dʒ a m ə k a h i ɾ i,833,kahd
230379,jama1261,FOOT,t e m e,314,kahd
230380,culi1244,FOOT,a m o ɾ i,313,kahd
230381,paum1247,FOOT,ɗ a m a,314,kahd
230382,suru1263,FOOT,d a m a,314,kahd
230383,suru1263,FOOT,u d̥ ɨ,316,kahd
230384,deni1241,FOOT,a m u r i,313,kahd
230385,amar1274,FOOT,ʔ i,312,kahd
230386,kana1291,FOOT,iː,315,kahd
230387,deni1241,HAND,j a p a,365,kahd
230388,jama1261,HAND,j a h i,366,kahd
230389,jama1261,HAND,j e f e,365,kahd
230390,culi1244,HAND,dz ɛ p ɛ,365,kahd
230391,culi1244,HAND,j a p a,365,kahd
230392,paum1247,HAND,s a ʔ a,364,kahd
230393,suru1263,HAND,b i h i,364,kahd
230394,suru1263,HAND,s a h a n i,364,kahd
230395,amar1274,HAND,m/b a ʔ,364,kahd
230396,deni1241,JAGUAR,j o m a h i,414,kahd
230397,jama1261,JAGUAR,j o m a h i,414,kahd
230398,culi1244,JAGUAR,j o m a h i,414,kahd
230399,paum1247,JAGUAR,j o m a h i,414,kahd
230400,suru1263,JAGUAR,m a ɾ i h i,415,kahd
230401,deni1241,ONE,o h a r i,534,kahd
230402,jama1261,ONE,o h a r i,534,kahd
230403,culi1244,ONE,o h a ɾ i,534,kahd
230404,culi1244,ONE,o h a ɾ i,534,kahd
230405,amar1274,ONE,n o ŋ + t i + n/d a,533,kahd
230406,amar1274,ONE,n o ŋ + t i + n/d a,533,kahd
230407,amar1274,ONE,n o ŋ + t i + n/d a,533,kahd
230408,deni1241,SCROTUM,d e n e p h e,641,kahd
230409,deni1241,SCROTUM,n e p h e,641,kahd
230410,jama1261,SCROTUM,d a n e,641,kahd
230411,culi1244,SCROTUM,d ɛ n ɛ pʰ ɛ,641,kahd
230412,culi1244,SCROTUM,n ɛ pʰ ɛ,641,kahd
230413,paum1247,SCROTUM,n a ɸ a,641,kahd
230414,suru1263,SCROTUM,d a n a h a,641,kahd
230415,suru1263,SCROTUM,i n a h ɨ,641,kahd
230416,deni1241,SUN,m a h i,739,kahd
230417,jama1261,SUN,m a h i,739,kahd
