id,doculect,concept,forms,lexstatid,db
255857,shwe1236,BURN,g u t,68,nagarajakhasian
255858,khmu1256,BURN,p ɔː k,67,nagarajakhasian
255859,khas1269,CHILD,kʰ u n,69,nagarajakhasian
255860,lyng1241,CHILD,kʰ o n,69,nagarajakhasian
255861,warj1242,CHILD,h ʊ n,69,nagarajakhasian
255862,shwe1236,CHILD,k u ə n,69,nagarajakhasian
255863,khmu1256,CHILD,k ɔː n,69,nagarajakhasian
255864,khas1269,CLOUD,l ʔ o ʔ,70,nagarajakhasian
255865,lyng1241,CLOUD,l ʔ o ʔ,70,nagarajakhasian
255866,warj1242,CLOUD,l ə m p e m,73,nagarajakhasian
255867,shwe1236,CLOUD,u t,72,nagarajakhasian
255868,khmu1256,CLOUD,h ə m p uː t,71,nagarajakhasian
255869,khas1269,COLD,kʰ r i a t,74,nagarajakhasian
255870,lyng1241,COLD,b ɨ n s i r,76,nagarajakhasian
255871,warj1242,COLD,k t j a m,77,nagarajakhasian
255872,shwe1236,COLD,k a t,74,nagarajakhasian
255873,khmu1256,COLD,h uː c,75,nagarajakhasian
255874,khas1269,COME,w a n,78,nagarajakhasian
255875,lyng1241,COME,l ɨ nː a r,80,nagarajakhasian
255876,warj1242,COME,v a,78,nagarajakhasian
255877,shwe1236,COME,h l u h,81,nagarajakhasian
255878,khmu1256,COME,g aːi̯,79,nagarajakhasian
255879,khas1269,COUNT,ɲ j a w,84,nagarajakhasian
255880,lyng1241,COUNT,cʰ ɨ nː a n,86,nagarajakhasian
255881,warj1242,COUNT,tʃ aː,87,nagarajakhasian
255882,shwe1236,COUNT,d i r,87,nagarajakhasian
255883,khmu1256,COUNT,n a p,85,nagarajakhasian
255884,khas1269,CUT,kʰ a p,88,nagarajakhasian
255885,lyng1241,CUT,kʰ ɨ nː a p,88,nagarajakhasian
255886,warj1242,CUT,p a m,89,nagarajakhasian
255887,shwe1236,CUT,s e t,90,nagarajakhasian
255888,khmu1256,CUT,p aː t,89,nagarajakhasian
255889,khas1269,DAY (NOT NIGHT),s ŋ i,91,nagarajakhasian
255890,lyng1241,DAY (NOT NIGHT),s ŋ ei̯,91,nagarajakhasian
255891,warj1242,DAY (NOT NIGHT),ʃ ŋ aː,91,nagarajakhasian
255892,shwe1236,DAY (NOT NIGHT),s ə ŋ i,91,nagarajakhasian
255893,khmu1256,DAY (NOT NIGHT),s i ʔ,91,nagarajakhasian
255894,khas1269,DIE,j a p,92,nagarajakhasian
255895,lyng1241,DIE,ɲ i nː a p,92,nagarajakhasian
255896,warj1242,DIE,j i p,92,nagarajakhasian
255897,shwe1236,DIE,j ə m,92,nagarajakhasian
255898,khmu1256,DIE,h aː n,93,nagarajakhasian
255899,khas1269,DIG,t i ʔ,94,nagarajakhasian
255900,lyng1241,DIG,t ɨ nː i e t,96,nagarajakhasian
255901,warj1242,DIG,t ɪ ə ʔ,94,nagarajakhasian
255902,shwe1236,DIG,p u ə r,97,nagarajakhasian
255903,khmu1256,DIG,kʰ ɨ ə ŋ,95,nagarajakhasian
255904,khas1269,DIRTY,ɟ a b o ʔ,98,nagarajakhasian
255905,lyng1241,DIRTY,d ɨ mː u t,100,nagarajakhasian
255906,warj1242,DIRTY,tʃ ə m e t,100,nagarajakhasian
255907,shwe1236,DIRTY,ɟ u + ɟ u,101,nagarajakhasian
255908,khmu1256,DIRTY,r u k,99,nagarajakhasian
255909,khas1269,DOG,k s e w,102,nagarajakhasian
255910,lyng1241,DOG,k s u,102,nagarajakhasian
255911,warj1242,DOG,k s ɪ a,102,nagarajakhasian
255912,shwe1236,DOG,s ɔ,102,nagarajakhasian
255913,khmu1256,DOG,s ɔ ʔ,102,nagarajakhasian
255914,khas1269,DRINK,d i ʔ,103,nagarajakhasian
255915,lyng1241,DRINK,d ɨ nː i e t,105,nagarajakhasian
255916,warj1242,DRINK,d e ʔ,103,nagarajakhasian
255917,shwe1236,DRINK,t e ə ŋ,106,nagarajakhasian
255918,khmu1256,DRINK,ʔ ɨ ə k,104,nagarajakhasian
255919,khas1269,DRY,r kʰ i a ŋ,107,nagarajakhasian
255920,lyng1241,DRY,r i ə ŋ kʰ o ŋ,107,nagarajakhasian
255921,warj1242,DRY,rʰ ɪ ə ŋ,107,nagarajakhasian
255922,shwe1236,DRY,r ai̯,109,nagarajakhasian
255923,khmu1256,DRY,h ə t a ŋ,108,nagarajakhasian
255924,khas1269,BLUNT,i s i ʔ,57,nagarajakhasian
255925,lyng1241,BLUNT,ɟ o s m oi̯ t,59,nagarajakhasian
255926,warj1242,BLUNT,l e n,60,nagarajakhasian
255927,khmu1256,BLUNT,d aː l,58,nagarajakhasian
255928,khas1269,DUST,p u m + p u m,110,nagarajakhasian
255929,warj1242,DUST,t j ə l pʰ ʊ ʔ,113,nagarajakhasian
255930,shwe1236,DUST,k ə r b o h,112,nagarajakhasian
255931,khmu1256,DUST,b ɔ h,111,nagarajakhasian
255932,khas1269,EAR,ʃ k o r,114,nagarajakhasian
255933,lyng1241,EAR,l ə k u r,114,nagarajakhasian
255934,warj1242,EAR,t ə r a ŋ,117,nagarajakhasian
255935,shwe1236,EAR,h j ɔ ʔ,116,nagarajakhasian
255936,khmu1256,EAR,r m əː j,115,nagarajakhasian
255937,khas1269,EARTH (SOIL),kʰ ɨ d e w,118,nagarajakhasian
255938,lyng1241,EARTH (SOIL),k m i ə ŋ,120,nagarajakhasian
255939,shwe1236,EARTH (SOIL),k ə t ɛ,118,nagarajakhasian
255940,khmu1256,EARTH (SOIL),p ə t e ʔ,119,nagarajakhasian
255941,khas1269,EAT,b aː m,121,nagarajakhasian
255942,lyng1241,EAT,b ɨ nː ə ŋ,123,nagarajakhasian
255943,warj1242,EAT,b ʊ ə,125,nagarajakhasian
255944,shwe1236,EAT,h a p,124,nagarajakhasian
255945,khmu1256,EAT,m a h,122,nagarajakhasian
255946,khas1269,EGG,p ɨ lː e ŋ,126,nagarajakhasian
255947,lyng1241,EGG,p ɨ lː ɨ ŋ,126,nagarajakhasian
255948,warj1242,EGG,s ʔ i,128,nagarajakhasian
255949,shwe1236,EGG,k ə t ə m,127,nagarajakhasian
255950,khmu1256,EGG,k ə d o ŋ,127,nagarajakhasian
255951,khas1269,EYE,kʰ m a t,129,nagarajakhasian
255952,lyng1241,EYE,kʰ m a t,129,nagarajakhasian
255953,warj1242,EYE,m a t,129,nagarajakhasian
255954,shwe1236,EYE,ŋ ai̯,130,nagarajakhasian
255955,khmu1256,EYE,m a t,129,nagarajakhasian
