id,doculect,concept,forms,lexstatid,db
297602,sich1238,ANT,b o ²¹ + l o ³³,38,seabor
297603,sich1238,ARROW,m j ɛ ²¹ + z o ²¹,45,seabor
297604,sich1238,ASH,kʰ ɤ̪/ɤ ²¹ + h ɛ̠/ɛ ⁵⁵,50,seabor
297605,sich1238,BAD,k w a̠ ²¹,68,seabor
297606,sich1238,BAMBOO,m ũ ⁵⁵,80,seabor
297607,sich1238,BARK,p ɯ ³³ + j o ⁵⁵,94,seabor
297608,sich1238,BE,ŋ ɯ ⁵⁵,99,seabor
297609,sich1238,BE ALIVE,x a̠/a ⁵⁵,109,seabor
297610,sich1238,BE HUNGRY,m ɯ ²¹,121,seabor
297611,sich1238,BEARD,m ɯ̃ ²¹ + tɕʰ i ²¹,136,seabor
297612,sich1238,BEE,b j a ²¹,149,seabor
297613,sich1238,BELLY,h ɛ ²¹ + p ɯ ⁵⁵,162,seabor
297614,sich1238,BIG,ɣ a̠/a ²¹,170,seabor
297615,sich1238,BITE,kʰ ɯ ²¹,183,seabor
297616,sich1238,BITTER,kʰ ɑu ²¹,187,seabor
297617,sich1238,BLACK,n a̠/a ³³,196,seabor
297618,sich1238,BLOW (WITH MOUTH),m ɨ ³³,207,seabor
297619,sich1238,BOAT,l i ⁵⁵ + s u ⁵⁵,213,seabor
297620,sich1238,BODY,g ɨ ⁵⁵ + d ɯ ²¹,218,seabor
297621,sich1238,BONE,k w a ³³ + t ɯ ²¹,232,seabor
297622,sich1238,BOW,p a ⁵⁵,236,seabor
297623,sich1238,BRANCH,ʔ ou ⁵⁵ + l o ⁵⁵,247,seabor
297624,sich1238,BRIGHT,m a̠/a ²¹,256,seabor
297625,sich1238,BUTTERFLY,k u ⁵⁵ + l ɛ̠i/ɛi ³³,266,seabor
297626,sich1238,CLAW,tɕʰ i ⁵⁵ + ts w a ²¹,313,seabor
297627,sich1238,CLOTH,m õ ³³ + tsʰ ũ ⁵⁵,333,seabor
297628,sich1238,CLOTHES,pʰ j a ⁵⁵,338,seabor
297629,sich1238,CLOUD,t i ²¹ + m j ɛ ⁵⁵,356,seabor
297630,sich1238,COLD,dʑ a ³³,362,seabor
297631,sich1238,COME,l a ⁵⁵,371,seabor
297632,sich1238,CORRECT (RIGHT),h ou ⁵⁵ + j a ²¹,376,seabor
297633,sich1238,CRY,k ɨ ⁵⁵,392,seabor
297634,sich1238,DAUGHTER,ŋ o ³³ + z o ²¹ + m a̠/a ²¹,401,seabor
297635,sich1238,DEEP,n ɑ̠/ɑ ²¹,408,seabor
297636,sich1238,DIE,s a ⁵⁵,411,seabor
297637,sich1238,DIG,k a̠/a ²¹,421,seabor
297638,sich1238,DIRTY,ʔ w a̠ ³,445,seabor
297639,sich1238,DO,m ɨ ⁵⁵,452,seabor
297640,sich1238,DRINK,d a ⁵⁵,463,seabor
297641,sich1238,DRY,dʑ ɥ i ³³,472,seabor
297642,sich1238,DUCK,ʔ a ³³,474,seabor
297643,sich1238,EAR,n ou ²¹ + p a ⁵⁵,491,seabor
297644,sich1238,EARLY,n ɑ̠/ɑ ²¹,499,seabor
297645,sich1238,EAT,dz o ²¹,503,seabor
297646,sich1238,EGG,f ɨ ³³,509,seabor
297647,sich1238,EIGHT,h ai ²¹,514,seabor
297648,sich1238,EMPTY,kʰ ɨ ⁵⁵,524,seabor
297649,sich1238,ENTER,g ɯ ³³,532,seabor
297650,sich1238,EYE,m j a ⁵⁵ + t ɯ̠/ɯ ²¹,551,seabor
297651,sich1238,FACE,kʰ ɯ ²¹ + m j a ³³,565,seabor
297652,sich1238,FAECES (EXCREMENT),tɕʰ i ²¹,570,seabor
297653,sich1238,FAST,dʑ i ⁵⁵,586,seabor
297654,sich1238,FAT (OBESE),g ɨ ⁵⁵ + tʰ ɨ ²¹,596,seabor
297655,sich1238,FATHER,ʔ a ²¹ + b o ²¹,599,seabor
297656,sich1238,FEAR (BE AFRAID),dʑ o ³³,605,seabor
297657,sich1238,FINGERNAIL,l ɑ̠/ɑ ²¹ + kʰ ɨ ²¹ + s ɯ ²¹,628,seabor
297658,sich1238,FIRE,ʔ a ⁵⁵ + t o ²¹,637,seabor
297659,sich1238,FIREWOOD,ɕ i ³³,644,seabor
297660,sich1238,FISH,ʔ o̠/o ²¹,650,seabor
297661,sich1238,FIVE,ŋ o ²¹,655,seabor
297662,sich1238,FLAT,b ɛ ⁵⁵,656,seabor
297663,sich1238,FLOWER,ʔ i ³³ + n o ³³,665,seabor
297664,sich1238,FLY (INSECT),ʑ a ⁵⁵ + m ɨ ²¹,676,seabor
297665,sich1238,FLY (MOVE THROUGH AIR),b i ⁵⁵,681,seabor
297666,sich1238,FOOT,tɕʰ i ⁵⁵ + ts w a ²¹,688,seabor
297667,sich1238,FORGET,n ɛ ³³ + m a ⁵⁵,700,seabor
297668,sich1238,FOUR,l i ³³,708,seabor
297669,sich1238,FRIEND,g o ³³ + tsʰ a ²¹,715,seabor
297670,sich1238,FROG,ʔ ou ⁵⁵ + p o ²¹,726,seabor
297671,sich1238,FRUIT,s a ²¹ + tsʰ ɨ ⁵⁵ + s a ²¹ + v ɨ ²¹,733,seabor
297672,sich1238,FULL,b j e ³³,737,seabor
297673,sich1238,GARLIC,kʰ a ²¹ + s ɯ ⁵⁵,748,seabor
297674,sich1238,GINGER,tsʰ a ²¹,755,seabor
297675,sich1238,GIVE,g ɯ ²¹,778,seabor
297676,sich1238,GO,ʑ i ⁵⁵,793,seabor
297677,sich1238,GO OUT,d o ³³,800,seabor
297678,sich1238,GOOD,dʑ j ɛ ³³,809,seabor
297679,sich1238,GREEN,l ɥ i ⁵⁵,830,seabor
297680,sich1238,HAND,l a ²¹ + ts w a ²¹,856,seabor
297681,sich1238,HAT,kʰ a ²¹ + t ɯ ⁵⁵,864,seabor
297682,sich1238,HE OR SHE,ʔ ɛ ⁵⁵,872,seabor
297683,sich1238,HEAD,k a ⁵⁵ + kʰ õ ³³,885,seabor
297684,sich1238,HEAR,n u ⁵⁵ + dʑ o ²¹,896,seabor
297685,sich1238,HEART,n ɛ ³³ + m õ ³³,907,seabor
297686,sich1238,HEAVY,l i ²¹,912,seabor
297687,sich1238,HORN (ANATOMY),tɕʰ ɥ i ⁵⁵,922,seabor
297688,sich1238,HOT,ʔ ɨ ²¹,930,seabor
297689,sich1238,HOUSE,h ɛ ⁵⁵ + k ɛ̠/ɛ ⁵⁵,941,seabor
297690,sich1238,HUNDRED,ɕ õ ⁵⁵,947,seabor
297691,sich1238,HUSBAND,m ɑ̠/ɑ ²¹ + v ɨ ⁵⁵,957,seabor
297692,sich1238,I,ŋ o ⁵⁵,968,seabor
297693,sich1238,IRON,x ɯ ⁵⁵,986,seabor
297694,sich1238,ITCHY,j õ ²¹,997,seabor
297695,sich1238,KILL,s ai ²¹,1004,seabor
297696,sich1238,KNOW (SOMETHING),s ɛ ³³ + j a ²¹,1009,seabor
297697,sich1238,LAUGH,ɣ ɯ̠/ɯ ³³,1014,seabor
297698,sich1238,LEAF,pʰ j a ²¹,1025,seabor
297699,sich1238,LEFT,l o ²¹ + ʔ a̠/a ²¹⁵ + tɕʰ ɥ i ²¹,1037,seabor
297700,sich1238,LEG,pʰ ai ²¹ + s ɛ ⁵⁵,1052,seabor
297701,sich1238,LIGHT (WEIGHT),l a ⁵⁵,1057,seabor
297702,sich1238,LONG,x ɯ ⁵⁵,1070,seabor
297703,sich1238,MANY,m j ɛ̠ ²¹,1103,seabor
297704,sich1238,MEAT,h õ ²¹,1118,seabor
297705,sich1238,MONKEY,ʔ a ⁵⁵ + m j ou ²¹,1132,seabor
297706,sich1238,MOON,h o ²¹ + b ou ³³ + k i ⁵⁵,1141,seabor
297707,sich1238,MORNING,n a ²¹ + t ɤ̪/ɤ ⁵⁵,1157,seabor
297708,sich1238,MOTHER,ʔ a ²¹ + m õ ³³,1176,seabor
297709,sich1238,MOUNTAIN,t ɯ ²¹ + p o ²¹,1188,seabor
297710,sich1238,MOUNTAIN,m i ⁵⁵ + ɕ y ⁵⁵,1194,seabor
297711,sich1238,MOUTH,kʰ a ²¹ + b ɛ ²¹,1203,seabor
297712,sich1238,MUD,n ai ²¹,1206,seabor
297713,sich1238,NARROW,ts a̠i/ai ³³,1223,seabor
297714,sich1238,NEAR,dʑ u ⁵⁵ + n a ²¹,1234,seabor
297715,sich1238,NECK,l ɛ ⁵⁵ + b ɛ ⁵⁵,1243,seabor
297716,sich1238,NEEDLE (FOR SEWING),ɣ ɯ ³⁵ + tʰ a̠/a ³³,1249,seabor
