id,doculect,concept,forms,lexstatid,db
135703,yukp1241,BEE,e m ɨ,288,chaconcolumbian
135704,puin1248,BEE,d ə m,282,chaconcolumbian
135705,mala1522,BEE,n ɨ n g a,262,chaconcolumbian
135706,inga1252,BEE,a b i x,278,chaconcolumbian
135707,wayu1243,BEE,ʃ i ʃ i,286,chaconcolumbian
135708,resi1247,BEE,m aa p u,261,chaconcolumbian
135709,epen1239,BEE,kʰ i kʰ i m i,272,chaconcolumbian
135710,bara1380,BEE,h õ b ĩ ã b ɨ̃,264,chaconcolumbian
135711,yukp1241,BEE,m ɨ̃ k a m a,295,chaconcolumbian
135712,desa1247,BEE,b õ b ẽ b ɨ̃,264,chaconcolumbian
135713,woun1238,BEE,kʰ e kʰ e m a n,272,chaconcolumbian
135714,seco1241,BEE,o ʔ a,279,chaconcolumbian
135715,yuru1263,BEE,b õõ b ĩ ã w ɨ̃,264,chaconcolumbian
135716,chac1249,BEE,t a n d a,262,chaconcolumbian
135717,cacu1241,BEE,b e l o,267,chaconcolumbian
135718,paez1247,BEE,tʃ i ʔ dʲ,262,chaconcolumbian
135719,colo1256,BEE,ts i n a,272,chaconcolumbian
135720,guan1269,BEE,b ĩ k ĩ d ã i r o,275,chaconcolumbian
135721,guay1257,BEE,h ɨ a t,276,chaconcolumbian
135722,waim1255,BEE,b e r o a b ɨ̃,267,chaconcolumbian
135723,tuyu1244,BEE,b ũ b ĩ ã w ɨ̃,264,chaconcolumbian
135724,bara1380,BEE,b e r o a b ɨ k ɨ,267,chaconcolumbian
135725,yucu1253,BEE,m u n u m u n u,287,chaconcolumbian
135726,muin1242,BEE,m ɨː b ɨ r i ʔ ɨ,281,chaconcolumbian
135727,waim1255,BEE,u t i a b ɨ̃,264,chaconcolumbian
135728,tani1257,BEE,b ũ b ĩ ã,264,chaconcolumbian
135729,puin1248,BEE,a m,294,chaconcolumbian
135730,cara1272,BEE,b e r o a b ɨ̃,267,chaconcolumbian
135731,paez1247,BEE,ʃ i ʔ dʲ,262,chaconcolumbian
135732,awac1239,BEE,w i m a l,263,chaconcolumbian
135733,cube1242,BEE,b ũ b ĩ d ɨ,264,chaconcolumbian
135734,cent2150,BEE,a n u b a,270,chaconcolumbian
135735,wayu1243,BEE,m a p a,261,chaconcolumbian
135736,cent2150,BEE,a n b a,291,chaconcolumbian
135737,guah1255,BEE,h aː b ɨ m a n ɨ t o,273,chaconcolumbian
135738,embe1260,BEE,kʰ õ ɾ ã b a ɾ i,274,chaconcolumbian
135739,embe1261,BEE,kʰ i m i,272,chaconcolumbian
135740,embe1262,BEE,kʰ ũ ɾ ã b a ɾ i,274,chaconcolumbian
135741,tuca1252,BEE,b ũ b ĩ ã w ɨ̃,264,chaconcolumbian
135742,bara1380,BEE,b e r o a b ɨ̃,267,chaconcolumbian
135743,piap1246,BEE,m aa b a,261,chaconcolumbian
135744,mini1256,BEE,h i r a ŋ o,280,chaconcolumbian
135745,siri1274,BEE,w ã r ã r ĩ,284,chaconcolumbian
135746,kore1283,BEE,o ʔ a,279,chaconcolumbian
135747,cuib1242,BEE,b a n t o m a n t o,273,chaconcolumbian
135748,orej1242,BEE,o a,279,chaconcolumbian
135749,awac1239,BEE,w a l k a n,289,chaconcolumbian
135750,nort2972,BEE,kʰ i m i,272,chaconcolumbian
135751,cube1242,BEE,k a i d ẽ d ɨ,292,chaconcolumbian
