id,doculect,concept,forms,lexstatid,db
235267,chug1252,I,g a,109,lieberherrkhobwa
235268,chug1252,THOU,n a ŋ,209,lieberherrkhobwa
235269,chug1252,HE OR SHE,w ɔ j,90,lieberherrkhobwa
235270,chug1252,ANT,kʰ i n + tɕʰ ɔ k,1,lieberherrkhobwa
235271,chug1252,ARM OR HAND,h u t,3,lieberherrkhobwa
235272,chug1252,ASH,tɕʰ u + pʰ a k,5,lieberherrkhobwa
235273,chug1252,BIG,ɔ + d ɔ k,7,lieberherrkhobwa
235274,chug1252,BIRD,w̥ a,9,lieberherrkhobwa
235275,chug1252,BITE,z ɛ k,12,lieberherrkhobwa
235276,chug1252,BITTER,tɕʰ a k + b a,14,lieberherrkhobwa
235277,chug1252,BLACK,u + tɕʰ a m,17,lieberherrkhobwa
235278,chug1252,BLOOD,h ɔ j,20,lieberherrkhobwa
235279,chug1252,BONE,ɕ a + kʰ u s,21,lieberherrkhobwa
235280,chug1252,BREAST,n u,23,lieberherrkhobwa
235281,chug1252,BURNING,h a j,25,lieberherrkhobwa
235282,chug1252,CARRY ON BACK,b u,27,lieberherrkhobwa
235283,chug1252,CLOUD,m u k p a,28,lieberherrkhobwa
235284,chug1252,CRY,kʰ i p,31,lieberherrkhobwa
235285,chug1252,DIE,i,32,lieberherrkhobwa
235286,chug1252,DO OR MAKE,l e,34,lieberherrkhobwa
235287,chug1252,DOG,w a + tʰ i,36,lieberherrkhobwa
235288,chug1252,DRINK,ɲ i ŋ,38,lieberherrkhobwa
235289,chug1252,DRY,w a + a r,40,lieberherrkhobwa
235290,chug1252,EAR,kʰ u + tʰ u ŋ,44,lieberherrkhobwa
235291,chug1252,EAT,tɕʰ a,47,lieberherrkhobwa
235292,chug1252,EGG,h ɔ j + dʑ ɔ ŋ,49,lieberherrkhobwa
235293,chug1252,EYE,kʰ u + m,52,lieberherrkhobwa
235294,chug1252,FAR,tʰ a + u + ɹ i ŋ,55,lieberherrkhobwa
235295,chug1252,FAT (ORGANIC SUBSTANCE),ɔ + j ɔ w,57,lieberherrkhobwa
235296,chug1252,FINGERNAIL,h u t + ts u n,60,lieberherrkhobwa
235297,chug1252,FIRE,b ɛ j,62,lieberherrkhobwa
235298,chug1252,FISH,ŋ a,64,lieberherrkhobwa
235299,chug1252,FLESH OR MEAT,ɕ a,66,lieberherrkhobwa
235300,chug1252,FLY (MOVE THROUGH AIR),ɕ ɛ ɹ,69,lieberherrkhobwa
235301,chug1252,FULL,p ɕ i ŋ + b a,74,lieberherrkhobwa
235302,chug1252,GIVE,ɕ i,76,lieberherrkhobwa
235303,chug1252,GO,w a,78,lieberherrkhobwa
235304,chug1252,GOOD,ɔ + dʑ ɔ p,81,lieberherrkhobwa
235305,chug1252,HAIR (HEAD),kʰ u + ɕ a ŋ,84,lieberherrkhobwa
235306,chug1252,HARD,k a k t a r,87,lieberherrkhobwa
235307,chug1252,HEAD,kʰ ɔ + l ɔ k,93,lieberherrkhobwa
235308,chug1252,HEAR,dʑ a s,96,lieberherrkhobwa
235309,chug1252,HEAVY,u + l i,99,lieberherrkhobwa
235310,chug1252,HIDE,u k,101,lieberherrkhobwa
235311,chug1252,KILL,a t,113,lieberherrkhobwa
235312,chug1252,HORN (ANATOMY),kʰ ɛ ŋ,104,lieberherrkhobwa
235313,chug1252,HOUSE,w a m,107,lieberherrkhobwa
235314,chug1252,IN,n a ŋ,111,lieberherrkhobwa
235315,chug1252,KNEE,k ɔː l ɔ k + p a,115,lieberherrkhobwa
235316,chug1252,KNOW (SOMETHING),d ɛ n,117,lieberherrkhobwa
235317,chug1252,LAUGH,ʑ ɛ j,119,lieberherrkhobwa
235318,chug1252,LEAF,u + l a p,121,lieberherrkhobwa
235319,chug1252,FOOT OR LEG,l ɛ j,71,lieberherrkhobwa
