id,doculect,concept,forms,lexstatid,db
312446,ingr1248,I,m i æ,392,syrjaenenuralic
312447,komi1269,I,m e,392,syrjaenenuralic
312448,komi1268,I,m e,392,syrjaenenuralic
312449,ngan1291,I,m ə n ə,392,syrjaenenuralic
312450,selk1253,I,m ɑ n,392,syrjaenenuralic
312451,udmu1245,I,m o n,392,syrjaenenuralic
312452,erzy1239,I,m o n,392,syrjaenenuralic
312453,erzy1239,ALL,v e ɕ e,1,syrjaenenuralic
312454,ingr1248,ALL,k ɑ i,2,syrjaenenuralic
312455,komi1269,ALL,b ɯ d ɤ s,3,syrjaenenuralic
312456,komi1268,ALL,b ɯ d,3,syrjaenenuralic
312457,komi1268,ALL,s t ɑ v,7,syrjaenenuralic
312458,ngan1291,ALL,b ə n s ə,4,syrjaenenuralic
312459,selk1253,ALL,m u n t ə,5,syrjaenenuralic
312460,udmu1245,ALL,v ɑ ɲ m ɯ z,6,syrjaenenuralic
312461,erzy1239,AND,i,8,syrjaenenuralic
312462,ingr1248,AND,j ɑ,9,syrjaenenuralic
312463,ingr1248,AND,i,12,syrjaenenuralic
312464,ingr1248,AND,t ɑ,8,syrjaenenuralic
312465,komi1269,AND,i,10,syrjaenenuralic
312466,komi1269,AND,d ɑ,8,syrjaenenuralic
312467,komi1268,AND,i,10,syrjaenenuralic
312468,komi1268,AND,d ɑ,8,syrjaenenuralic
312469,selk1253,AND,ɑ j,11,syrjaenenuralic
312470,udmu1245,AND,i,10,syrjaenenuralic
312471,udmu1245,AND,d ɑ,8,syrjaenenuralic
312472,erzy1239,AND,d i,8,syrjaenenuralic
312473,erzy1239,ANIMAL,ʑ v e rʲ,13,syrjaenenuralic
312474,erzy1239,ANIMAL,r ɑ k ʃ ɑ,18,syrjaenenuralic
312475,ingr1248,ANIMAL,e l o ɡ̥ ɑ z,14,syrjaenenuralic
312476,komi1269,ANIMAL,v ɤ r p i,13,syrjaenenuralic
312477,komi1268,ANIMAL,z vʲ e r,13,syrjaenenuralic
312478,komi1268,ANIMAL,p e m ɤ s,19,syrjaenenuralic
312479,ngan1291,ANIMAL,dʲ ɑ m ə ð ə,15,syrjaenenuralic
312480,selk1253,ANIMAL,s uː r ə m,16,syrjaenenuralic
312481,udmu1245,ANIMAL,p ɤ j ʃ u r,17,syrjaenenuralic
312482,erzy1239,ASH,k u l o v,20,syrjaenenuralic
312483,ingr1248,ASH,p o r o,21,syrjaenenuralic
312484,komi1269,ASH,p ɤ j i m,22,syrjaenenuralic
312485,komi1268,ASH,p ɤ j i m,22,syrjaenenuralic
