id,doculect,concept,forms,lexstatid,db
219282,sout2754,THREE,p ai ¹³,73,hsiuhmongmien
219283,east2370,THREE,p ɛ ²⁴,73,hsiuhmongmien
219284,nort2747,THREE,p i ³³,73,hsiuhmongmien
219285,sout2754,FOUR,tɬ ɔ ¹³,29,hsiuhmongmien
219286,east2370,FOUR,s o ²⁴,27,hsiuhmongmien
219287,nort2747,FOUR,ɬ o ³³,28,hsiuhmongmien
219288,sout2754,FIVE,tɕ i ¹³,26,hsiuhmongmien
219289,east2370,FIVE,ts a ²⁴,26,hsiuhmongmien
219290,nort2747,FIVE,ts a ³³,26,hsiuhmongmien
219291,sout2754,SEVEN,ts a m ²²,60,hsiuhmongmien
219292,east2370,SEVEN,ɕ u ŋ ⁵³,60,hsiuhmongmien
219293,nort2747,SEVEN,ɕ o ŋ ¹³,60,hsiuhmongmien
219294,sout2754,TEN,tɕ u ²⁴,69,hsiuhmongmien
219295,east2370,TEN,tɕ eu ¹³,69,hsiuhmongmien
219296,nort2747,TEN,tɕ u ³¹,69,hsiuhmongmien
219297,sout2754,BEAN,n eu ³⁵,2,hsiuhmongmien
219298,east2370,BEAN,t eu ¹³,1,hsiuhmongmien
219299,nort2747,BEAN,t ə ³¹,1,hsiuhmongmien
219300,sout2754,BIRD,n eu ²²,3,hsiuhmongmien
219301,east2370,BIRD,n eu ⁵³,3,hsiuhmongmien
219302,nort2747,BIRD,n ə ¹³,3,hsiuhmongmien
219303,sout2754,BLACK,q ɛ ³⁵,6,hsiuhmongmien
219304,east2370,BLACK,s ei ²⁴,4,hsiuhmongmien
219305,nort2747,BLACK,ɬ ɛ ³³,5,hsiuhmongmien
219306,sout2754,BLOOD,s a m ⁵³,7,hsiuhmongmien
219307,east2370,BLOOD,ɕ a n ³³,7,hsiuhmongmien
219308,nort2747,BLOOD,ɕʰ a ŋ ³⁵,7,hsiuhmongmien
219309,sout2754,BONE,s a m ⁵³,8,hsiuhmongmien
219310,east2370,BONE,s u ŋ ³³,8,hsiuhmongmien
219311,nort2747,BONE,p o ³⁵ + sʰ o ŋ ³⁵,9,hsiuhmongmien
219312,sout2754,CHICKEN,q a ¹³,10,hsiuhmongmien
219313,east2370,CHICKEN,q a ²⁴,10,hsiuhmongmien
219314,nort2747,CHICKEN,q ei ³³,10,hsiuhmongmien
219315,sout2754,DEAF,tɬ a m ³¹,12,hsiuhmongmien
219316,east2370,DEAF,l e ŋ ²⁴,11,hsiuhmongmien
219317,nort2747,DEAF,ɬ o ŋ ⁵⁵,11,hsiuhmongmien
219318,east2370,EAR,q a ³³ + n j ei ²²,13,hsiuhmongmien
219319,nort2747,EAR,q a ³³ + z ɛ ⁵⁵,14,hsiuhmongmien
219320,sout2754,EGG,k ei ⁴⁴,15,hsiuhmongmien
219321,east2370,EGG,k ei ⁴⁴,15,hsiuhmongmien
219322,nort2747,EGG,k i ⁴⁴,15,hsiuhmongmien
219323,sout2754,EVENING,tɕ eu ³⁵,18,hsiuhmongmien
219324,east2370,EVENING,ɕ i ⁴⁴ + m a ŋ ⁴⁴,16,hsiuhmongmien
219325,nort2747,EVENING,ɕʰ i ³³ + m̥ + a ŋ ⁴⁴,17,hsiuhmongmien
219326,sout2754,EYE,n̥ j u ¹³ + m o ²²,20,hsiuhmongmien
219327,east2370,EYE,q a ³³ + m i ⁵³,19,hsiuhmongmien
219328,nort2747,EYE,n̥ j u ³³ + m ɛ ¹³,20,hsiuhmongmien
219329,sout2754,FIELD,l j a n ³¹,21,hsiuhmongmien
219330,east2370,FIELD,l j e ²²,21,hsiuhmongmien
219331,nort2747,FIELD,l j i ⁵⁵,21,hsiuhmongmien
219332,sout2754,FIRE,t a ²⁴¹,23,hsiuhmongmien
219333,east2370,FIRE,t o ²¹²,22,hsiuhmongmien
219334,nort2747,FIRE,t u ¹¹,22,hsiuhmongmien
219335,east2370,FISH,n j ei ²¹²,24,hsiuhmongmien
219336,nort2747,FISH,z ɛ ¹¹,25,hsiuhmongmien
219337,sout2754,FROG,q a n ⁵³ + q a ⁴⁴,30,hsiuhmongmien
219338,east2370,FROG,q a n ³³,30,hsiuhmongmien
219339,nort2747,FROG,q a ŋ ³⁵,30,hsiuhmongmien
219340,sout2754,FRUIT,tɕ i ⁵³,32,hsiuhmongmien
219341,east2370,FRUIT,ts e n ³⁵,31,hsiuhmongmien
219342,nort2747,FRUIT,ts e n ³⁵,31,hsiuhmongmien
219343,sout2754,FULL,p o ⁵⁵,34,hsiuhmongmien
219344,east2370,FULL,p ɑ ŋ ⁵⁵,33,hsiuhmongmien
219345,nort2747,FULL,t ə ⁰/² + p a ŋ ⁵⁵,33,hsiuhmongmien
219346,sout2754,GHOST,tɬ j a n ¹³,35,hsiuhmongmien
219347,east2370,GHOST,ɬ j a n ²⁴,35,hsiuhmongmien
