id,doculect,concept,forms,lexstatid,db
152802,bada1257,I,n a,397,dravlex
152803,bett1235,I,n aː ʋ ə,397,dravlex
152804,brah1256,I,iː,398,dravlex
152805,nort2702,I,n a nː a,397,dravlex
152806,nucl1305,I,n aː n u,397,dravlex
152807,koda1255,I,n aː n ə,397,dravlex
152808,nort2699,I,n eː n u,397,dravlex
152809,kota1263,I,aː n,399,dravlex
152810,koya1251,I,n a nː a,397,dravlex
152811,kuru1302,I,a eː n,399,dravlex
152812,kuvi1243,I,n aː n u,397,dravlex
152813,kuvi1243,I,m u,401,dravlex
152814,mala1464,I,ɲ aː n,397,dravlex
152815,saur1249,I,h eː n u,400,dravlex
152816,pott1240,I,aː n,399,dravlex
152817,duru1236,I,aː n,399,dravlex
152818,telu1262,I,n eː n u,397,dravlex
152819,toda1252,I,oː n,399,dravlex
152820,tulu1258,I,j aː n u,397,dravlex
152821,bada1257,ALL,e lː a,1,dravlex
152822,nucl1305,ALL,e lː a,1,dravlex
152823,koda1255,ALL,e lː a,1,dravlex
152824,kota1263,ALL,e lː aː m,1,dravlex
152825,mala1464,ALL,e lː a,1,dravlex
152826,tami1289,ALL,e lː aː m,1,dravlex
152827,koya1251,ALL,a n t aː,4,dravlex
152828,telu1262,ALL,a n t a,4,dravlex
152829,koya1251,ALL,m o tː a m,10,dravlex
152830,telu1262,ALL,m o tː a m u,10,dravlex
152831,toda1252,ALL,o ʋː o ɖ i m o,9,dravlex
152832,telu1262,ALL,a nː i,12,dravlex
152833,ravu1237,ALL,n a n g aː ɭ ə,7,dravlex
152834,tulu1258,ALL,m aː t a,10,dravlex
152835,bett1235,ALL,oː ʈ ə j a,2,dravlex
152836,kuvi1243,ALL,h a r a,6,dravlex
152837,brah1256,ALL,k u lː,3,dravlex
152838,saur1249,ALL,g oː ʈ a h iː,8,dravlex
152839,saur1249,ALL,g iː ʈ e n iː,11,dravlex
152840,kuru1302,ALL,m a j i n,5,dravlex
152841,nort2699,ALL,m aː k,5,dravlex
152842,nort2702,ALL,b o tː i g,2,dravlex
152843,mala1464,ASH,tʃ aː m b a l,18,dravlex
152844,mala1464,ASH,tʃ aː ɾ a m,20,dravlex
152845,tami1289,ASH,s aː m b a l,18,dravlex
152846,bada1257,ASH,k o l a b uː d i,13,dravlex
152847,bett1235,ASH,p iː d i,13,dravlex
152848,nucl1305,ASH,b uː d i,13,dravlex
152849,koda1255,ASH,b uː d i,13,dravlex
152850,kota1263,ASH,p oː d u + a t u k ə,16,dravlex
152851,koya1251,ASH,b uː ɖ i d a,13,dravlex
152852,telu1262,ASH,b uː ɖ i d a,13,dravlex
152853,toda1252,ASH,p uː d i,13,dravlex
152854,ravu1237,ASH,b uː d i,13,dravlex
152855,tulu1258,ASH,tʃ uː n j a,17,dravlex
152856,tulu1258,ASH,tʃ oː n j a,17,dravlex
152857,nort2702,ASH,n iː ɾ,15,dravlex
152858,pott1240,ASH,n i ɖ,15,dravlex
152859,duru1236,ASH,n iː d,15,dravlex
152860,brah1256,ASH,h i s,14,dravlex
152861,nort2699,ASH,b u gː i,19,dravlex
152862,kuru1302,ASH,tʃ i n d,17,dravlex
152863,bada1257,BARK,p a ʈː e,21,dravlex
152864,koda1255,BARK,a ʈː e,21,dravlex
152865,mala1464,BARK,p a ʈː a,21,dravlex
152866,tami1289,BARK,p a ʈː e,21,dravlex
152867,telu1262,BARK,p a ʈː a,21,dravlex
152868,nucl1305,BARK,n aː r u,27,dravlex
152869,kuru1302,BARK,oː ɖ a k,25,dravlex
152870,koya1251,BARK,b e ɾ a ɖ u,21,dravlex
152871,telu1262,BARK,b e ɾ a ɖ u,21,dravlex
152872,koda1255,BARK,tʃ e kː e,21,dravlex
152873,koya1251,BARK,d a n ʈ i,26,dravlex
152874,nucl1305,BARK,t o g a ʈ i,30,dravlex
152875,toda1252,BARK,p u ʈ k o ɾ i,28,dravlex
152876,tulu1258,BARK,k e tː a,29,dravlex
152877,nort2702,BARK,t oː l,22,dravlex
152878,ravu1237,BARK,t oː l u,22,dravlex
152879,bett1235,BARK,m e ɾ t oː l ə,22,dravlex
152880,mala1464,BARK,m a ɾ a tː o l i,22,dravlex
152881,brah1256,BARK,b u n d,23,dravlex
152882,nort2699,BARK,ɖ a n ɖ i + m a ɖː a,26,dravlex
152883,kota1263,BARK,k o lː u tʃ o,24,dravlex
152884,mala1464,BELLY,ʋ a j a ɾ ə,32,dravlex
152885,tami1289,BELLY,v a y i r̪ u,38,dravlex
152886,toda1252,BELLY,p i ɾ,32,dravlex
152887,tulu1258,BELLY,b a n dʒ i,36,dravlex
152888,ravu1237,BELLY,b a i ɾ u,38,dravlex
152889,ravu1237,BELLY,b aː ɾ ə,32,dravlex
152890,bada1257,BELLY,o ʈː e,31,dravlex
152891,bett1235,BELLY,p o ʈː i,31,dravlex
152892,nucl1305,BELLY,h o ʈː e,31,dravlex
152893,nucl1305,BELLY,h o ʈː a,31,dravlex
152894,koda1255,BELLY,p o ʈː e,31,dravlex
152895,saur1249,BELLY,p u ɖ aː,31,dravlex
152896,duru1236,BELLY,p o ʈː a,31,dravlex
152897,telu1262,BELLY,p o ʈː a,31,dravlex
152898,telu1262,BELLY,k a ɖ u p u,39,dravlex
152899,koya1251,BELLY,ɖ o kː a,34,dravlex
152900,tami1289,BELLY,t o n t i,36,dravlex
152901,tami1289,BELLY,t o pː a i,40,dravlex
152902,kuru1302,BELLY,k uː l,35,dravlex
152903,brah1256,BELLY,p e ɖʰ,32,dravlex
152904,nort2702,BELLY,p iː ɾ,32,dravlex
152905,pott1240,BELLY,p u d u g,31,dravlex
152906,kuvi1243,BELLY,b a n ɖ i,36,dravlex
152907,nort2699,BELLY,ʈ e ʈː e,37,dravlex
152908,kota1263,BELLY,n a ɖ p eː ʈ g u,33,dravlex
152909,nort2702,BIG,p e d d a,44,dravlex
152910,koya1251,BIG,b e ɾ ɾ a,44,dravlex
152911,kuvi1243,BIG,b eː ɾ,44,dravlex
152912,saur1249,BIG,b eː ɖ o,44,dravlex
152913,duru1236,BIG,b e r t o,44,dravlex
152914,tami1289,BIG,p e ɾ i j a,44,dravlex
152915,tami1289,BIG,p e r ə s ə,47,dravlex
152916,telu1262,BIG,p e d d a,44,dravlex
152917,koda1255,BIG,b a l j a d ə,45,dravlex
152918,mala1464,BIG,ʋ a l u d ə,45,dravlex
152919,ravu1237,BIG,b a l e j i,45,dravlex
152920,bada1257,BIG,d o ɖː a d ə,41,dravlex
152921,nucl1305,BIG,d o ɖː a d u,41,dravlex
152922,tulu1258,BIG,m a lː a,48,dravlex
152923,toda1252,BIG,i tː uː ɖ ə,41,dravlex
