id,doculect,concept,forms,lexstatid,db
151730,tete1251,ALL,n o tʃ iː,1,davletshinaztecan
151731,nort2957,ALL,n o tʃ i + n,1,davletshinaztecan
151732,isth1242,ALL,n o tʃ i,1,davletshinaztecan
151733,isth1241,ALL,n o tʃ i,1,davletshinaztecan
151734,taba1265,ALL,m u tʃ i,1,davletshinaztecan
151735,pipi1250,ALL,m u tʃ i,1,davletshinaztecan
151736,tete1251,ASH,tɬ a k o + n e x + tɬ iː,2,davletshinaztecan
151737,nort2957,ASH,tɬ e k o + n e x + tɬ i,2,davletshinaztecan
151738,isth1242,ASH,k w a + n eː x,2,davletshinaztecan
151739,isth1241,ASH,b a + n eː x,2,davletshinaztecan
151740,taba1265,ASH,k ó/o + n e x + t i,2,davletshinaztecan
151741,pipi1250,ASH,n e x + t i,2,davletshinaztecan
151742,tete1251,BARK,j e w a + j u + tɬ,4,davletshinaztecan
151743,nort2957,BARK,j e w a + j o,4,davletshinaztecan
151744,isth1242,BARK,k w a + k a h l oː + ʔ,3,davletshinaztecan
151745,isth1241,BARK,b a + g a h l o,3,davletshinaztecan
151746,taba1265,BARK,s u l + k o i,5,davletshinaztecan
151747,pipi1250,BARK,eː w a + j u,4,davletshinaztecan
151748,tete1251,BELLY,i h t e,6,davletshinaztecan
151749,nort2957,BELLY,i h t e,6,davletshinaztecan
151750,isth1242,BELLY,t a l a x,7,davletshinaztecan
151751,isth1241,BELLY,i h t i,6,davletshinaztecan
151752,taba1265,BELLY,i h t i,6,davletshinaztecan
151753,pipi1250,BELLY,i h t i,6,davletshinaztecan
151754,tete1251,BIG,b i e j iː,8,davletshinaztecan
151755,nort2957,BIG,w e j i,8,davletshinaztecan
151756,isth1242,BIG,w e j i,8,davletshinaztecan
151757,isth1241,BIG,w eː j,8,davletshinaztecan
151758,taba1265,BIG,w e j,8,davletshinaztecan
151759,pipi1250,BIG,w eː j,8,davletshinaztecan
151760,tete1251,BIRD,t u t u + tɬ,9,davletshinaztecan
151761,nort2957,BIRD,t o t o + tɬ,9,davletshinaztecan
151762,isth1242,BIRD,t oː t oː + ʔ,9,davletshinaztecan
151763,isth1241,BIRD,t oː t o + t,9,davletshinaztecan
151764,taba1265,BIRD,t uː r u + t,9,davletshinaztecan
151765,pipi1250,BIRD,t uː t u + t,9,davletshinaztecan
151766,tete1251,BITE,k e ts o m a,11,davletshinaztecan
151767,nort2957,BITE,tɬ a n + k e tʃ i j a,10,davletshinaztecan
151768,isth1242,BITE,t a n + k w a,10,davletshinaztecan
151769,isth1241,BITE,t a m + b a,10,davletshinaztecan
151770,pipi1250,BITE,t a n + k w a,10,davletshinaztecan
151771,tete1251,BLACK,tɬ i l + t iː k,12,davletshinaztecan
151772,nort2957,BLACK,tɬ i l + t i k,12,davletshinaztecan
151773,isth1242,BLACK,p iː s + t i ʔ,12,davletshinaztecan
151774,isth1241,BLACK,p i s + t i k,12,davletshinaztecan
151775,taba1265,BLACK,j a j á/a k,13,davletshinaztecan
151776,pipi1250,BLACK,t iː l + t i k,12,davletshinaztecan
151777,tete1251,BLOOD,j e s + tɬ iː,14,davletshinaztecan
151778,nort2957,BLOOD,j e s + tɬ i,14,davletshinaztecan
151779,isth1242,BLOOD,e s + t i,14,davletshinaztecan
151780,isth1241,BLOOD,e s + t i,14,davletshinaztecan
151781,taba1265,BLOOD,e s + t i,14,davletshinaztecan
151782,pipi1250,BLOOD,e s + t i,14,davletshinaztecan
151783,tete1251,BONE,m iː m iː t e + tɬ,16,davletshinaztecan
151784,nort2957,BONE,o h m i + tɬ,15,davletshinaztecan
151785,isth1242,BONE,o m i + ʔ,15,davletshinaztecan
151786,isth1241,BONE,o m i + t,15,davletshinaztecan
151787,taba1265,BONE,u m i + t,15,davletshinaztecan
151788,pipi1250,BONE,uː m i + t,15,davletshinaztecan
151789,tete1251,BREAST,tʃ i tʃ iː w a l,17,davletshinaztecan
151790,nort2957,BREAST,tʃ i tʃ i w a l,17,davletshinaztecan
151791,isth1242,BREAST,tʃ iː tʃ i w a l,17,davletshinaztecan
151792,isth1241,BREAST,tʃ i tʃ i w a l,17,davletshinaztecan
151793,taba1265,BREAST,tʃ i tʃ i,17,davletshinaztecan
151794,pipi1250,BREAST,tʃ iː tʃ i h,17,davletshinaztecan
151795,tete1251,BURN (SOMETHING),tɬ a t i a,18,davletshinaztecan
151796,nort2957,BURN (SOMETHING),t i t i ts a,18,davletshinaztecan
151797,isth1242,BURN (SOMETHING),t a t i á/a,18,davletshinaztecan
151798,isth1241,BURN (SOMETHING),t a t a,18,davletshinaztecan
151799,taba1265,BURN (SOMETHING),t a t i,18,davletshinaztecan
151800,pipi1250,BURN (SOMETHING),t a t i a,18,davletshinaztecan
151801,tete1251,CLAW,i s t e,19,davletshinaztecan
151802,nort2957,CLAW,i s t + n,19,davletshinaztecan
151803,isth1242,CLAW,i s t i,19,davletshinaztecan
151804,isth1241,CLAW,i s t i,19,davletshinaztecan
151805,taba1265,CLAW,i s t i,19,davletshinaztecan
151806,pipi1250,CLAW,i s t i + t,19,davletshinaztecan
151807,tete1251,CLOUD,m e x + tɬ iː,20,davletshinaztecan
151808,nort2957,CLOUD,m e x + tɬ i,20,davletshinaztecan
151809,isth1242,CLOUD,m i x + t i,20,davletshinaztecan
151810,isth1241,CLOUD,m iː x + t i,20,davletshinaztecan
151811,pipi1250,CLOUD,m i x + t i,20,davletshinaztecan
151812,tete1251,COLD,i ts + t iː k,22,davletshinaztecan
151813,nort2957,COLD,i ts + t i k,22,davletshinaztecan
151814,isth1242,COLD,s e s eː ʔ,21,davletshinaztecan
151815,isth1241,COLD,s e s eː k,21,davletshinaztecan
151816,taba1265,COLD,s e s e k,21,davletshinaztecan
151817,pipi1250,COLD,s e s e k,21,davletshinaztecan
151818,tete1251,COME,i b i ts,23,davletshinaztecan
151819,nort2957,COME,w i ts,23,davletshinaztecan
151820,isth1242,COME,w iː ʔ,23,davletshinaztecan
151821,isth1241,COME,w iː ts,23,davletshinaztecan
151822,taba1265,COME,ɲ o ts,23,davletshinaztecan
151823,pipi1250,COME,w iː ts,23,davletshinaztecan
151824,tete1251,DIE,m iː k iː,24,davletshinaztecan
151825,nort2957,DIE,m i k i,24,davletshinaztecan
151826,isth1242,DIE,m i k i,24,davletshinaztecan
151827,isth1241,DIE,m i g i,24,davletshinaztecan
151828,taba1265,DIE,m i k i,24,davletshinaztecan
151829,pipi1250,DIE,m i k i,24,davletshinaztecan
151830,tete1251,DOG,tʃ iː tʃ iː + t u,26,davletshinaztecan
151831,nort2957,DOG,tʃ i tʃ i,26,davletshinaztecan
151832,isth1242,DOG,p eː l o,25,davletshinaztecan
151833,isth1241,DOG,p e l o,25,davletshinaztecan
151834,taba1265,DOG,tʃ u tʃ u,26,davletshinaztecan
151835,pipi1250,DOG,p eː l u,25,davletshinaztecan
151836,tete1251,DRINK,o n + i,27,davletshinaztecan
151837,nort2957,DRINK,o n + i,27,davletshinaztecan
151838,isth1242,DRINK,o n + i + á/a,27,davletshinaztecan
151839,isth1241,DRINK,o n + i,27,davletshinaztecan
151840,taba1265,DRINK,x i + k,28,davletshinaztecan
151841,pipi1250,DRINK,u n + i,27,davletshinaztecan
151842,tete1251,DRY,w a h + k iː,30,davletshinaztecan
151843,nort2957,DRY,w a h + k i,30,davletshinaztecan
151844,isth1242,DRY,w aː k + t o ʔ,29,davletshinaztecan
151845,isth1241,DRY,w aː k + t o k,29,davletshinaztecan
151846,taba1265,DRY,w a k + t u k,29,davletshinaztecan
151847,pipi1250,DRY,w aː k + t u k,29,davletshinaztecan
151848,tete1251,EAR,n a k a s,31,davletshinaztecan
151849,nort2957,EAR,n a k a s,31,davletshinaztecan
151850,isth1242,EAR,n a k a s,31,davletshinaztecan
151851,isth1241,EAR,n a g a s,31,davletshinaztecan
