language,x1,x2,x3,x4,x5,x6,x7
bugu1245,h,a,-,-,-,-,-
lasu1234,h,a,-,-,-,-,-
sari1249,h,a,-,-,-,-,-
sulu1241,h,a,-,-,-,-,-
sulu1241,h,a,-,-,-,-,-
kojo1234,h,o,-,-,-,-,-
rawa1269,h,o,-,-,-,-,-
bulu1255,m,i,-,-,-,-,-
jeri1243,n,i,-,-,-,-,-
khoi1253,n,i,-,-,-,-,-
rahu1234,m,i,-,-,-,-,-
khoi1252,m,i,-,-,-,-,-
rupa1234,5,i,-,-,-,-,-
sher1261,5,i,-,-,-,-,-
chug1252,m,i,-,-,-,-,-
lish1235,m,i,-,-,-,-,-
dikh1234,h,a,5,-,-,u,-
wang1301,h,a,N,-,-,u,N
sing1271,h,a,n,i,y,u,-
bich1234,h,a,n,i,y,u,-
kasp1234,h,a,n,i,y,u,-
namp1239,h,a,n,i,y,u,-
