language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
bugu1245,-,-,k,a,-,-,-,p,r,e,i,-,-,-,-,-
lasu1234,-,-,k,a,-,-,-,p,-,e,i,-,-,-,-,-
sari1249,-,-,l,E,-,-,-,k,-,-,u,N,-,-,-,-
sulu1241,m,3,l,a,i,k,3,p,-,e,i,-,-,-,-,-
kojo1234,-,-,l,a,i,k,a,p,r,e,i,-,-,-,-,-
rawa1269,-,-,l,a,i,k,3,-,r,3,7,-,-,-,-,-
bulu1255,-,a,l,E,-,k,3,p,-,e,i,7,-,-,-,-
jeri1243,-,-,l,a,-,-,-,p,-,h,i,k,k,r,i,-
khoi1253,-,-,y,a,-,-,-,p,-,h,i,k,k,r,a,-
rahu1234,-,-,l,a,-,-,-,p,-,h,i,k,k,h,o,m
khoi1252,-,-,l,3,-,-,-,p,-,h,i,k,k,h,o,m
rupa1234,-,-,l,3,-,-,-,p,-,h,i,k,-,-,-,-
sher1261,k,h,l,o,-,k,-,p,-,-,u,-,-,-,-,-
chug1252,k,o,l,o,-,k,-,p,-,-,-,-,-,-,a,-
lish1235,k,o,l,o,-,k,-,p,-,-,-,-,-,-,a,-
dikh1234,-,-,l,a,-,g,-,y,-,-,u,N,-,-,-,-
wang1301,-,-,l,a,-,k,i,y,-,-,u,N,-,-,-,-
sing1271,-,-,l,3,-,s,-,p,-,a,u,-,-,-,-,-
bich1234,-,-,l,3,-,s,-,p,-,a,u,-,-,-,-,-
kasp1234,-,-,l,a,-,g,i,y,-,-,o,N,-,-,-,-
namp1239,-,-,l,a,-,g,i,y,-,-,o,N,-,-,-,-
