language,x1,x2,x3,x4,x5,x6,x7
bugu1245,-,a,w,-,a,i,7
lasu1234,-,a,w,-,a,i,7
sari1249,-,a,w,-,a,i,7
sulu1241,-,a,v,-,a,a,t
sulu1241,-,a,v,-,3,3,t
kojo1234,-,a,w,-,a,-,n
rawa1269,-,a,w,-,a,-,n
jeri1243,-,i,k,-,a,-,-
khoi1253,-,o,-,-,o,-,-
rahu1234,-,o,-,-,o,-,-
khoi1252,-,i,k,-,a,-,-
rupa1234,-,o,-,-,o,-,-
sher1261,-,o,-,-,o,-,-
chug1252,-,-,w,a,a,-,r
lish1235,-,o,w,-,a,-,l
dikh1234,-,3,k,a,u,-,-
wang1301,-,e,k,a,a,-,-
sing1271,-,e,g,a,a,-,-
bich1234,-,e,g,a,a,-,-
kasp1234,-,-,g,o,o,-,-
namp1239,n,3,g,o,u,-,-
