language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
bugu1245,-,-,-,-,-,s,-,-,3,7
lasu1234,-,-,-,-,-,s,-,-,3,7
sari1249,-,-,-,-,-,s,-,-,3,7
sulu1241,-,-,-,-,-,S,3,-,3,k
sulu1241,-,-,-,-,-,m,3,l,u,t
kojo1234,-,-,-,-,-,s,-,-,3,m
rawa1269,-,-,-,-,-,s,-,-,3,p
bulu1255,-,-,-,a,-,s,-,-,3,m
jeri1243,-,-,-,-,-,s,-,-,o,-
khoi1253,d,-,-,3,t,s,-,h,E,-
rahu1234,t,S,h,3,t,S,-,h,o,-
khoi1252,t,S,h,3,-,s,-,-,o,-
rupa1234,n,-,-,3,t,s,-,h,a,w
sher1261,n,-,-,3,t,S,-,h,a,w
chug1252,h,-,-,o,t,S,-,-,u,-
lish1235,h,-,-,o,t,S,-,-,o,-
dikh1234,-,-,-,-,-,s,i,-,a,m
wang1301,-,-,-,-,-,S,i,y,a,m
sing1271,-,-,-,-,-,s,p,h,u,n
bich1234,-,-,-,-,-,s,-,-,e,m
kasp1234,-,-,-,-,-,s,-,-,e,m
namp1239,-,-,-,-,-,s,-,-,e,m
