language,x1,x2,x3,x4,x5,x6,x7,x8
bugu1245,-,a,N,h,-,u,i,7
lasu1234,-,a,N,h,-,u,i,7
sari1249,-,a,-,h,-,u,i,7
sulu1241,-,a,N,x,-,u,-,t
sulu1241,-,a,N,h,-,u,-,t
kojo1234,h,a,-,h,r,3,-,n
rawa1269,h,a,-,h,-,3,-,n
jeri1243,n,3,-,s,-,e,-,n
khoi1253,n,a,-,s,-,e,-,n
rahu1234,p,-,-,s,-,e,-,m
khoi1252,n,i,-,s,-,o,-,m
rupa1234,n,3,-,s,-,o,-,m
sher1261,n,3,-,s,-,o,-,m
chug1252,n,a,m,s,-,u,-,N
lish1235,n,a,m,s,-,u,-,N
dikh1234,h,a,-,s,-,a,-,m
wang1301,h,a,-,s,-,a,-,m
sing1271,h,a,-,s,-,a,-,m
bich1234,-,a,-,S,-,a,-,m
kasp1234,h,a,-,s,-,a,-,m
namp1239,h,a,-,s,-,a,-,m
