language,x1,x2,x3,x4,x5,x6,x7
bugu1245,-,-,a,-,l,3,7
lasu1234,-,-,a,-,l,3,7
sari1249,-,-,a,-,l,3,7
sulu1241,-,-,a,-,l,u,k
sulu1241,h,e,e,n,l,u,k
kojo1234,h,-,3,-,y,3,m
rawa1269,h,-,3,N,l,3,p
bulu1255,-,-,a,-,l,3,p
jeri1243,-,-,a,-,l,E,-
khoi1253,-,-,a,-,l,a,7
rahu1234,-,-,a,-,r,a,p
khoi1252,-,-,a,-,r,a,p
rupa1234,-,-,a,-,l,a,p
sher1261,-,-,a,-,l,a,p
chug1252,-,-,u,-,l,a,p
lish1235,-,-,u,-,l,a,p
dikh1234,-,-,3,-,r,a,p
wang1301,-,-,-,-,r,a,p
sing1271,-,-,e,-,r,a,p
bich1234,-,-,-,-,r,a,p
kasp1234,-,-,-,-,r,a,p
namp1239,-,-,-,-,r,a,p
