language,x1,x2,x3,x4,x5,x6
piem1238,l,e,N,g,w,a
piem1238,l,e,N,g,-,a
piem1238,l,E,N,g,-,a
piem1238,l,E,N,g,-,a
roma1328,l,e,n,g,v,a
emil1241,l,E,N,g,w,a
emil1241,l,E,N,g,v,a
emil1241,l,E,N,g,w,a
vene1258,l,e,N,g,w,a
vene1258,l,e,N,g,w,a
vene1258,-,e,N,g,w,a
ital1282,l,i,N,g,w,a
ital1282,l,i,N,g,w,a
ligu1248,l,E,N,g,w,a
ligu1248,l,i,N,g,w,a
neap1235,l,e,N,g,w,3
sici1248,l,i,N,k,w,a
sici1248,l,i,N,g,w,a
sici1248,l,i,N,g,w,a
friu1240,l,E,N,g,-,e
stan1289,L,e,N,x,w,a
stan1289,L,e,N,x,w,a
stan1289,L,e,N,x,w,a
stan1289,L,e,N,x,u,-
stan1289,L,e,N,x,w,E
stan1289,L,e,N,x,w,3
camp1261,l,i,m,-,b,a
megl1237,l,i,m,-,b,3
arom1237,l,i,m,-,b,3
roma1327,l,i,m,-,b,3
istr1245,l,i,m,-,b,E
