language,x1,x2,x3,x4,x5,x6
piem1238,o,N,d,-,Z,a
piem1238,u,N,d,-,Z,a
piem1238,u,N,d,-,Z,a
piem1238,u,N,d,-,Z,a
roma1328,o,n,d,-,Z,a
emil1241,o,n,d,-,Z,a
emil1241,u,N,d,-,Z,a
emil1241,o,n,d,-,Z,a
vene1258,o,N,d,-,Z,a
vene1258,o,N,d,-,Z,a
vene1258,o,N,d,-,Z,a
ital1282,u,N,g,-,y,a
ital1282,u,N,g,-,y,a
ligu1248,u,N,d,-,Z,a
ligu1248,u,N,d,-,Z,a
neap1235,o,-,-,-,5,3
sici1248,u,-,-,-,5,a
sici1248,u,-,-,-,5,a
sici1248,u,-,-,-,5,a
friu1240,o,N,g,u,l,e
stan1289,u,N,g,-,l,a
stan1289,u,N,g,-,l,a
stan1289,u,N,g,-,l,a
stan1289,u,N,g,-,l,3
stan1289,u,N,g,-,l,E
stan1289,u,N,g,-,l,3
camp1261,u,N,-,-,g,a
megl1237,u,n,g,-,L,3
arom1237,u,n,g,-,L,e
roma1327,u,N,g,-,y,e
istr1245,u,N,g,-,L,e
