language,x1,x2,x3,x4
piem1238,m,a,N,-
piem1238,m,a,N,-
piem1238,m,a,N,-
piem1238,m,a,N,-
roma1328,m,a,n,-
emil1241,m,a,n,-
emil1241,m,a,N,-
emil1241,m,a,n,-
vene1258,m,a,N,-
vene1258,m,a,N,-
vene1258,m,a,N,-
ital1282,m,a,n,o
ital1282,m,a,n,o
ligu1248,m,a,N,-
ligu1248,m,a,N,-
neap1235,m,a,n,3
sici1248,m,a,n,u
sici1248,m,a,n,u
sici1248,m,a,n,u
friu1240,m,a,N,-
stan1289,m,a,-,-
stan1289,m,a,-,-
stan1289,m,a,-,-
stan1289,m,a,-,-
stan1289,m,a,-,-
stan1289,m,a,-,-
camp1261,m,a,n,u
megl1237,m,o,n,3
arom1237,m,3,n,3
roma1327,m,3,n,3
istr1245,m,3,r,-
