language,x1,x2,x3,x4,x5
piem1238,a,-,k,w,a
piem1238,e,-,-,v,a
piem1238,E,-,-,v,a
piem1238,e,-,-,v,a
roma1328,a,-,k,v,a
emil1241,a,-,k,v,a
emil1241,a,-,k,w,a
emil1241,a,-,k,w,a
vene1258,a,-,k,w,a
vene1258,a,-,k,w,a
vene1258,a,-,k,w,a
ital1282,a,-,k,w,a
ital1282,a,-,k,w,a
ligu1248,E,-,g,w,a
ligu1248,E,-,g,w,a
neap1235,a,-,k,w,3
sici1248,a,-,k,w,a
sici1248,a,-,k,w,a
sici1248,a,-,k,w,a
friu1240,a,-,g,-,e
stan1289,a,-,i,w,a
stan1289,a,-,i,w,a
stan1289,a,y,x,w,a
stan1289,a,y,x,u,-
stan1289,a,y,x,w,E
stan1289,a,y,x,w,3
camp1261,a,-,-,b,a
megl1237,a,-,-,p,u
arom1237,a,-,-,p,3
roma1327,a,-,-,p,3
istr1245,o,-,-,p,E
