language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
piem1238,-,s,t,-,E,-,-,-,-,-,-,-,-,N,-,p,-,-,-,-,-,-,-,e,-,-,-
piem1238,-,s,t,-,e,d,-,r,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
piem1238,-,s,t,-,e,-,-,-,-,-,E,-,-,n,-,p,-,-,-,-,-,-,-,e,-,-,-
piem1238,-,s,t,-,e,d,-,r,-,-,i,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-
emil1241,-,s,t,-,E,-,-,r,-,-,i,-,-,n,-,p,e,-,-,-,-,-,-,e,-,-,-
emil1241,-,s,t,-,E,-,-,r,-,-,i,-,-,n,-,p,-,-,-,-,-,-,-,e,-,-,-
emil1241,-,s,t,-,a,-,-,r,-,-,i,-,-,n,-,p,y,-,-,-,-,-,-,e,-,-,-
vene1258,-,s,t,-,a,-,-,r,-,-,i,-,-,N,-,p,i,-,-,-,-,-,-,e,-,-,-
vene1258,-,s,t,-,a,-,-,r,-,-,i,-,-,N,-,p,-,-,-,-,-,-,-,E,-,-,-
vene1258,-,s,t,-,a,-,-,r,-,-,i,-,-,N,-,p,i,-,-,-,-,-,-,e,-,-,-
ital1282,-,s,t,-,a,-,-,r,e,-,i,-,-,n,-,p,y,-,-,-,-,-,-,E,-,d,i
ital1282,-,s,t,-,a,-,-,r,e,-,i,-,-,n,-,p,y,-,-,-,-,-,-,E,-,d,i
ligu1248,-,S,t,-,e,-,-,-,-,-,i,-,-,m,-,p,-,-,-,-,-,-,-,e,-,-,-
ligu1248,-,s,t,-,a,-,-,-,-,-,i,-,-,N,-,p,-,-,-,-,-,-,-,e,-,-,-
neap1235,-,s,t,a,a,-,-,l,-,-,y,e,-,r,-,t,-,-,-,-,-,-,-,3,-,-,-
sici1248,-,s,t,-,a,-,-,r,-,-,i,a,-,d,i,t,-,-,-,-,-,-,-,a,-,-,-
sici1248,-,s,t,-,a,-,-,r,-,-,i,a,-,d,i,t,-,-,-,-,-,-,-,a,-,-,-
sici1248,-,s,t,-,a,-,-,r,-,-,i,a,g,r,i,t,-,-,-,-,-,-,-,a,-,-,-
friu1240,-,s,t,-,a,-,-,-,-,-,i,-,-,m,-,p,-,-,-,-,-,-,-,i,n,s,-
stan1289,e,s,t,-,a,-,-,r,-,-,8,-,-,r,-,-,-,-,-,-,-,-,-,E,-,t,-
stan1289,e,s,t,-,a,-,-,r,-,-,-,-,-,d,e,p,-,-,-,-,-,-,-,E,-,w,-
stan1289,e,s,t,-,a,-,-,r,-,-,-,-,-,d,e,p,-,-,-,-,-,-,-,E,-,w,-
stan1289,3,s,t,-,a,-,-,8,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,E,-,t,-
stan1289,a,s,t,-,a,-,-,8,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,E,-,t,-
stan1289,3,s,t,-,a,-,-,8,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,E,-,t,-
camp1261,-,-,-,-,a,b,a,r,a,y,i,-,-,-,-,b,-,-,-,-,-,-,-,e,-,y,-
megl1237,-,s,t,-,a,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-
arom1237,-,S,-,-,e,-,-,d,-,-,u,-,-,m,-,p,-,-,-,-,-,-,r,o,s,t,u
roma1327,a,s,t,-,a,-,-,-,-,-,3,-,-,n,-,p,i,t,S,o,v,a,r,e,-,-,-
istr1245,-,s,t,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
