language,x1,x2,x3,x4,x5,x6
ishi1240,m,a,s,-,-,u
take1256,m,a,s,-,-,u
hate1238,m,a,s,-,-,u
naze1238,m,a,S,-,-,u
okin1244,m,a,s,-,-,u
yona1241,m,a,S,-,-,i
miya1260,m,a,s,-,-,u
irab1238,m,a,s,-,-,u
tara1319,m,a,S,-,-,u
ikem1235,m,a,s,-,-,u
chik1251,-,-,S,i,w,o
kuma1281,-,-,S,i,-,o
naga1405,-,-,S,i,-,o
miya1258,-,-,S,i,-,o
oita1237,-,-,S,i,y,o
toky1238,-,-,S,i,-,o
yama1263,-,-,S,i,-,o
hokk1243,-,-,S,i,-,o
gifu1238,-,-,S,i,-,o
gifu1238,-,-,S,i,-,o
shiz1237,-,-,S,i,-,o
gunm1237,-,-,S,i,-,o
chic1269,-,-,S,-,-,o
toch1258,-,-,S,i,-,o
kana1290,-,-,S,i,w,o
iyob1237,-,-,S,i,-,o
tott1237,-,-,S,i,-,o
miee1237,-,-,S,i,-,o
kaga1258,-,-,S,i,-,o
toku1245,-,-,S,i,-,o
kyot1238,-,o,S,i,-,o
osak1237,-,-,S,i,-,o
waka1279,-,-,S,i,-,o
shig1237,-,-,S,i,w,o
kobe1244,-,-,S,i,-,o
okay1237,-,-,S,i,-,o
yama1261,-,o,S,i,y,o
fuku1241,-,-,S,i,-,o
kana1289,-,-,S,-,-,o
naga1408,-,-,S,-,-,o
hiro1237,-,-,S,i,y,o
ibar1242,-,-,S,i,-,o
chib1248,-,-,S,i,-,o
hata1244,-,-,S,i,-,o
toya1237,-,7,S,-,-,o
niig1237,-,-,S,-,-,o
fuku1243,-,-,S,i,-,o
send1240,-,-,s,u,-,o
yama1262,-,-,S,-,-,o
akit1240,-,-,S,-,-,o
tsug1237,-,-,s,u,-,o
kese1237,-,-,s,u,-,o
izum1237,-,-,s,-,-,o
hach1239,-,-,S,i,-,o
saga1265,-,-,S,i,-,o
nort2935,-,-,S,i,-,o
oldj1239,-,-,S,i,h,o
