language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
take1256,-,-,-,-,b,-,-,-,a,N,-,t,-,-,-,-,-,-,-,a,-,-,-
naze1238,-,-,-,-,w,-,-,-,a,-,-,k,-,-,-,y,-,-,-,a,-,-,-
okin1244,-,-,-,-,w,-,-,-,a,7,-,t,-,-,-,-,-,-,-,a,-,-,-
miya1260,-,-,-,-,b,-,-,-,a,N,-,t,-,-,-,-,-,-,-,a,-,-,-
irab1238,-,-,-,-,b,-,-,-,a,N,-,t,-,-,-,-,-,-,-,i,-,-,-
tara1319,-,-,-,-,-,-,-,-,a,N,-,t,-,-,-,-,-,-,-,a,-,-,-
ikem1235,-,-,-,-,b,-,-,-,a,N,-,t,-,-,-,-,-,-,-,i,-,-,-
chik1251,-,-,-,-,-,-,-,-,a,-,-,t,a,-,S,i,d,-,-,a,t,S,i
kuma1281,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,-,-,o,-,-,N
naga1405,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
miya1258,-,-,-,-,w,-,-,-,a,-,-,-,-,-,S,i,t,-,-,a,t,S,i
oita1237,-,-,-,-,w,-,-,-,a,-,-,-,-,-,S,i,d,-,-,o,-,-,-
toky1238,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,t,-,-,a,t,S,i
yama1263,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
hokk1243,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
gifu1238,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
gifu1238,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
shiz1237,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
gunm1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,t,-,-,a,t,S,i
chic1269,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
toch1258,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
kana1290,-,-,-,-,-,-,-,-,o,r,e,t,a,t,S,i,-,-,-,-,-,-,-
iyob1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
tott1237,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
miee1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
kaga1258,-,-,-,-,-,-,-,-,o,-,-,t,a,-,S,i,r,-,-,a,-,-,-
toku1245,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
kyot1238,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
osak1237,-,-,-,-,w,-,-,-,a,-,-,t,-,-,-,e,r,-,-,a,-,-,-
waka1279,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
shig1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
kobe1244,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
okay1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
yama1261,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,t,-,-,a,t,S,i
fuku1241,-,-,-,-,u,-,-,r,a,-,-,-,-,-,-,-,r,-,-,a,-,-,-
kana1289,-,-,-,-,w,-,-,-,a,-,-,t,-,-,-,e,r,-,-,a,-,-,-
naga1408,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,d,o,m,o,-,-,-
hiro1237,-,-,-,-,w,-,-,-,-,-,-,-,a,-,S,i,r,-,-,a,-,-,-
ibar1242,-,-,-,-,-,-,-,-,o,r,e,t,a,t,S,i,-,-,-,-,-,-,-
chib1248,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
hata1244,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,r,-,-,a,-,-,-
toya1237,-,-,-,-,w,-,-,-,a,S,i,t,a,t,S,i,-,-,-,-,-,-,-
niig1237,-,d,Z,i,b,u,N,t,a,-,-,t,-,-,S,i,-,-,-,-,-,-,-
fuku1243,o,r,-,e,d,-,-,-,a,-,-,t,-,-,S,i,-,-,-,-,-,-,-
send1240,-,-,-,-,w,-,-,-,a,-,-,d,a,-,s,u,d,-,-,a,t,s,u
yama1262,-,-,-,-,w,-,-,-,a,-,-,d,a,-,S,i,d,-,-,a,-,-,-
akit1240,o,-,-,-,r,-,-,e,a,-,-,-,-,-,-,-,d,-,-,a,d,Z,i
tsug1237,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,N,d,-,-,o,-,-,-
kese1237,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,e,d,-,-,a,d,z,u
izum1237,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
hach1239,-,-,-,-,w,-,-,-,a,-,-,-,-,-,-,i,r,-,-,a,-,-,-
saga1265,-,-,-,-,w,-,-,-,a,-,-,t,a,-,S,i,d,o,m,o,-,-,-
