language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
ishi1240,-,-,-,b,-,-,-,-,-,-,-,-,-,u,-,d,-,u,b,a,s,-,-,-,-,u,N
take1256,-,-,-,s,-,-,-,-,-,-,-,-,-,u,-,d,-,-,-,a,t,-,-,i,r,u,N
hate1238,-,-,-,s,i,-,-,-,-,-,-,-,-,3,-,n,-,-,-,a,t,s,i,3,r,u,N
naze1238,-,-,-,h,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,-,-,-,-,e,S,u,N
okin1244,-,-,-,s,-,-,-,-,-,-,-,-,-,u,-,r,-,-,-,a,t,-,-,i,N,-,-
yona1241,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,n,-,-,-,-,u,N
miya1260,-,-,-,s,-,-,-,-,-,-,-,-,-,u,-,d,-,-,-,a,t,-,i,i,-,3,-
irab1238,t,-,-,s,i,3,k,a,n,a,i,u,b,u,-,n,-,-,-,a,s,-,-,i,-,3,-
tara1319,-,-,-,S,-,-,-,-,-,-,-,-,-,u,-,d,-,-,-,a,t,-,-,i,r,u,-
ikem1235,b,u,i,b,-,-,-,-,-,-,-,-,-,u,-,n,-,-,-,a,s,-,-,i,-,3,-
chik1251,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,s,-,u,r,u,-
kuma1281,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,s,-,u,r,u,-
naga1405,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,s,-,u,r,u,-
miya1258,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,s,-,u,r,u,-
oita1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,u,r,u,-
toky1238,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
yama1263,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
hokk1243,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
gifu1238,-,-,-,S,-,-,-,-,-,-,-,-,-,i,-,t,-,-,-,o,n,-,-,e,r,u,-
gifu1238,-,-,-,S,-,-,-,-,-,-,-,-,-,i,-,t,-,-,-,o,n,-,-,e,r,u,-
shiz1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
gunm1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
chic1269,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
toch1258,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,d,-,-,e,r,u,-
kana1290,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
iyob1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
tott1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
miee1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
kaga1258,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
toku1245,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
kyot1238,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
osak1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
waka1279,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
shig1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
kobe1244,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
okay1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
yama1261,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
fuku1241,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
kana1289,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
naga1408,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
hiro1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
ibar1242,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,d,-,-,e,r,u,-
chib1248,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
hata1244,-,-,-,s,-,-,-,-,-,-,-,-,-,o,N,d,-,-,-,a,t,-,-,e,r,u,-
toya1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
niig1237,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,d,-,-,-,a,t,-,-,e,r,u,-
