language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
ishi1240,-,-,-,-,h,a,-,i,-,-,-
take1256,-,-,-,-,p,a,-,i,-,-,-
hate1238,-,-,-,-,p,e,-,e,-,-,-
naze1238,-,-,-,-,h,e,-,3,-,-,-
okin1244,-,-,-,-,h,-,-,e,-,-,-
yona1241,-,-,-,-,S,-,-,i,g,u,N
miya1260,k,a,r,a,p,a,-,i,-,3,-
irab1238,k,a,r,a,p,a,-,i,-,3,-
tara1319,k,a,r,a,p,a,-,i,-,3,-
ikem1235,k,a,r,a,p,a,-,i,-,-,-
chik1251,-,-,-,-,h,a,-,i,-,-,-
kuma1281,-,-,-,-,S,a,-,-,-,-,-
naga1405,-,-,-,-,h,a,-,i,-,-,-
miya1258,-,-,-,-,f,-,-,e,-,-,-
oita1237,-,-,-,-,h,-,-,e,-,-,-
toky1238,-,-,-,-,h,a,-,i,-,-,-
yama1263,-,-,-,-,h,-,-,e,-,-,-
hokk1243,-,-,-,-,-,a,k,u,-,-,-
gifu1238,-,-,-,-,S,E,-,-,-,-,-
gifu1238,-,-,-,-,b,E,-,-,-,-,-
shiz1237,-,-,-,-,h,-,-,e,-,-,-
gunm1237,-,-,-,-,h,a,-,i,-,-,-
chic1269,-,-,-,-,h,a,-,i,-,-,-
toch1258,-,-,-,-,h,a,-,i,-,-,-
kana1290,-,-,-,-,h,-,-,e,-,-,-
iyob1237,-,-,-,-,h,a,-,i,-,-,-
tott1237,-,-,-,-,h,a,-,i,-,-,-
miee1237,-,-,-,-,h,a,-,i,-,-,-
kaga1258,-,-,-,-,h,a,-,i,-,-,-
toku1245,-,-,-,-,h,a,-,i,-,-,-
kyot1238,-,-,-,-,h,a,-,i,-,-,-
osak1237,-,-,-,-,h,a,-,i,-,-,-
waka1279,-,-,-,-,h,a,-,i,-,-,-
shig1237,-,-,-,-,h,a,-,e,-,-,-
kobe1244,-,-,-,-,h,a,-,i,-,-,-
okay1237,-,-,-,-,h,a,-,i,-,-,-
yama1261,-,-,-,-,h,E,-,-,-,-,-
fuku1241,-,-,-,-,h,a,-,i,-,-,-
kana1289,-,-,-,-,h,a,-,i,-,-,-
naga1408,-,-,-,-,h,-,-,e,-,-,-
hiro1237,-,-,-,-,h,a,-,i,-,-,-
ibar1242,-,-,-,-,h,a,-,e,-,-,-
chib1248,-,-,-,-,h,E,-,-,-,-,-
hata1244,-,-,-,-,h,a,-,i,-,-,-
toya1237,-,-,-,-,h,a,-,i,-,-,-
niig1237,-,-,-,-,-,a,k,u,-,-,-
fuku1243,-,-,-,-,-,a,g,u,-,-,-
send1240,-,-,-,-,-,a,g,u,-,-,-
yama1262,-,-,-,-,-,a,g,u,-,-,-
akit1240,-,-,-,-,-,a,g,u,-,-,-
tsug1237,-,-,-,-,-,a,g,u,-,-,-
kese1237,-,-,-,-,-,a,g,u,-,-,-
izum1237,-,-,-,-,h,a,-,e,-,-,-
hach1239,-,-,-,-,h,-,-,e,-,-,-
saga1265,-,-,-,-,S,a,-,-,-,-,-
nort2935,-,-,-,-,h,-,-,e,-,-,-
oldj1239,-,-,-,-,h,a,S,i,-,-,-
