language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
ishi1240,w,-,-,-,a,-,r,-,u,-,s,a,N
take1256,w,-,-,-,a,-,7,s,a,-,-,N,-
hate1238,w,a,7,s,a,-,h,-,a,-,-,N,-
naze1238,w,-,-,-,a,-,r,-,u,-,S,a,N
okin1244,w,-,-,-,a,-,7,-,S,-,-,e,N
yona1241,b,-,-,-,a,-,r,-,a,-,s,a,N
miya1260,b,-,-,-,a,i,3,k,a,-,-,i,3
irab1238,b,-,-,-,a,-,l,k,a,-,-,l,-
tara1319,-,-,-,-,-,-,d,-,a,-,m,i,-
ikem1235,b,-,-,-,a,i,-,k,a,-,-,i,-
chik1251,w,-,-,-,a,-,r,-,u,-,k,a,-
kuma1281,w,-,-,-,a,-,r,-,u,-,k,a,-
naga1405,w,-,-,-,a,-,r,-,u,-,k,a,-
miya1258,w,-,-,-,a,-,r,-,-,-,-,i,-
oita1237,w,-,-,-,a,-,r,-,-,-,-,i,-
toky1238,w,-,-,-,a,-,r,-,u,-,-,i,-
yama1263,w,-,-,-,a,-,r,-,u,-,-,i,-
hokk1243,w,-,-,-,a,-,r,-,u,-,-,i,-
gifu1238,w,-,-,-,a,-,r,y,u,-,-,-,-
gifu1238,w,-,-,-,a,-,r,y,u,-,-,-,-
shiz1237,w,-,-,-,a,-,r,-,-,-,-,i,-
gunm1237,w,-,-,-,a,-,r,-,u,-,-,i,-
chic1269,w,-,-,-,a,-,r,-,u,-,-,e,-
toch1258,w,-,-,-,a,-,r,-,u,-,-,i,-
kana1290,w,-,-,-,a,-,r,-,-,-,-,i,-
iyob1237,w,-,-,-,a,-,r,-,u,-,-,i,-
tott1237,w,-,-,-,a,-,r,-,u,-,-,i,-
miee1237,w,-,-,-,a,-,r,-,u,-,-,i,-
kaga1258,w,-,-,-,a,-,r,-,u,-,-,i,-
toku1245,w,-,-,-,a,-,r,-,u,-,-,i,-
kyot1238,w,-,-,-,a,-,r,-,u,-,-,i,-
osak1237,w,-,-,-,a,-,r,-,u,-,-,i,-
waka1279,w,-,-,-,a,-,r,-,-,-,-,i,-
shig1237,w,-,-,-,a,-,r,-,u,-,-,i,-
kobe1244,w,-,-,-,a,-,r,-,u,-,-,i,-
okay1237,w,-,-,-,a,-,r,-,-,-,-,i,-
fuku1241,w,-,-,-,a,-,r,-,u,-,-,i,-
kana1289,w,-,-,-,a,-,r,-,u,-,-,i,-
naga1408,w,-,-,-,a,-,r,-,-,-,-,i,-
hiro1237,w,-,-,-,a,-,r,-,-,-,-,i,-
ibar1242,w,-,-,-,a,-,r,-,u,-,-,e,-
chib1248,w,-,-,-,a,-,r,-,-,-,-,i,-
hata1244,b,-,-,-,e,N,g,-,o,d,Z,a,-
toya1237,w,-,-,-,a,-,r,-,-,-,-,i,-
niig1237,w,-,-,-,a,-,r,-,-,-,-,e,-
fuku1243,w,-,-,-,a,-,r,-,u,-,-,i,-
send1240,w,-,-,-,a,-,r,-,u,-,-,e,-
yama1262,w,-,-,-,a,-,r,-,-,-,-,i,-
akit1240,w,-,-,-,a,-,r,-,-,-,-,i,-
tsug1237,w,-,-,-,a,-,r,-,-,-,-,i,-
kese1237,w,-,-,-,a,-,r,-,-,-,-,u,-
izum1237,w,-,-,-,a,-,r,-,-,-,-,i,-
hach1239,w,-,-,-,a,-,r,-,u,-,k,y,a
saga1265,w,-,-,-,a,-,k,-,-,-,-,a,-
nort2935,w,-,-,-,a,-,r,-,-,-,-,i,-
oldj1239,-,-,-,-,a,-,S,-,-,-,-,i,-
