language,x1,x2,x3,x4,x5,x6
take1256,-,k,-,u,N,-
hate1238,-,k,-,u,N,-
naze1238,-,k,y,u,N,-
yona1241,-,k,-,u,N,-
irab1238,-,b,-,u,-,-
ikem1235,-,b,-,u,-,-
chik1251,-,k,-,u,r,u
kuma1281,-,k,-,u,r,u
naga1405,-,k,-,u,r,u
miya1258,-,k,-,u,r,u
oita1237,-,k,-,u,r,u
toky1238,-,k,-,u,r,u
yama1263,-,k,-,u,r,u
hokk1243,-,k,-,u,r,u
gifu1238,-,k,-,u,r,u
gifu1238,-,k,-,u,r,u
shiz1237,-,k,-,u,r,u
gunm1237,-,k,-,u,r,u
chic1269,-,k,-,u,r,u
toch1258,-,k,-,u,r,u
kana1290,i,k,-,u,-,-
iyob1237,-,k,-,u,r,u
tott1237,-,k,-,u,r,u
miee1237,-,k,-,u,r,u
kaga1258,-,k,-,u,r,u
toku1245,-,k,-,u,r,u
kyot1238,-,k,-,u,r,u
osak1237,-,k,-,u,r,u
waka1279,-,k,-,u,r,u
shig1237,-,k,-,u,r,u
kobe1244,-,k,-,u,r,u
okay1237,-,k,-,u,r,u
fuku1241,-,k,-,u,r,u
kana1289,-,k,-,u,r,u
naga1408,-,k,-,u,r,u
hiro1237,-,k,-,u,r,u
ibar1242,-,k,-,u,r,u
chib1248,-,k,-,u,r,u
hata1244,-,k,-,u,r,u
toya1237,-,k,-,u,r,u
niig1237,-,k,-,u,r,u
fuku1243,-,k,-,u,r,u
yama1262,-,k,-,u,r,u
akit1240,-,k,-,u,r,u
tsug1237,-,k,-,u,r,u
kese1237,-,k,-,u,r,u
izum1237,-,k,-,u,-,-
hach1239,-,k,-,u,r,u
saga1265,-,k,-,u,-,-
nort2935,-,k,-,u,7,-
oldj1239,-,k,-,u,-,-
