language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
ishi1240,p,-,s,i,3,r,-,o,m,-,-,a
take1256,p,u,s,-,-,-,-,u,m,-,-,a
hate1238,p,-,s,i,3,s,-,u,-,-,-,-
naze1238,-,-,S,i,-,N,m,a,-,-,-,-
okin1244,-,-,p,i,-,r,-,u,-,-,-,-
miya1260,p,-,s,i,3,-,m,a,-,-,-,-
irab1238,p,-,s,i,3,l,m,a,-,-,-,-
tara1319,p,-,s,i,3,-,m,a,-,-,-,-
ikem1235,-,-,S,i,-,-,m,a,-,-,-,-
chik1251,-,-,S,i,-,r,-,u,-,-,-,-
kuma1281,-,-,S,i,-,r,-,u,-,-,-,-
naga1405,-,-,S,i,-,r,-,u,-,-,-,-
miya1258,-,-,S,i,-,r,-,u,-,-,-,-
oita1237,-,-,S,i,-,r,-,u,-,-,-,-
toky1238,-,-,S,i,-,r,-,u,-,-,-,-
yama1263,-,-,S,i,-,r,-,u,-,-,-,-
hokk1243,-,-,S,i,-,r,-,u,-,-,-,-
gifu1238,-,-,S,i,-,r,-,u,-,-,-,-
gifu1238,-,-,S,i,-,r,-,u,-,-,-,-
shiz1237,-,-,S,i,-,r,-,u,-,-,-,-
gunm1237,-,-,S,i,-,r,-,u,-,-,-,-
chic1269,-,-,S,i,-,r,-,u,-,-,-,-
toch1258,o,-,S,i,-,r,-,u,-,-,-,-
kana1290,-,-,S,i,-,r,-,u,-,-,-,-
iyob1237,-,-,S,i,-,r,-,u,-,-,-,-
tott1237,-,-,S,i,-,r,-,u,-,-,-,-
miee1237,-,-,S,i,-,r,-,u,-,-,-,-
kaga1258,-,-,S,i,-,r,-,u,-,-,-,-
toku1245,-,-,S,i,-,r,-,u,-,-,-,-
kyot1238,-,-,S,i,-,r,-,u,-,-,-,-
osak1237,-,-,S,i,-,r,-,u,-,-,-,-
waka1279,-,-,S,i,-,r,-,u,-,-,-,-
shig1237,-,-,S,i,-,r,-,u,-,-,-,-
kobe1244,-,-,S,i,-,r,-,u,-,-,-,-
okay1237,-,-,S,i,-,r,-,u,-,-,-,-
yama1261,-,-,S,i,-,r,-,u,-,-,-,-
fuku1241,-,-,S,i,-,r,-,u,-,-,-,-
kana1289,-,-,S,i,-,r,-,u,m,-,-,a
naga1408,-,-,S,i,-,r,-,u,-,-,-,-
hiro1237,-,-,S,i,-,r,-,u,-,-,-,-
ibar1242,-,-,S,i,-,r,-,u,m,-,-,a
chib1248,-,-,S,i,-,r,-,u,-,-,-,-
hata1244,-,-,S,i,-,r,-,u,-,-,-,-
toya1237,-,-,S,i,-,N,m,a,-,-,-,-
niig1237,-,-,S,i,-,r,-,u,n,a,k,a
fuku1243,o,-,S,i,-,r,-,u,-,-,-,-
send1240,-,-,S,i,-,r,-,u,-,-,-,-
yama1262,-,-,S,i,-,r,-,o,m,-,-,a
akit1240,-,-,S,i,-,r,-,u,m,-,-,a
tsug1237,-,-,s,u,-,r,-,u,m,-,-,a
kese1237,-,-,S,i,-,r,-,u,-,-,-,-
izum1237,-,-,b,i,-,r,-,i,-,-,-,-
hach1239,-,-,S,i,-,r,-,u,m,-,-,a
saga1265,-,-,S,i,-,r,-,u,-,-,-,-
nort2935,-,-,S,i,-,-,-,-,-,-,-,-
oldj1239,-,-,S,i,-,r,-,u,-,-,-,-
