language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
ishi1240,u,m,u,d,-,-,-,z,a,-,-,-,t,u,r,-,-,-,i,3,-,-,-,-,-
naze1238,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
miya1260,-,-,-,t,u,i,3,g,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
irab1238,-,-,-,t,-,-,a,k,a,-,-,-,t,u,l,-,-,-,-,-,-,-,-,-,-
tara1319,-,-,-,t,-,-,a,k,a,-,-,-,t,u,l,-,-,-,-,-,-,-,-,-,-
chik1251,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
kuma1281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
naga1405,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
miya1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,S,e,7,p,o,-,u,t,S,i
oita1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
toky1238,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
yama1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
hokk1243,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
gifu1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
gifu1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
shiz1237,-,-,-,-,-,-,-,t,e,-,-,-,-,-,7,-,-,-,p,o,-,u,t,S,i
gunm1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
chic1269,-,-,-,-,-,-,-,t,e,7,p,o,b,u,d,-,-,-,Z,i,-,-,-,-,-
toch1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
kana1290,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
iyob1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
tott1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
miee1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,e,7,p,o,-,u,t,S,i
toku1245,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
kyot1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,e,7,p,o,-,u,t,S,i
osak1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,e,7,p,o,-,u,t,S,i
waka1279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,e,7,p,o,-,u,t,S,i
shig1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
kobe1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,a,r,i,-,-,-,-,-,-
okay1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
yama1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
fuku1241,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
kana1289,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
naga1408,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
hiro1237,-,-,-,-,-,-,-,y,a,-,-,-,m,a,r,-,-,-,y,o,-,-,-,-,-
ibar1242,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
chib1248,-,-,-,-,-,-,-,t,e,7,p,o,b,u,d,-,-,-,Z,i,-,-,-,-,-
hata1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
toya1237,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
niig1237,-,-,-,-,-,-,-,t,e,-,-,-,-,-,7,-,-,-,p,o,b,u,t,S,i
fuku1243,-,-,-,-,-,-,-,t,e,7,p,o,b,u,d,-,-,-,Z,i,-,-,-,-,-
send1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
akit1240,-,-,-,-,-,-,-,t,e,7,p,o,-,u,d,Z,-,-,i,-,-,-,-,-,-
kese1237,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-
izum1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,y,o,-,-,-,-,-
saga1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,u,-,-,-,-,-
nort2935,-,-,-,-,-,-,-,t,e,-,-,-,-,-,7,-,-,-,p,o,-,u,7,-,-
oldj1239,-,-,-,-,-,-,-,k,a,-,-,-,-,-,r,-,-,-,-,u,-,-,-,-,-
