language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
haka1240,-,-,-,-,t,-,-,-,s,-,-,-,-,-,-,u,-,-,a,p,-
lush1249,-,-,-,-,t,-,-,-,S,-,-,-,-,-,-,u,-,-,a,p,-
karb1241,-,-,i,-,n,g,N,p,h,-,-,-,-,-,-,o,-,-,o,r,-
khal1275,-,-,-,-,-,-,-,-,s,-,o,-,p,h,r,o,-,-,o,p,-
thul1246,-,-,-,-,-,-,-,-,7,-,u,-,-,-,d,z,-,-,a,n,-
bahi1252,-,-,-,-,-,-,-,-,s,-,E,-,p,e,-,o,-,-,o,r,E
limb1266,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,o,-,-,o,m,-
bant1281,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,o,-,-,o,m,-
chep1245,-,-,-,-,-,-,-,-,h,l,u,N,p,-,-,o,-,-,o,p,-
wayu1241,-,d,i,N,d,-,-,-,z,-,-,-,y,-,-,o,-,-,o,t,-
wayu1241,-,-,-,-,d,-,-,-,z,-,-,-,-,-,-,o,-,-,o,t,-
lash1243,-,-,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,o,t,-
zaiw1241,-,-,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,u,t,-
maru1249,-,-,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,a,t,-
pela1242,-,-,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,o,t,-
acha1249,-,-,a,-,t,-,-,-,S,-,-,-,h,-,-,o,-,-,o,t,-
nucl1310,-,-,a,-,s,-,-,-,h,-,-,-,-,-,-,o,-,-,o,7,-
lisu1250,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,u,-,m,u,-,-
drun1238,-,-,-,-,z,-,u,-,s,-,-,-,-,-,-,-,-,-,u,-,-
japh1234,-,t,u,r,t,-,-,-,s,-,-,-,h,-,-,-,-,-,o,z,-
situ1238,-,t,3,r,t,-,-,-,s,-,-,-,h,-,-,o,-,-,o,s,-
zhab1238,-,-,-,-,t,-,-,-,s,-,e,-,p,-,-,-,-,-,e,-,-
amdo1237,-,-,-,-,r,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-
amdo1237,-,-,-,-,h,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,o,w,a,-,-
byan1241,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,N,b,a,r,-
rong1264,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,a,-,-
gahr1239,-,-,-,-,g,-,-,-,r,-,-,-,-,-,-,w,-,-,a,-,-
idum1241,-,-,-,-,-,-,-,-,-,-,o,-,p,-,-,o,-,-,o,-,-
diga1241,-,-,-,-,-,-,-,-,x,-,o,-,p,-,-,o,-,-,o,-,-
boka1249,-,-,-,-,-,-,-,-,l,-,o,-,-,-,-,-,-,-,-,-,-
garo1247,-,k,a,-,7,-,-,-,s,-,-,-,-,-,-,o,-,-,o,p,-
rabh1238,t,h,a,-,-,-,-,-,s,-,-,-,r,-,-,o,-,-,o,k,-
hakk1236,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-
hakk1236,-,-,-,-,p,-,-,-,h,-,-,-,-,-,-,u,-,-,i,-,-
