language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
haka1240,-,-,-,-,T,-,-,-,h,t,-,-,-,s,-,u,n,-,-,T,-,-,h,t,s,-,-,a,-,-,-,-,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,t,-,-,-,S,h,i,m,-,-,-,-,-,b,-,a,-,-,a,-,-,-,-,-,l,-,-,-,-
karb1241,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,u,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-
khal1275,-,-,-,-,r,o,o,-,k,t,o,o,-,l,-,o,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-
thul1246,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,a,-,-,-,N,-,-,g,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,u,-,-,-,k,-,-,h,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-
kulu1253,-,-,-,-,r,-,o,-,k,t,-,-,-,-,-,o,-,-,-,k,-,-,h,-,-,-,-,o,-,-,-,-,-,m,-,-,-,-
bahi1252,-,-,-,-,-,-,-,-,-,t,-,-,-,s,-,i,-,-,-,t,-,-,s,-,i,r,w,a,-,-,-,-,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,a,-,-,-,k,-,-,-,-,-,-,-,3,-,-,-,-,-,m,a,-,-,N
chep1245,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,o,-,-,-,o,-,-,r,-,-,-,-,a,-,y,-,-,-,7,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,3,N,-,-,-,-,-,y,-,-,-,-,a,N,y,o,k,a,n,-,-,-,-
zaiw1241,-,-,-,-,v,-,o,o,7,k,-,a,n,S,-,i,N,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-
maru1249,-,-,-,-,x,-,o,-,7,k,-,a,N,s,-,a,N,-,-,N,-,-,y,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,x,-,a,-,7,k,-,E,-,s,-,a,N,-,-,n,-,-,y,-,-,-,-,u,-,-,-,-,-,N,-,-,-,-
acha1249,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,o,N,-,-,n,-,-,y,-,i,n,n,a,-,-,-,-,-,m,-,-,-,-
nucl1310,-,t,-,-,8,-,E,-,7,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,m,o,o,S,i
drun1238,-,-,-,-,m,-,u,-,-,-,-,-,-,S,-,i,n,n,E,n,n,o,y,-,-,-,-,o,-,-,-,-,-,7,-,-,-,-
japh1234,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
situ1238,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,n,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
gahr1239,b,r,o,o,m,-,o,o,-,l,-,a,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,t,-,-,s,i
idum1241,-,-,-,-,-,-,-,-,-,-,-,o,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,t,-,o,-,x,-,u,-,-,-,i,-,-,g,-,-,-,-,o,-,-,-,-,-,N,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,t,-,-,-,s,h,a,-,-,-,i,-,-,f,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,t,-,-,-,s,h,o,-,-,-,i,-,-,h,-,-,-,-,u,-,-,-,-,-,N,-,-,-,-
