language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
haka1240,-,f,-,i,-,-,k,-,-,-,-,-,f,-,a,-,-,-,-,-,-,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,t,-,-,-,-,-,h,-,o,-,-,-,-,o,-,s,i,-,-,-,-
karb1241,T,h,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,i,t,i,i,m
thul1246,-,s,-,3,-,-,p,-,-,-,-,-,-,-,e,-,l,-,-,-,-,-,-,-,-,-,-
bahi1252,-,s,-,i,-,-,p,-,-,-,-,-,-,-,E,-,l,-,-,-,-,-,-,-,-,-,-
limb1266,-,y,-,o,-,-,t,-,-,-,-,-,l,-,a,-,N,g,-,-,-,-,e,-,-,-,-
bant1281,-,k,-,o,-,-,-,-,-,-,-,-,-,-,o,-,N,k,o,o,N,m,a,-,-,-,-
chep1245,d,Z,-,a,-,-,w,-,-,-,-,-,y,-,a,-,N,-,-,-,-,-,-,-,-,-,-
wayu1241,-,k,-,a,-,-,n,-,a,-,-,-,n,-,a,-,N,-,-,-,-,-,-,-,-,-,-
lash1243,-,k,-,-,-,-,-,-,-,-,-,-,y,-,a,-,N,-,-,-,-,-,-,-,-,-,-
zaiw1241,-,k,-,-,-,-,-,-,-,-,-,-,y,-,a,-,N,-,-,-,-,-,-,-,-,-,-
maru1249,-,k,-,-,-,-,-,-,-,-,-,-,y,-,o,-,-,-,-,-,-,-,-,-,-,-,-
pela1242,-,k,-,-,-,-,-,-,-,-,-,-,y,-,o,-,-,-,-,-,-,-,-,-,-,-,-
acha1249,p,h,-,-,-,-,-,-,-,-,-,-,-,-,o,-,p,-,-,-,-,-,-,-,-,-,-
nucl1310,-,t,-,-,-,-,S,-,-,-,-,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,h,-,E,-,-,t,-,-,-,-,-,h,o,o,-,-,-,-,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,p,-,o,s,i,-,-,-,-,-,-,-,-,-,-
japh1234,-,X,m,o,-,-,r,-,-,-,-,-,5,-,u,-,x,-,-,-,-,-,-,-,-,-,-
situ1238,-,w,-,a,s,s,t,-,-,-,-,-,s,-,a,-,-,-,-,-,-,-,-,-,-,-,-
zhab1238,p,h,-,o,-,-,o,-,-,-,-,-,m,-,E,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,a,-,-,y,-,a,N,n,d,z,-,3,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,w,-,a,-,-,d,-,a,k,-,-,x,-,a,-,-,-,-,-,-,-,-,-,-,-,-
kham1282,m,b,-,u,-,-,l,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,b,-,u,-,-,d,-,a,-,-,-,z,-,a,-,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,t,S,o,-,-,-,-,o,N,-,t,S,-,o,o,N,-,-,-,-,-,-,-,-,-,-
rong1264,-,m,-,3,-,-,t,-,-,S,-,-,h,-,3,-,r,-,-,-,-,-,-,-,-,-,-
idum1241,-,-,-,o,-,-,l,o,o,N,n,d,Z,-,u,-,-,-,-,-,-,-,-,-,-,-,-
diga1241,-,k,-,o,-,o,r,u,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,m,-,i,-,-,-,-,-,-,-,-,S,-,i,-,-,-,-,-,-,-,-,-,-,-,-
garo1247,-,g,-,a,-,-,-,-,-,N,-,-,g,u,a,-,-,-,-,-,-,-,-,-,-,-,-
hakk1236,-,m,-,i,-,n,t,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-
hakk1236,-,m,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
