language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
khal1275,-,-,-,-,-,s,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
thul1246,-,-,-,-,-,s,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
kulu1253,-,a,-,-,-,s,-,-,-,-,k,-,3,-,-,-,-,-,-,y,-,-
bahi1252,-,-,-,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,-,-,-,t,-,-
bant1281,-,-,-,-,-,s,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-
chep1245,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
wayu1241,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
oldb1235,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nucl1310,b,E,t,-,-,8,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nucl1310,m,i,t,-,-,8,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,x,-,-,-,a,-,-,-,-,-,-,-,-,-,N,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-
maru1249,-,-,k,-,-,h,3,-,y,a,-,-,u,-,-,-,-,-,-,k,-,-
pela1242,-,-,k,-,-,h,a,k,y,a,-,-,u,-,-,-,-,-,-,7,-,-
xian1249,-,-,-,-,-,x,-,-,-,a,-,-,u,-,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,x,-,-,-,a,-,-,u,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,o,m,-,o,-,-,-,-,-,-,-,-,-
jing1260,-,-,-,-,-,k,-,-,-,a,t,a,i,-,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,o,m,-,i,-,-,-,-,-,-,-,-,-
haka1240,-,-,a,-,-,h,-,-,7,o,-,-,o,-,-,d,-,a,h,7,-,-
lush1249,-,-,-,-,-,t,-,-,-,-,-,-,u,-,-,N,-,e,-,-,-,-
ukhr1238,-,-,k,-,-,h,-,-,-,-,-,-,i,-,-,p,-,a,-,-,-,-
karb1241,-,-,-,-,-,k,-,-,-,o,-,-,o,-,-,m,a,a,-,t,-,-
horp1240,-,-,-,-,-,s,-,-,-,-,h,-,3,-,-,-,-,-,-,-,-,-
eree1240,-,-,-,-,-,s,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
japh1234,-,-,-,-,-,S,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
situ1238,-,-,-,-,-,s,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,s,-,-,-,-,h,-,3,-,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,s,-,-,-,y,w,-,3,-,-,-,-,-,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,a,-,-,-,-
rong1264,-,-,g,h,g,h,-,-,-,-,-,-,o,o,d,Z,-,3,-,-,-,-
gahr1239,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
clas1254,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,s,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,s,-,-,-,-,h,-,3,-,-,-,-,-,-,-,-,-
utsa1239,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,s,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,7,-,-,-,i,b,-,i,-,-,-,-,-,-,-,-,-
idum1241,-,-,-,-,-,s,-,-,-,i,y,-,o,-,-,-,-,-,-,-,-,-
idum1241,7,i,-,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,S,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,h,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
garo1247,-,-,-,-,-,s,-,-,-,a,g,-,i,-,-,p,-,a,-,-,-,-
rabh1238,-,-,t,-,-,S,-,-,-,a,N,-,-,-,-,-,-,-,-,-,-,-
guan1279,-,-,-,-,-,p,-,-,-,-,-,-,i,-,-,-,-,-,-,n,k,o
hakk1236,-,-,-,-,-,m,-,-,-,a,n,n,i,-,-,-,-,-,-,n,-,-
hakk1236,-,-,-,-,-,l,-,-,-,a,N,N,i,-,-,-,-,-,-,n,-,-
beij1235,-,-,-,-,-,S,-,-,-,e,-,-,i,-,-,-,-,-,-,-,-,-
chao1238,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,t,i,E,-,N,-,-
chao1239,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,t,i,a,-,N,-,-
oldc1244,-,-,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,y,-,-
