language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
khal1275,b,-,-,h,-,e,n,d,-,-,-,-,e,-,-,-,-,-,-
thul1246,b,-,-,h,-,e,n,d,-,-,-,-,a,-,-,-,-,-,-
bahi1252,k,-,-,h,-,o,-,k,-,-,p,-,a,-,-,-,-,-,-
bant1281,m,e,k,h,-,a,-,r,-,-,-,-,a,-,-,-,-,-,-
bant1281,b,e,-,p,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-
oldb1235,-,-,-,s,-,u,-,-,-,-,-,-,i,-,-,w,h,-,-
nucl1310,t,-,-,8,-,o,-,-,-,-,-,-,o,-,-,-,-,-,-
lash1243,t,-,-,S,h,o,t,p,-,-,-,-,a,t,n,u,-,-,-
zaiw1241,-,-,-,s,-,-,-,-,-,-,-,-,a,-,-,u,m,y,i
maru1249,t,-,-,S,h,a,t,p,-,-,-,-,E,-,-,-,7,-,-
xian1249,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,7,-,-
acha1249,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,7,-,-
lisu1250,-,-,-,-,-,o,-,Z,-,-,-,-,o,-,-,-,-,-,-
jing1260,-,-,-,s,-,a,-,k,-,-,-,-,u,-,-,-,-,-,-
drun1238,-,-,-,-,-,o,-,y,-,-,-,-,o,-,-,-,-,-,-
haka1240,-,-,-,-,-,-,-,t,u,u,-,-,u,-,-,-,-,-,-
lush1249,b,-,-,-,-,e,-,r,-,-,-,-,a,-,-,-,m,-,-
karb1241,m,-,-,-,-,e,-,r,-,e,s,-,a,-,-,-,k,-,-
horp1240,-,-,-,-,l,o,-,X,-,-,-,-,o,-,-,-,-,-,-
eree1240,-,-,-,X,y,e,-,-,-,-,-,-,e,-,-,-,-,-,-
japh1234,-,-,-,q,-,a,-,Z,-,-,-,-,o,-,-,-,-,-,-
situ1238,-,-,-,k,-,3,-,y,-,-,-,-,o,-,-,-,-,-,-
zhab1238,-,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
tang1334,-,-,-,y,-,i,-,y,-,-,-,-,-,-,-,-,-,-,-
byan1241,-,-,-,m,-,a,-,m,-,-,l,-,a,-,-,-,-,-,-
rong1264,-,-,-,m,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gahr1239,-,-,-,l,-,a,-,m,-,-,-,-,a,-,-,-,-,-,-
clas1254,g,-,-,y,-,a,-,N,-,-,d,k,a,-,-,-,r,-,-
clas1254,-,-,-,l,-,u,-,g,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,m,-,a,-,m,-,-,-,-,o,-,-,-,-,-,-
amdo1237,t,-,S,h,-,o,o,m,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,l,-,3,-,X,-,-,-,-,-,-,-,-,-,-,-
utsa1239,-,-,-,l,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
kham1282,-,-,-,l,-,u,-,7,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,S,-,i,-,S,-,-,-,-,a,-,-,-,-,-,-
idum1241,-,-,-,k,-,u,-,y,-,o,-,-,o,-,-,-,N,-,-
diga1241,-,-,-,k,-,u,-,y,-,o,-,-,o,-,-,-,N,-,-
boka1249,-,-,-,S,o,o,-,y,-,o,-,-,o,-,-,-,N,-,-
garo1247,-,-,-,b,-,e,-,r,-,-,-,-,a,-,-,-,-,-,-
guan1279,-,-,-,-,-,-,-,y,-,-,-,-,E,-,-,-,N,-,-
hakk1236,-,-,-,m,i,e,n,Z,-,-,-,-,o,-,-,-,N,-,-
hakk1236,-,-,-,m,-,E,n,y,-,-,-,-,o,-,-,-,N,-,-
beij1235,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-,-,N,-,-
chao1238,-,-,-,-,-,-,-,i,-,-,-,-,E,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,i,-,-,-,-,o,-,-,-,-,-,-
oldc1244,-,-,-,-,-,-,-,G,-,-,-,-,a,-,-,-,N,-,-
