language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
haka1240,-,-,-,m,a,a,-,-,i,-,-,-
lush1249,-,-,-,m,-,e,-,-,i,-,-,-
karb1241,-,-,-,m,-,-,-,-,e,-,-,-
khal1275,-,-,-,m,-,-,-,-,i,-,-,-
thul1246,-,-,-,m,-,-,-,-,u,-,-,-
kulu1253,-,-,-,m,-,-,-,-,i,-,-,-
bahi1252,b,a,p,m,-,-,-,-,i,-,-,-
bahi1252,-,-,-,m,-,-,-,-,i,-,-,-
limb1266,-,-,-,m,-,-,-,-,i,-,-,-
bant1281,-,-,-,m,-,i,-,r,i,-,-,-
chep1245,h,-,-,m,-,-,-,-,e,7,-,-
wayu1241,-,-,-,m,-,-,-,-,e,-,-,-
lash1243,-,-,-,m,-,y,-,-,i,-,-,-
zaiw1241,-,-,-,m,-,y,-,-,i,-,-,-
maru1249,-,-,-,m,-,y,-,-,i,-,-,-
pela1242,-,-,-,m,-,-,-,-,i,-,-,-
acha1249,-,-,-,p,o,o,-,-,i,-,-,-
nucl1310,-,-,-,m,-,-,-,-,i,-,-,-
lisu1250,-,-,-,-,-,-,-,-,o,t,o,o
drun1238,t,u,-,m,-,-,-,-,i,-,-,-
japh1234,s,-,-,m,-,-,-,-,i,-,-,-
situ1238,t,3,-,m,t,S,-,-,3,k,-,-
tsha1245,-,-,-,m,-,-,-,-,i,-,-,-
byan1241,-,-,-,m,-,3,-,e,e,-,-,-
rong1264,-,-,-,m,-,h,-,m,e,-,-,-
gahr1239,-,-,-,m,-,-,-,-,e,-,-,-
idum1241,-,-,-,m,-,o,m,r,u,-,-,-
diga1241,n,o,-,m,-,-,-,-,u,n,-,-
boka1249,-,3,-,m,-,-,-,-,3,-,-,-
garo1247,-,a,-,g,-,-,-,-,a,l,-,-
garo1247,-,-,-,w,-,-,-,-,a,l,7,-
rabh1238,-,-,-,b,-,a,-,-,a,r,-,-
hakk1236,-,-,-,f,-,o,-,-,o,-,-,-
hakk1236,-,-,-,f,-,-,-,-,o,-,-,-
