language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
haka1240,-,-,-,-,m,-,-,-,a,a,-,-,N,-,-
lush1249,-,-,-,-,m,-,-,-,a,-,-,-,N,-,-
karb1241,-,-,-,-,m,-,-,-,a,a,n,g,N,-,-
khal1275,-,s,e,-,m,-,-,-,E,-,-,-,-,-,-
thul1246,-,N,i,-,m,-,-,-,a,-,-,-,-,-,-
kulu1253,-,s,e,-,m,-,-,-,o,-,-,-,-,-,-
bahi1252,-,N,a,-,m,-,-,-,o,-,-,-,-,-,-
limb1266,-,s,E,p,m,-,-,-,a,-,-,-,N,-,-
bant1281,-,s,e,n,m,-,-,-,a,-,-,-,N,-,-
chep1245,-,-,-,-,m,a,N,y,a,-,-,-,N,-,-
lash1243,-,y,o,p,m,-,-,-,o,-,-,-,7,-,-
zaiw1241,-,y,u,p,m,o,-,-,o,-,-,-,7,-,-
maru1249,-,y,a,p,m,-,-,-,o,-,-,-,7,-,-
pela1242,-,y,a,p,m,-,-,-,a,-,-,-,7,-,-
acha1249,-,-,i,t,m,-,-,-,o,-,-,-,7,-,-
nucl1310,-,-,e,7,m,-,-,-,E,-,-,-,7,-,-
lisu1250,-,-,e,-,m,-,-,-,E,-,-,-,-,-,-
drun1238,-,-,-,-,m,l,-,-,o,-,-,-,N,-,-
japh1234,-,t,u,y,m,N,-,-,o,-,-,-,-,-,-
situ1238,-,t,o,r,m,-,-,-,o,-,-,-,-,-,-
zhab1238,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-
kham1282,-,-,-,-,m,-,-,-,i,-,-,-,l,-,o
tsha1245,-,-,-,-,m,o,-,-,o,-,-,-,N,S,i
byan1241,-,-,-,-,m,-,-,-,a,-,-,-,N,-,-
rong1264,-,-,-,-,m,-,-,-,3,-,-,-,s,-,-
gahr1239,-,-,-,-,m,-,-,-,a,-,-,-,N,s,-
idum1241,-,i,-,-,m,-,-,-,u,-,-,-,-,-,-
diga1241,-,y,o,-,m,o,-,-,o,-,-,-,-,-,-
boka1249,-,y,u,p,m,o,-,-,o,-,-,-,N,-,-
garo1247,-,y,u,-,m,-,-,-,a,-,-,-,N,-,-
rabh1238,d,z,3,-,m,-,-,-,a,-,-,-,N,-,-
hakk1236,-,-,-,-,m,-,-,-,u,-,-,-,N,-,-
hakk1236,-,-,-,-,m,-,-,-,u,-,-,-,N,-,-
