language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
haka1240,-,-,-,-,-,-,-,z,i,-,i,-,-,-,-,-,-,-,a,-,-,N,-,-,-
lush1249,-,t,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,a,-,w,m,-,-,a
karb1241,-,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-,-,a,-,-,p,-,-,-
khal1275,-,-,-,-,-,-,-,7,u,d,i,-,t,s,t,s,-,h,E,-,-,-,-,-,-
thul1246,-,-,-,-,-,-,-,n,-,-,e,m,t,-,-,s,-,h,e,-,-,m,-,-,u
kulu1253,-,-,-,-,-,-,-,d,-,-,e,-,t,-,t,S,-,h,a,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-
bant1281,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,y,3,N,-,-,-
chep1245,-,-,-,-,-,-,-,b,-,-,i,-,-,-,-,-,-,h,a,-,-,n,-,-,3
lash1243,-,-,-,-,-,-,-,n,-,-,a,-,p,-,-,s,-,-,o,-,-,n,-,-,-
zaiw1241,-,-,-,-,-,-,-,n,-,-,a,-,p,-,k,y,-,-,o,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,n,-,-,E,-,7,-,-,s,-,-,u,-,-,m,-,-,-
pela1242,-,-,-,-,-,-,-,n,-,-,E,-,7,-,-,k,-,-,o,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,n,-,-,i,-,-,-,-,Z,-,-,u,-,-,a,-,-,-
nucl1310,-,-,-,-,-,-,-,n,o,n,E,-,7,-,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,n,-,-,E,-,-,-,-,k,u,-,o,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,u,r,o,-,-,N,-,-,-
japh1234,-,s,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,z,-,-,-
situ1238,-,t,-,o,-,-,-,n,-,-,-,-,-,-,-,-,-,-,o,-,-,p,-,-,-
zhab1238,-,s,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,r,-,-,-,-,-,N,-,-,a,-,r,-,-,-,-,-,o,-,-,-,-,-,-
amdo1237,-,r,-,-,-,-,-,N,-,-,a,-,m,-,-,-,-,-,o,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,n,-,-,a,-,N,-,-,d,-,-,i,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,x,-,-,o,o,p,-,-,-,-,-,o,-,-,-,-,-,-
tsha1245,-,w,-,u,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
byan1241,-,b,-,a,-,-,-,N,-,-,-,-,k,-,-,h,-,-,a,-,-,r,-,-,-
rong1264,-,m,-,u,-,-,-,n,-,-,-,-,t,-,-,S,-,-,o,-,-,-,-,-,-
gahr1239,-,-,-,-,-,-,-,N,-,-,a,-,r,-,-,-,-,-,o,-,-,-,-,-,-
idum1241,-,-,-,o,o,-,-,n,-,-,-,-,-,-,-,-,-,-,o,-,-,m,-,-,o
diga1241,-,-,-,o,-,-,-,n,-,-,-,-,-,-,-,-,-,-,o,-,-,N,-,-,-
boka1249,a,r,-,o,o,-,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,m,t,S,i
garo1247,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,a,l,-,n,-,-,i
rabh1238,-,p,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,u,-,-,N,-,-,-
hakk1236,-,t,s,a,u,s,i,n,-,-,-,-,t,-,-,h,i,-,u,-,-,-,-,-,-
