language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
khal1275,m,o,-,-,s,-,-,-,-,-,-,-,o,-,-,o,-,-,N,-,p,-,E,-
kulu1253,-,-,-,-,t,-,-,-,-,S,i,b,a,i,p,a,-,-,-,-,-,-,-,-
limb1266,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-,s,-
chep1245,-,-,-,-,t,-,-,-,-,y,-,-,-,-,-,u,-,-,n,-,-,-,7,-
oldb1235,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,i,-,w,-,-,-,-,-
nucl1310,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,o,-,-,-,-,-,-,-
lash1243,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,3,-,-,N,-,-,-,-,-
zaiw1241,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,t,-,-,-,-,-
maru1249,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-,-,-
pela1242,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-,-,-,-
xian1249,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-
acha1249,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,o,-,-,N,-,-,-,-,-
lisu1250,-,-,-,-,n,-,-,-,-,-,i,-,o,-,-,o,-,-,-,-,-,-,-,-
jing1260,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,t,-,-,-,-,-
drun1238,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,i,-,-,-,-,-
haka1240,-,-,-,-,t,o,o,o,i,t,-,-,o,-,-,o,o,i,i,-,-,-,-,-
lush1249,-,-,-,-,b,i,-,-,-,-,-,-,-,-,-,i,-,-,N,-,-,-,-,-
ukhr1238,-,-,-,-,k,3,-,-,-,S,-,-,-,-,-,u,-,-,-,-,-,-,-,-
karb1241,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,i,-,-,-,-,-,-,-,-
horp1240,-,-,-,-,l,-,-,-,-,y,-,-,-,-,-,i,-,-,l,y,-,-,e,-
eree1240,S,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-
japh1234,x,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,t,-,-,-,-,-
situ1238,k,3,k,-,t,-,-,-,-,S,-,-,-,-,-,3,-,-,n,-,-,-,-,-
zhab1238,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,o,-,-,n,d,-,-,o,-
tang1334,-,-,-,-,w,-,-,-,-,y,-,-,i,-,-,i,-,-,y,-,-,-,-,-
byan1241,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-,n,t,h,-,E,-
rong1264,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,n,t,-,-,3,-
gahr1239,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,i,k
clas1254,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,u,N
amdo1237,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,o,o,-,N,t,h,o,o,N
amdo1237,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,o,o,N
utsa1239,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,i,-,-,-,t,h,-,i,-
kham1282,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,u,-,-,-,t,h,-,u,-
tsha1245,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,u,-,-,-,m,-,-,i,-
tsha1245,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,u,-,-,-,m,b,-,i,-
idum1241,k,o,-,-,t,-,-,-,-,-,i,-,o,-,-,o,-,-,N,-,-,-,o,-
diga1241,k,u,-,-,t,-,-,-,-,-,i,-,o,-,-,o,-,-,N,-,-,-,-,-
boka1249,-,a,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,-,N,-,-,-,-,-
garo1247,k,a,n,7,d,-,-,-,-,-,-,-,o,-,-,o,-,-,k,-,-,-,a,-
rabh1238,k,a,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-
guan1279,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-
hakk1236,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,o,-,-,n,-,-,-,-,-
hakk1236,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-
beij1235,-,-,-,-,t,-,-,-,-,-,-,-,u,-,-,a,-,-,n,-,-,-,-,-
chao1238,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
chao1239,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
oldc1244,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,o,r,-,7,-,-,-,-,-
