language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
haka1240,-,-,t,-,-,-,-,-,-,-,-,i,-,n,-,-,-,-,-,-
lush1249,-,-,t,-,-,-,-,-,-,-,-,i,-,n,-,-,-,-,-,-
karb1241,T,h,t,-,s,-,-,-,-,-,-,i,-,m,-,-,-,-,i,-
khal1275,-,-,-,-,s,-,-,-,-,-,-,e,n,d,-,-,-,-,3,-
bahi1252,g,E,k,-,s,-,-,-,-,-,-,i,-,l,-,-,-,-,i,-
bant1281,-,-,k,-,h,-,-,-,-,-,-,u,-,r,-,-,-,-,a,-
chep1245,-,-,t,-,S,-,-,-,-,-,-,o,-,-,-,-,-,-,o,k
lash1243,-,-,k,-,h,-,-,y,e,-,-,i,-,s,-,-,-,-,3,N
zaiw1241,-,-,k,-,h,-,-,y,-,-,-,i,-,s,-,-,-,-,i,N
maru1249,-,-,k,-,h,-,-,y,-,-,-,u,k,s,-,-,-,-,a,N
pela1242,-,-,k,-,h,-,-,y,-,-,-,i,-,s,-,-,-,-,a,N
acha1249,-,-,t,S,h,-,-,-,-,-,-,i,-,x,o,-,-,-,o,-
nucl1310,-,-,k,-,h,-,-,w,-,-,-,-,-,-,-,-,-,-,o,-
lisu1250,-,-,t,S,h,-,-,-,-,-,-,i,-,b,-,-,-,-,u,-
drun1238,-,-,t,-,S,-,-,-,-,-,-,i,-,g,r,-,-,-,i,-
japh1234,t,o,q,a,X,-,r,u,-,-,-,-,-,-,-,-,-,-,-,-
situ1238,t,o,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
zhab1238,-,-,k,-,h,-,-,u,-,-,-,i,t,S,-,-,h,-,o,-
zhab1238,-,-,k,-,h,-,-,u,-,-,-,i,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,m,-,-,-,-,-,-,i,-,p,-,-,-,-,a,-
kham1282,-,-,s,-,h,-,-,u,o,-,-,i,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,b,-,-,-,-,-,-,i,d,Z,o,o,k,t,a,N
gahr1239,-,-,-,-,r,-,-,-,-,-,-,a,-,w,-,-,-,-,a,-
idum1241,-,-,k,-,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
diga1241,-,-,g,-,r,-,-,o,o,N,t,i,-,-,o,-,-,-,o,N
boka1249,-,-,-,-,l,3,b,u,-,-,-,-,-,-,-,-,-,-,-,k
hakk1236,-,-,t,-,h,-,-,a,-,-,-,i,-,-,-,-,-,-,-,-
hakk1236,-,-,t,-,h,-,-,a,-,-,-,i,-,-,-,-,-,-,-,-
