language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
haka1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,a,a,a,s,a,a,a,s,a,-,-,k,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,a,-,-,i,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-,a,-,-,m,-,-
karb1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,-,-,-,-,-,u,-,-,n,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,e,e,-,-,-,l,m,-,3,-,-,-,-,-
thul1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,-,-,-,m,s,o,-,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,a,-,-,-,-,-,m,-,a,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,o,-,-,-,-,-,-,-,o,-,-,r,-,-
bant1281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,-,t,-,-,-,h,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,s,i,a,N,S,-,i,-,-,-,-,-,-,-,a,-,-,N,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,s,-,-,-,h,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,u,-,-,-,-,-,-,-,o,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
japh1234,-,-,-,n,-,-,-,-,u,-,r,-,o,-,x,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
situ1238,-,-,-,k,h,a,b,Z,3,-,k,-,o,-,p,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
zhab1238,-,-,-,-,-,a,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,-,n,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,-,n,-,-
kham1282,-,-,-,-,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,e,-,-,i,-,-
tsha1245,-,-,-,-,-,-,-,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-
byan1241,-,-,-,t,-,o,-,-,o,T,t,-,-,-,S,-,-,-,-,-,-,-,m,-,o,-,-,-,-,-
rong1264,g,h,g,h,-,3,-,-,-,-,-,-,-,-,s,l,3,-,-,-,-,-,g,-,a,-,-,-,-,-
gahr1239,-,-,-,l,-,a,-,l,a,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,i,-,-,r,-,-
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,S,e,N,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,o,S,i,N,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,e,-,-,n,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,a,-,-,N,-,-
garo1247,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,N,7,a
rabh1238,-,-,-,-,-,-,-,-,-,-,t,-,-,-,S,-,a,-,-,-,-,-,-,r,u,-,-,N,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,t,-,-,S,h,-,-,-,-,-,-,-,-,-,o,-,-,N,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,t,-,-,s,h,-,-,-,-,-,-,-,-,-,o,-,-,N,-,-
