language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
haka1240,-,-,-,-,-,-,-,-,-,a,w,u,r,l,-,-,-,-,-,e,-,-,-,i
lush1249,-,-,-,-,-,d,-,-,-,i,N,-,-,l,-,-,-,-,-,a,-,-,-,m
karb1241,-,-,-,-,-,-,-,-,-,a,-,-,r,7,-,-,-,-,-,e,-,-,-,-
khal1275,-,-,-,-,-,d,z,-,-,-,-,-,-,h,-,-,-,-,-,o,-,-,-,p
thul1246,-,-,-,-,-,d,z,-,-,3,p,-,-,l,-,-,-,-,-,a,-,-,-,m
kulu1253,k,h,-,i,m,t,S,-,-,-,h,i,-,n,-,-,-,-,-,i,-,-,-,-
bahi1252,-,-,-,-,-,d,z,-,-,u,m,-,-,r,-,-,-,-,-,o,-,-,-,-
limb1266,-,-,-,-,-,T,-,-,-,u,k,-,-,w,-,-,-,-,-,a,-,-,-,-
bant1281,-,-,-,-,-,t,s,a,m,a,N,-,-,w,-,-,-,-,-,a,-,-,-,-
chep1245,-,-,-,-,-,N,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-,y
wayu1241,-,-,-,-,-,h,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-,k
lash1243,-,-,-,-,-,l,-,-,-,o,7,-,-,y,-,-,o,-,-,o,-,-,-,-
zaiw1241,-,-,-,-,-,l,-,o,-,o,7,-,-,y,-,-,o,-,-,o,-,-,-,-
maru1249,-,-,-,-,-,l,-,-,-,o,7,-,-,y,-,-,-,-,-,o,-,-,-,-
pela1242,-,-,-,-,-,l,-,-,-,a,7,-,-,y,-,-,-,-,-,a,-,-,-,-
acha1249,-,-,-,-,-,l,-,-,-,o,7,-,-,Z,-,-,o,p,-,a,-,-,-,-
nucl1310,-,-,-,-,-,n,-,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-
lisu1250,-,-,-,-,-,l,-,-,-,E,-,-,-,Z,-,-,-,-,-,E,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,o,b,-,-,r,-,-,-,-,-,o,-,-,-,N
japh1234,-,-,-,-,-,X,-,-,-,-,T,-,-,h,-,-,-,-,-,a,-,-,-,-
situ1238,-,-,-,-,-,k,-,-,-,o,T,-,S,h,-,-,-,-,-,o,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,S,t,i,N,o,-,-,o,-,-,-,-
amdo1237,-,-,-,-,-,x,-,-,-,-,-,-,-,y,-,-,-,-,-,i,-,-,-,-
amdo1237,-,-,-,-,-,h,-,-,-,-,-,-,-,y,-,-,-,-,-,e,-,-,-,-
kham1282,-,-,-,-,-,t,-,-,-,-,-,-,-,S,-,-,o,k,-,u,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,a,k,t,a,-,-,-,m
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,E,-,n,o,-,-,-,-
gahr1239,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,a,-,-,-,s
diga1241,-,-,-,-,-,t,-,-,-,u,t,-,-,S,-,-,-,-,-,o,-,-,-,-
boka1249,-,-,-,-,-,l,-,-,-,o,-,-,-,-,-,-,-,-,-,o,k,b,i,k
garo1247,-,-,-,-,-,y,-,-,-,a,k,-,-,r,-,-,-,-,-,a,-,-,-,-
rabh1238,-,m,a,i,-,s,-,a,-,a,-,-,-,l,-,-,-,-,-,a,-,-,-,N
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,u,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,i,-,-,u,-,-,-,-
