language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
haka1240,-,-,-,-,-,-,-,-,-,l,-,-,-,a,-,-,a,-,m,-,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,l,i,a,n
lush1249,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,w,N,-,-,-,-,-
karb1241,-,-,-,-,-,-,-,-,-,t,o,o,v,a,-,-,a,-,r,-,-,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,E,-,m,-,-,-,-,-
thul1246,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,d,i,-,-
kulu1253,t,S,h,e,l,a,m,d,e,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
bahi1252,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,l,-,-,-,y,-,-,a,-,m,-,-,-,-,-
wayu1241,-,-,-,-,-,-,-,-,-,l,-,-,-,o,-,-,o,-,m,-,-,-,-,-
lash1243,k,-,h,-,-,-,-,-,-,y,-,-,-,o,-,-,o,-,-,-,-,-,-,-
zaiw1241,k,-,h,-,-,-,-,-,-,y,-,-,-,o,-,-,o,-,-,-,-,-,-,-
maru1249,k,-,h,-,-,-,-,-,-,y,-,-,-,-,-,-,o,-,-,-,-,-,-,-
pela1242,k,-,h,-,-,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-
acha1249,-,-,x,-,-,a,m,-,-,Z,-,-,-,u,-,-,a,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
lisu1250,-,-,d,-,-,-,-,-,-,Z,-,-,-,o,-,g,u,-,-,-,-,-,-,-
drun1238,t,-,-,-,-,u,-,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-,-,-
japh1234,t,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
situ1238,t,-,S,-,-,3,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
zhab1238,T,-,y,-,-,e,-,-,-,l,-,-,-,-,-,-,E,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,m,t,S,a,-,-
gahr1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,m,t,s,i,-,-
idum1241,-,-,-,-,-,o,-,-,-,l,i,-,-,o,-,-,o,-,N,-,-,-,-,-
diga1241,-,-,-,-,-,o,-,-,-,l,-,-,-,-,-,-,i,-,m,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,m,t,-,3,-,-
garo1247,-,-,-,-,-,-,-,-,-,r,-,-,-,a,s,t,a,-,-,-,-,-,-,-
rabh1238,-,-,s,o,-,o,-,-,-,r,-,-,-,o,-,-,o,-,p,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,-,-,-,-,-
