language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
haka1240,-,-,-,-,l,o,a,n,l,o,o,n,7,-,-
lush1249,-,-,-,-,p,-,a,-,-,-,i,-,h,-,-
lush1249,-,-,-,-,d,-,-,-,-,-,e,-,N,-,-
karb1241,-,-,-,-,v,-,a,-,-,-,a,-,r,-,-
khal1275,-,g,h,g,h,r,o,-,-,-,o,k,t,-,-
thul1246,-,g,h,g,h,r,o,-,-,-,o,k,-,-,-
kulu1253,-,-,-,-,h,-,o,-,m,-,a,-,-,-,-
bahi1252,-,-,p,-,h,l,-,-,-,-,E,m,t,-,-
limb1266,a,p,p,-,h,-,u,-,-,-,-,-,s,-,-
bant1281,-,-,-,-,w,-,e,-,-,-,-,-,t,-,-
bant1281,-,-,-,-,k,-,o,-,-,-,o,-,k,-,-
chep1245,-,-,-,-,w,-,-,-,-,-,a,-,r,-,-
wayu1241,-,-,t,-,s,-,-,-,-,-,a,-,t,-,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,t,u,n
zaiw1241,-,-,-,-,-,-,-,-,-,-,-,-,t,u,-
maru1249,-,-,p,-,y,-,-,-,-,-,E,-,7,-,-
pela1242,-,-,p,-,y,-,-,-,-,-,E,-,7,-,-
acha1249,-,-,-,-,x,-,u,-,-,-,a,-,t,-,-
nucl1310,-,-,p,-,-,-,-,-,-,-,i,-,7,-,-
lisu1250,-,-,-,-,l,-,o,-,-,-,o,-,-,-,-
drun1238,-,-,-,-,t,-,-,-,-,-,o,-,t,-,-
japh1234,-,-,-,-,x,-,o,-,r,-,o,-,t,-,-
situ1238,-,-,-,-,k,-,a,-,n,-,a,s,t,3,m
zhab1238,-,-,a,-,T,y,o,-,-,-,o,-,-,-,-
amdo1237,-,-,-,-,h,-,-,-,-,-,e,-,n,-,-
kham1282,-,-,-,-,Z,-,-,-,-,-,u,-,7,-,-
kham1282,-,-,d,-,Z,-,-,-,-,-,o,-,-,-,-
tsha1245,-,-,-,-,t,-,-,-,-,-,a,-,N,-,-
byan1241,-,-,-,-,k,-,3,-,N,m,o,-,-,-,-
rong1264,-,-,n,-,h,-,-,-,n,-,a,-,r,-,-
gahr1239,-,-,-,-,y,-,-,-,-,-,u,-,k,-,-
idum1241,-,-,-,-,-,-,o,-,-,-,-,-,d,u,-
diga1241,-,-,-,-,k,-,o,-,-,-,-,-,d,u,i
boka1249,-,-,-,-,-,-,o,-,-,-,o,-,r,-,-
garo1247,-,-,-,-,g,o,o,-,-,-,a,-,-,-,-
rabh1238,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-
hakk1236,-,-,f,-,-,-,i,-,-,-,-,-,7,-,-
hakk1236,-,-,p,-,h,-,i,-,-,-,a,-,k,-,-
