language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
haka1240,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,-,r,-,-,-
lush1249,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,-,N,-,-,-
karb1241,-,-,-,-,-,-,a,r,y,a,a,-,-,-,-,-,-,p,-,-,-
khal1275,-,-,-,-,-,-,-,r,-,-,e,-,-,-,-,-,-,p,-,-,-
thul1246,-,-,-,-,-,-,-,y,-,-,e,-,-,-,-,-,-,m,s,i,t
kulu1253,-,-,t,h,-,-,o,r,-,-,e,-,-,-,-,-,-,m,m,a,-
bahi1252,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,-,p,s,-,-
bahi1252,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,-,p,-,-,-
limb1266,-,-,-,-,-,-,-,y,-,-,E,-,-,-,-,-,-,p,s,-,-
bant1281,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,p,-,-,-
chep1245,-,-,-,-,-,-,-,t,S,-,i,-,-,-,-,-,-,N,-,-,-
lash1243,-,-,-,-,-,-,-,y,-,-,a,-,-,-,-,-,-,p,-,-,-
zaiw1241,-,-,-,-,-,-,-,y,-,-,a,-,-,-,-,-,-,p,-,-,-
maru1249,-,-,-,-,-,-,-,y,-,-,E,-,-,-,-,-,-,7,-,-,-
pela1242,-,-,-,-,-,-,-,y,-,-,E,-,-,-,-,-,-,7,-,-,-
acha1249,-,-,-,-,-,-,-,Z,-,-,a,-,-,-,-,-,-,p,-,-,-
nucl1310,-,-,-,-,-,-,-,y,-,-,o,-,-,-,-,-,-,7,-,-,-
lisu1250,-,-,-,-,-,-,-,h,-,-,e,-,-,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,r,-,-,E,-,-,-,-,-,-,p,-,-,-
japh1234,n,-,d,-,-,-,-,z,-,-,u,-,-,-,-,-,-,r,-,-,-
situ1238,-,-,-,-,-,-,-,k,-,-,o,-,-,-,-,-,-,r,y,o,p
zhab1238,3,-,t,-,-,-,-,S,-,-,i,-,-,-,-,-,-,m,-,u,-
amdo1237,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,-,N,-,-,-
amdo1237,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,-,N,-,-,-
kham1282,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,-,N,-,-,-
byan1241,-,-,-,-,-,-,-,y,-,-,a,-,-,-,b,-,-,m,-,o,-
rong1264,-,-,t,-,-,-,-,h,-,-,a,n,o,o,h,w,3,N,-,-,-
gahr1239,-,-,t,-,-,-,-,S,-,-,e,-,-,-,-,-,-,N,n,a,-
idum1241,-,-,-,-,-,-,-,d,-,-,e,-,-,-,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,-,-,d,-,-,e,-,-,-,-,-,-,N,-,-,-
boka1249,-,-,-,-,-,-,-,r,-,-,o,-,-,o,-,-,-,p,-,-,-
garo1247,T,h,t,s,-,-,a,d,-,-,e,-,-,-,-,-,-,N,-,a,-
garo1247,T,h,t,s,a,k,a,t,-,-,-,-,-,-,-,-,-,-,-,a,-
rabh1238,-,-,d,-,i,N,-,d,-,-,i,-,-,-,-,-,-,N,-,-,-
hakk1236,-,-,k,-,-,-,-,h,-,-,i,-,-,-,-,-,-,-,-,-,-
hakk1236,-,-,k,-,-,-,-,h,-,-,i,-,-,-,-,-,-,-,-,-,-
