language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
haka1240,-,-,-,-,-,-,t,-,l,-,-,-,-,a,a,a,i,i,t,l,-,-,a,a,a,i,-,i,-
lush1249,-,-,-,-,-,-,t,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
lush1249,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-
karb1241,-,-,-,-,-,-,-,-,d,-,-,-,-,e,-,-,-,e,-,-,-,-,-,-,-,-,-,r,-
khal1275,-,-,-,-,-,-,t,s,h,-,-,-,-,3,-,-,-,-,-,-,-,p,-,-,-,-,-,E,-
thul1246,-,-,-,-,-,-,-,-,h,a,p,a,d,u,-,-,-,-,-,N,-,m,a,-,-,k,-,a,-
kulu1253,-,-,-,-,-,-,t,S,h,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-
bahi1252,-,-,-,a,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-
limb1266,-,-,-,-,-,-,-,-,s,-,-,-,-,u,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,N,-,m,-,-,-,-,-,a,-
chep1245,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,k
wayu1241,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,m,u,-,m,h,-,e,-
lash1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,E,-
zaiw1241,-,-,-,-,-,-,t,-,h,-,-,-,-,a,-,-,-,-,-,N,k,y,o,-,-,-,-,o,-
maru1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,y,-,-,-,-,-,a,m
pela1242,-,-,-,-,-,-,t,-,h,-,-,-,-,o,-,-,-,-,-,-,k,y,-,-,-,-,-,a,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,o,-
nucl1310,-,-,n,o,u,7,t,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-
lisu1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-
drun1238,-,-,-,o,-,-,t,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
japh1234,-,-,m,a,-,-,q,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
japh1234,-,-,d,a,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
situ1238,k,3,m,3,-,-,N,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
zhab1238,-,-,-,a,-,-,t,s,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
amdo1237,-,-,-,-,-,-,n,-,g,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,r
amdo1237,-,-,-,-,-,-,n,-,g,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,r
kham1282,-,-,-,-,-,-,S,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
tsha1245,p,-,h,i,-,-,t,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-
byan1241,-,-,y,i,-,l,t,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-
gahr1239,-,-,d,a,-,l,t,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,k
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,m,i,-,-,t,i,o,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,m,i,-,u,S,-,o,-
boka1249,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,m,-,-,-,-,-,u,-
garo1247,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,-,r,i,m,-,-,-,-,-,a,-
rabh1238,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,n
hakk1236,-,-,-,-,-,-,t,s,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
