language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
haka1240,-,-,-,-,-,h,u,a,t,h,-,-,u,-,a,-,7
lush1249,-,-,-,-,-,h,-,-,-,-,-,-,-,-,e,-,m
lush1249,-,-,-,-,-,h,-,-,-,-,-,-,i,-,a,-,t
karb1241,-,-,-,-,-,-,-,a,r,k,-,-,e,-,e,-,-
khal1275,-,-,-,-,-,p,-,-,-,h,-,-,r,-,E,p,t
thul1246,-,-,-,-,-,b,-,-,-,h,-,-,r,-,a,-,m
kulu1253,-,u,i,-,-,m,-,-,-,-,-,-,-,-,a,-,-
bahi1252,-,-,7,-,-,b,-,-,-,-,-,-,-,-,a,p,t
limb1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,k
bant1281,-,-,-,-,-,w,-,-,-,-,-,-,-,-,a,m,t
bant1281,-,-,-,-,-,p,-,-,-,-,-,-,-,-,a,m,t
chep1245,-,-,-,-,-,w,-,-,-,3,-,-,r,-,3,-,7
wayu1241,-,-,-,-,-,p,-,-,-,h,-,-,o,-,o,-,k
lash1243,-,-,-,-,-,k,-,-,-,-,-,-,y,-,i,-,n
zaiw1241,-,-,-,-,-,k,-,-,-,-,-,-,y,-,i,-,n
maru1249,-,-,-,-,-,k,-,-,-,-,-,-,y,-,i,-,N
pela1242,-,-,-,-,-,k,-,-,-,-,-,-,y,-,o,-,n
acha1249,-,-,-,-,-,k,-,-,-,h,-,-,Z,-,3,-,n
nucl1310,-,o,y,o,p,h,-,-,-,-,-,-,y,-,o,u,7
lisu1250,-,-,-,-,-,t,-,-,-,S,-,-,h,-,e,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,r,-,u,-,7
japh1234,r,-,-,o,-,-,-,-,-,b,-,-,r,-,a,-,X
situ1238,k,a,r,a,-,k,-,-,-,h,-,-,r,o,o,-,k
zhab1238,-,o,Z,a,-,-,-,-,-,-,-,-,Z,-,a,-,-
amdo1237,-,-,n,-,-,t,-,-,S,h,-,-,-,-,u,-,k
amdo1237,-,-,-,-,-,t,-,-,S,h,-,-,-,-,3,-,X
kham1282,-,-,-,-,-,t,-,-,S,h,-,-,-,-,u,-,7
tsha1245,-,-,-,-,-,-,-,-,-,p,-,-,r,-,a,-,t
byan1241,-,-,-,-,-,k,-,-,-,w,a,a,m,-,o,-,-
rong1264,-,-,-,-,-,k,-,-,-,h,-,-,y,-,o,-,-
gahr1239,t,-,r,a,-,k,-,-,-,-,-,-,-,-,-,-,-
idum1241,-,-,-,-,-,d,-,-,-,z,u,-,r,-,u,-,-
diga1241,-,-,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-
boka1249,-,-,-,-,-,-,-,-,-,h,o,-,-,-,o,-,k
garo1247,b,-,r,i,-,k,-,-,-,-,-,-,-,-,a,-,-
rabh1238,-,-,-,-,-,k,-,-,-,h,-,-,-,-,3,-,n
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,a,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,y,-,a,-,-
