language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
khal1275,-,-,-,-,-,-,m,-,-,o,-,b,h,-,-,-,-,-,-,E,-,-,p,-,-,p,-,-,E,-
thul1246,-,-,-,-,-,-,y,-,-,a,-,k,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-
kulu1253,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,h,u,t,S,h,u,r,p,-,-,a,-
chep1245,-,-,-,-,-,-,g,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,r,7,-,-,o,-
oldb1235,-,-,-,-,-,-,k,-,-,-,-,-,y,-,-,-,-,-,-,a,n,-,-,-,-,h,-,-,-,-
nucl1310,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-
zaiw1241,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-
maru1249,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,E,-,-,-,-,-,7,-,-,-,-
pela1242,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,E,-,-,-,-,-,7,-,-,-,-
xian1249,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-
acha1249,-,-,-,-,-,-,n,-,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,p,-,-,-,-
lisu1250,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,i,-
jing1260,-,-,-,-,-,-,k,-,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,p,-,-,-,-
drun1238,o,-,-,-,-,-,N,-,p,u,7,t,S,-,-,-,-,-,-,i,-,-,-,-,-,N,-,-,-,-
haka1240,-,-,-,-,-,-,-,-,-,-,-,-,b,-,i,-,-,-,m,i,-,-,-,-,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,e,-,-,-,-,-,p,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,-,-,z,-,i,-,-,-,-,i,-,-,-,-,-,m,-,-,-,-
ukhr1238,-,-,-,-,-,-,k,3,m,3,-,-,S,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
karb1241,T,-,h,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,-,e,n,-,-,-,g,N,-,-,-,-
horp1240,-,-,x,-,-,-,t,-,-,-,-,-,S,h,e,x,t,S,h,e,-,-,-,-,-,-,-,-,-,-
eree1240,-,-,X,-,-,-,-,-,-,-,-,-,-,r,o,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
japh1234,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-
situ1238,-,-,k,-,-,3,t,-,-,-,-,-,S,-,o,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-
zhab1238,-,-,-,-,-,-,t,-,-,-,-,-,S,h,i,-,t,S,h,i,-,-,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,t,-,-,-,-,-,S,h,-,-,-,-,y,i,-,-,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,d,-,-,-,-,-,Z,-,-,-,-,-,y,i,-,-,-,-,-,-,-,-,-,-
byan1241,-,-,y,-,-,-,d,-,-,-,-,-,Z,-,i,-,r,d,-,E,-,-,-,-,-,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,l,-,-,a,-,-,-,-,-,r,-,-,-,-
gahr1239,-,-,p,-,-,-,-,-,-,-,-,-,h,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-
clas1254,-,-,-,-,-,-,d,-,-,-,-,-,-,-,o,-,-,-,-,o,-,-,-,-,-,g,-,-,-,-
amdo1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,o,-,-,-,-,-,k,-,-,-,-
amdo1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,o,-,-,-,-,-,X,m,-,o,-
utsa1239,-,-,-,-,-,-,t,-,-,-,-,-,h,-,o,-,-,-,-,o,-,-,-,-,-,k,p,o,o,-
kham1282,x,i,k,-,h,a,t,-,-,-,-,-,S,h,u,-,t,S,-,u,-,-,-,-,-,-,-,-,-,-
idum1241,-,-,-,-,-,i,t,-,-,-,-,-,S,-,i,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,k,-,m,e,-,-,-,-,-,-,-,-,-,-
garo1247,a,-,p,T,h,-,t,-,-,-,-,-,s,-,o,-,-,-,-,o,-,-,-,-,-,n,-,-,a,-
rabh1238,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,l,-,-,u,k
guan1279,-,-,-,-,-,-,t,-,-,-,-,-,s,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-
hakk1236,-,-,-,-,-,-,k,-,-,-,-,-,h,-,i,-,-,-,-,a,-,-,-,-,-,7,-,-,-,-
hakk1236,-,-,-,-,-,-,k,-,-,-,-,-,h,-,i,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-
beij1235,-,-,-,-,-,-,t,-,-,-,-,-,S,-,-,-,-,-,-,E,-,-,-,-,-,i,-,-,-,-
chao1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,i,-,7,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,i,-,7,-,-,-,-
oldc1244,-,-,N,-,-,-,k,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,p,-,-,-,-
