language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
haka1240,-,-,m,a,a,a,i,-,i,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,o,o,-,m,-,7
lush1249,t,-,S,i,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,N,-,-,t,S,i,-,p,-,-
lush1249,-,-,m,a,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,w,m,-,-
karb1241,-,-,s,a,-,n,g,-,N,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,n,-,-
khal1275,-,-,p,-,-,-,r,-,o,-,-,-,-,t,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-
thul1246,-,-,p,-,-,-,r,-,o,o,-,-,N,d,-,-,-,-,-,-,z,-,-,-,-,3,-,-,-,-
kulu1253,-,-,p,-,-,-,-,-,u,-,-,-,n,t,-,-,-,-,-,-,S,h,i,r,-,i,-,-,-,-
bahi1252,7,-,b,a,-,-,d,z,o,o,r,i,N,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-
limb1266,k,-,h,a,-,m,d,-,a,-,-,-,k,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-
bant1281,-,-,y,a,-,-,g,-,a,-,-,-,N,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-
chep1245,g,-,y,a,w,7,l,-,i,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wayu1241,-,-,-,-,-,-,k,-,a,-,-,-,7,-,-,-,-,-,-,-,m,-,a,r,-,a,-,-,-,-
wayu1241,-,-,-,-,-,-,r,-,i,-,-,-,-,-,-,-,-,-,-,-,m,-,-,d,-,e,-,N,-,-
lash1243,-,-,-,-,-,-,l,-,a,-,-,-,7,-,-,-,-,-,-,-,k,-,-,-,-,a,-,N,-,-
zaiw1241,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,N,-,-
zaiw1241,-,-,-,-,-,-,l,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,N,-,-
maru1249,-,-,p,-,-,-,h,y,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-
pela1242,-,-,p,-,-,-,h,i,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-
acha1249,-,-,-,-,-,-,k,-,u,-,-,-,N,-,-,-,-,-,-,-,k,-,-,-,-,a,i,Z,a,i
nucl1310,-,-,p,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-
drun1238,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,o,-,n,-,-
japh1234,-,-,n,-,-,-,G,-,o,o,-,-,-,S,-,-,-,-,-,-,-,-,-,n,-,a,-,-,-,-
situ1238,-,-,-,-,-,-,k,h,o,-,-,-,-,S,-,-,-,-,-,-,-,-,-,n,-,o,-,-,-,-
zhab1238,-,-,-,-,-,-,k,-,a,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,i
amdo1237,-,-,n,-,-,-,g,-,o,o,-,-,N,-,-,N,o,o,n,a,k,-,-,r,b,3,-,t,-,-
amdo1237,-,-,-,-,-,-,d,-,o,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kham1282,-,-,d,-,-,-,Z,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,a,r,-,a,-,-,-,-
tsha1245,-,-,-,-,-,-,r,-,o,o,-,-,N,S,a,m,-,-,-,-,-,-,-,-,b,u,-,-,-,-
rong1264,-,-,-,-,-,-,m,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,r,-,a,-,-,-,-
gahr1239,-,-,-,-,-,-,r,-,i,-,-,-,n,-,-,-,-,-,-,-,t,-,-,S,-,e,-,n,b,u
idum1241,-,e,p,-,-,-,h,-,i,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,o,-,N,-,-
diga1241,k,u,p,-,-,-,r,o,u,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,o,o,N,-,-
boka1249,t,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-
garo1247,-,-,-,-,-,-,g,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,N,-,-
rabh1238,-,-,-,-,-,-,b,-,i,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,u,-,r,-,-
hakk1236,-,-,-,-,-,-,l,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,h,i,a,-,-,-,-
hakk1236,-,-,-,-,-,-,l,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,h,i,a,-,-,-,-
