language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
haka1240,-,-,r,-,-,-,-,a,a,-,w,r,a,a,w,-,-
lush1249,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-
lush1249,-,-,t,-,-,-,-,u,i,-,h,-,u,-,l,-,-
karb1241,k,-,r,-,-,-,-,e,e,n,g,-,-,-,N,-,-
khal1275,d,-,h,-,-,-,-,o,-,-,-,-,o,-,N,-,-
thul1246,-,-,s,-,-,-,-,a,-,t,p,-,a,-,-,-,-
kulu1253,-,-,h,-,-,-,-,a,-,r,m,-,a,-,-,-,-
bahi1252,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-
bahi1252,-,-,d,-,-,-,-,o,-,-,-,-,o,-,N,-,-
limb1266,-,-,k,-,-,-,-,-,-,-,-,-,a,-,N,-,-
bant1281,t,s,h,-,-,-,-,o,-,-,-,-,o,-,p,-,-
chep1245,-,-,s,-,-,-,-,o,-,-,-,-,o,-,t,-,-
wayu1241,-,-,s,-,-,-,-,o,-,s,-,-,o,-,-,-,-
lash1243,-,-,k,-,-,-,y,-,-,-,-,-,u,-,7,-,-
zaiw1241,-,-,x,-,-,-,-,-,-,-,-,-,u,-,i,-,-
maru1249,-,-,f,-,-,-,-,a,-,-,-,-,i,-,-,-,-
pela1242,-,-,k,-,-,-,y,a,-,-,-,-,u,-,7,-,-
acha1249,-,-,s,-,-,-,-,-,-,-,-,-,3,-,7,-,-
nucl1310,-,-,t,S,-,-,h,o,-,-,-,-,u,-,7,-,-
lisu1250,-,-,d,-,-,-,Z,-,-,-,-,-,u,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-
drun1238,-,-,k,-,-,-,-,-,-,-,-,-,a,-,m,-,-
japh1234,-,-,s,-,-,-,p,u,-,-,-,-,-,-,-,-,-
japh1234,-,-,r,-,-,-,-,o,-,-,-,-,o,-,m,-,-
japh1234,-,-,z,-,-,-,b,a,-,-,-,-,-,-,X,-,-
situ1238,-,-,k,-,-,-,-,3,-,r,-,-,o,-,m,-,-
zhab1238,-,-,t,S,i,t,S,i,-,-,-,-,-,-,-,-,-
amdo1237,r,-,k,-,-,-,-,a,-,-,m,b,o,-,-,-,-
amdo1237,h,-,k,-,-,-,-,a,-,-,m,b,o,-,-,-,-
kham1282,-,-,k,-,-,-,-,a,-,-,m,b,u,-,-,-,-
tsha1245,-,-,s,-,-,-,-,a,-,N,m,-,a,-,-,-,-
byan1241,p,-,h,-,-,-,-,o,-,-,-,-,o,-,d,-,a
rong1264,-,-,r,-,-,-,-,u,-,-,k,-,o,-,-,-,-
gahr1239,k,-,h,-,-,-,y,o,-,-,-,-,o,-,y,-,-
idum1241,-,-,S,-,-,-,-,-,-,-,-,-,o,-,N,-,-
diga1241,-,-,S,-,-,-,-,o,-,-,-,-,o,-,N,-,-
boka1249,-,-,S,-,-,-,-,-,-,-,-,-,e,-,n,-,-
garo1247,-,-,r,-,-,-,-,-,-,-,-,-,a,-,n,7,a
rabh1238,t,3,r,-,-,-,-,a,-,-,-,-,a,-,n,-,-
hakk1236,-,-,k,-,-,-,-,-,-,-,-,-,o,-,n,-,-
